idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
27116;-3991.6;4692.5;-279.1;7.126494902497227e-07
27143;-3986.2;4684.0;-258.2;7.039374571019277e-07
27191;-3975.3;4667.1;-279.1;6.867917860121685e-07
27215;-3969.8;4658.6;-289.5;1.194729541380608e-06
27265;-3958.9;4641.6;-289.5;7.469520397844074e-07
27287;-3953.5;4633.1;-320.8;3.5288045593253063e-07
27315;-3948.1;4624.7;-289.5;4.308254931355095e-07
27316;-3948.1;4624.7;-279.1;6.460560834906607e-07
27318;-3948.1;4624.7;-258.2;1.546345838595748e-07
27364;-3937.2;4607.7;-299.9;4.206323781293404e-07
27365;-3937.2;4607.7;-289.5;4.20538198671981e-07
27413;-3926.3;4590.8;-310.3;5.58244963585068e-07
27464;-3915.4;4573.8;-299.9;4.0082966896965567e-07
27491;-3909.9;4565.3;-279.1;9.90787840875426e-07
27513;-3904.5;4556.8;-310.3;5.876320353489079e-07
27514;-3904.5;4556.8;-299.9;1.0451415658633564e-06
27516;-3904.5;4556.8;-279.1;9.784869299795232e-07
27539;-3899.1;4548.4;-299.9;1.0221893575440007e-06
27542;-3899.1;4548.4;-268.7;4.1728118370400825e-07
27591;-3888.2;4531.4;-279.1;4.0803158148780707e-07
27640;-3877.3;4514.5;-289.5;3.9900685929995296e-07
27716;-3861.0;4489.0;-279.1;2.572707753218022e-07
27765;-3850.1;4472.1;-289.5;5.612391910631213e-07
27816;-3839.2;4455.1;-279.1;1.9922001090700647e-07
30415;-3999.4;4723.4;-289.5;6.835651977053487e-07
30417;-3999.4;4723.4;-268.7;1.366351725565992e-06
30442;-3994.0;4714.9;-268.7;1.494295422179327e-06
30464;-3988.5;4706.4;-299.9;5.234899465063185e-07
30489;-3983.1;4698.0;-299.9;8.45806602367628e-07
30491;-3983.1;4698.0;-279.1;9.860903412097901e-07
30515;-3977.6;4689.5;-289.5;6.490698297274319e-07
30517;-3977.6;4689.5;-268.7;1.6229980679349616e-06
30518;-3977.6;4689.5;-258.2;9.738775966958818e-07
30542;-3972.2;4681.0;-268.7;1.6021749492454902e-06
30566;-3966.7;4672.5;-279.1;9.494929362606979e-07
30589;-3961.3;4664.0;-299.9;9.379949735576138e-07
30593;-3961.3;4664.0;-258.2;9.379318333870353e-07
30616;-3955.9;4655.6;-279.1;9.260655362559805e-07
30618;-3955.9;4655.6;-258.2;8.65841430927492e-07
30664;-3945.0;4638.6;-299.9;9.03675188892145e-07
30669;-3945.0;4638.6;-247.8;3.962450075776791e-07
30715;-3934.1;4621.7;-289.5;4.7316607934825597e-07
30814;-3912.3;4587.7;-299.9;4.5055261278722206e-07
30841;-3906.9;4579.3;-279.1;1.1141668093725438e-06
30866;-3901.4;4570.8;-279.1;1.1007904113118123e-06
30916;-3890.5;4553.8;-279.1;8.59627676605318e-07
30939;-3885.1;4545.4;-299.9;9.109462151915318e-07
30963;-3879.7;4536.9;-310.3;6.305579246558899e-07
30992;-3874.2;4528.4;-268.7;6.237149337552893e-07
31088;-3852.4;4494.5;-310.3;3.967453835132327e-07
31140;-3841.6;4477.5;-289.5;9.69432783058302e-07
31163;-3836.1;4469.1;-310.3;7.131718203341501e-07
31237;-3819.8;4443.6;-320.8;5.563648669303374e-07
31264;-3814.3;4435.2;-299.9;5.499131277216364e-07
