#################################################################
# created:  07-Jul-2020 17:49:35
# --------------------------------------------------------------
# program:       20180927.023
# PP:            133704
# UTC:           1538044048923848960 - 1538044061423848960
# name:          ID16_3.5MW_ne_6_4s
# description:   
# sessionInfo:   
# comment:       Configuration Scans (High Iota)
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 3301ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Diagnostics: DBB: 
#            5 - Diagnostics: DBB: 
#            6 - Diagnostics: DBB: 
#            7 - Diagnostics: DBB: 
#            8 - Diagnostics: DBB: 
#            9 - Heating: CBG: 3000.0kW
#           10 - Heating: CBG: 10.2003MJ
#           11 - Heating: CBG: 3.4002s
#           12 - Heating: CBG: X2-mode
#           13 - Heating: CBG: 
#           14 - Heating: CBG: 
#           15 - Heating: CBG: 
#           16 - Heating: CBG: 
#           17 - Heating: CBG: 
#           18 - Heating: CBG: 
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Magnetic field: AAQ: 
#           26 - Experiment: : Physics
#           27 - Experiment: : Olaf Grulke
#           28 - Experiment: : S53
#           29 - Experiment: : Tamara Andreeva
#           30 - Experiment: : Marcin Jakubowski
#           31 - Experiment: : astechow_005
#           32 - Experiment: : tya_003
#           33 - Experiment: : tya_008
#           34 - Experiment: : thomsen_005
#           35 - Experiment: : cob_001
#           36 - Experiment: : daz_003
#           37 - Experiment: : daz_004
#           38 - Experiment: : fwa_008
#           39 - Fuelling: QSQ: Ar
#           40 - Magnetic field: AAE: FMM002+252
# 
# --------------------------------------------------------------
# timeSlice/ref:    /241
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20180927.25
# requested by:     tya@ipp.mpg.degeiger@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - dinklage@ipp.mpg.de: TS
# contributors:     (5) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (8) - dinklage@ipp.mpg.de: fit to data
# contributors:     (11) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (12) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (13) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (14) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (15) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (16) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (17) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (18) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (19) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (20) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (21) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (22) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         278
# 
# parameters:   1 - densityCorrectionFactor: 1.3900
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5406
#               7 - R: 5.5118
#               8 - B: 2.3802
#               9 - iota23: 0.9476
#              10 - iotaa: 1.0562
#              11 - kappa: 6.1334
#              12 - betaTotal: 0.0044
#              13 - betaPeaking: 3.0392
#              14 - mirrorRatio: 0.0437
# 
# results:      1 - Zeff: 1.43121
#               2 - nc: 0.91381
#               3 - neL: 5.780310^{19} m^{-2}
#               4 - Wdia: 545.5484kJ
#               5 - PECH: 2665.9281kW
#               6 - Te0: 3.1822keV
#               7 - Ti0: 1.7114keV
#               8 - ne0: 5.320810^{19} m^{-3}
#               9 - Ip: 0.1490kA
#              10 - tauLRp: 9.7932s
#              11 - tauLRZ: 9.7932s
#              12 - tauLR: 9.7932s
#              13 - IBCp: 2.3174kA
#              14 - IBCp: 2.3174kA
#              15 - IBC: 2.3174kA
#              16 - neLTS: 6.412410^{19} m^{-2}
#              17 - Wkin: 586.9203kJ
#              18 - tauE: 0.2046s
#              19 - |ne|L: 4.4464m^{-3}
#              20 - tauEISS04: 0.2471s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06u (params: 0.6         0.3        0.32           3)
#               2 - T_e (TS) fitted with GP06u (params: 0.3           80)
#               3 - n_e (TS) fitted with GP08 (params: 0.5)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.2000s
#  data time:         3.1862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 3.89288520 0.58473176 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.14035630 0.27345935 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.43193150 0.33472323 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 2.92931630 0.22968528 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 2.78613200 0.34607282 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 2.45989040 0.31880412 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 1.95664750 0.15883015 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 1.76722120 0.12039544 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.31487250 0.12595081 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.21246360 0.11804817 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.84882270 0.08525990 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.79392874 0.07887019 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.42210197 0.03840249 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.18295656 0.02503248 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.04389205 0.01672588 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 24.99995200 16.45141400 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 3.35566140 0.24343456 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 3.14943170 0.20500916 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 3.12075760 0.23447238 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 2.85378310 0.32588240 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 2.18316560 0.16804157 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 1.99280040 0.19659205 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 1.31865440 0.13783580 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 1.67782700 0.21289992 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 1.13306890 0.25203290 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 1.31485270 0.34009950 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.93377130 0.11689059 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 1.12320180 0.17710339 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.94567484 0.17710339 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.82938254 0.18797532 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.69446460 0.10588942 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.83741754 0.12343251 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.63221765 0.18380828 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.50374496 0.09554986 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.41147700 0.10671441 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.18830854 0.09542193 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.34341827 0.11038244 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.14681293 0.03303553 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.09849115 0.02403262 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.14663320 0.03164952 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.02619981 0.01208272 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.06946777 0.03182375 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.2000s
#  data time:         3.1862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 3.35152600 0.22232890 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.04686050 0.17618889 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.24624230 0.19433545 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 3.77836230 0.15897241 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 3.96617980 0.25246742 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 4.21647930 0.25388572 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 3.23321300 0.14971973 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 3.18314800 0.13775028 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 3.42582900 0.16320373 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 3.12294440 0.16011855 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 3.75727870 0.23018800 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 3.41918280 0.23698145 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 2.92389500 0.15362953 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 1.93526260 0.16846734 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.49128857 0.09902374 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.33766192 0.13101524 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 4.22762900 0.17323259 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 4.47086500 0.18195519 NaN   0 NaN NaN NaN 
