#################################################################
# created:  07-Jul-2020 12:44:18
# --------------------------------------------------------------
# program:       20180927.024
# PP:            133726
# UTC:           1538044493634849024 - 1538044517734849024
# name:          ID17_2MW_ne_3.5_NBIblibs_15s
# description:   
# sessionInfo:   
# comment:       Configuration Scans (High Iota)
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 14901ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Heating: CDA: 3600.0kW
#            5 - Heating: CDA: 0.14399999999997135MJ
#            6 - Heating: CDA: 0.999998000000005s
#            7 - Heating: CDA: 
#            8 - Heating: CDA: 
#            9 - Diagnostics: DBB: 
#           10 - Diagnostics: DBB: 
#           11 - Diagnostics: DBB: 
#           12 - Diagnostics: DBB: 
#           13 - Diagnostics: DBB: 
#           14 - Heating: CBG: 2000.0kW
#           15 - Heating: CBG: 30.000199999999996MJ
#           16 - Heating: CBG: 15.0002s
#           17 - Heating: CBG: X2-mode
#           18 - Heating: CBG: 
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Magnetic field: AAQ: 
#           27 - Experiment: : Physics
#           28 - Experiment: : Olaf Grulke
#           29 - Experiment: : S53
#           30 - Experiment: : Tamara Andreeva
#           31 - Experiment: : Marcin Jakubowski
#           32 - Experiment: : uhn_005
#           33 - Experiment: : tya_003
#           34 - Experiment: : sjamsa_010
#           35 - Experiment: : thomsen_005
#           36 - Experiment: : kbr_006
#           37 - Experiment: : daz_003
#           38 - Experiment: : daz_004
#           39 - Experiment: : cob_001
#           40 - Experiment: : fwa_008
#           41 - Fuelling: QSQ: Ar
#           42 - Magnetic field: AAE: FMM002+252
# 
# --------------------------------------------------------------
# timeSlice/ref:    /240
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20180927.25
# requested by:     tya@ipp.mpg.degeiger@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - dinklage@ipp.mpg.de: TS
# contributors:     (5) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (8) - dinklage@ipp.mpg.de: fit to data
# contributors:     (11) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (12) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (13) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (14) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (15) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (16) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (17) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (18) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (19) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (20) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (21) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (22) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         278
# 
# parameters:   1 - densityCorrectionFactor: 1.2000
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5406
#               7 - R: 5.5118
#               8 - B: 2.3802
#               9 - iota23: 0.9476
#              10 - iotaa: 1.0562
#              11 - kappa: 6.1334
#              12 - betaTotal: 0.0044
#              13 - betaPeaking: 3.0392
#              14 - mirrorRatio: 0.0437
# 
# results:      1 - Zeff: 1.52241
#               2 - nc: 0.89551
#               3 - neL: 3.822510^{19} m^{-2}
#               4 - Wdia: 416.2080kJ
#               5 - PECH: 1974.5702kW
#               6 - Te0: 4.1567keV
#               7 - Ti0: 1.8104keV
#               8 - ne0: 2.634910^{19} m^{-3}
#               9 - Ip: 2.7714kA
#              10 - tauLRp: 13.4931s
#              11 - tauLRZ: 13.4931s
#              12 - tauLR: 13.4931s
#              13 - IBCp: 6.9104kA
#              14 - IBCp: 6.9104kA
#              15 - IBC: 6.9104kA
#              16 - neLTS: 3.250710^{19} m^{-2}
#              17 - Wkin: 371.5480kJ
#              18 - tauE: 0.2108s
#              19 - |ne|L: 2.9404m^{-3}
#              20 - tauEISS04: 0.2374s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06u (params: 0.6         0.3        0.32           3)
#               2 - T_e (TS) fitted with GP06u (params: 0.3           80)
#               3 - n_e (TS) fitted with GP08 (params: 0.5)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              13.0000s
#  data time:         12.9862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 5.26782370 1.05203370 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.79164740 0.42676443 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 4.02730370 0.53670675 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 3.43455270 0.32712640 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 3.17134360 0.49668047 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 3.06417400 0.57778317 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 2.91913990 0.32330424 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 2.37023100 0.22890407 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.97565560 0.19801202 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.49252940 0.15290530 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 1.15707180 0.11666304 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 1.00953910 0.12858298 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.49858070 0.07181093 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.21176288 0.04170653 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.02965801 0.01856286 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.40212460 0.48817202 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 4.27242470 0.38125703 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 4.20092200 0.32465250 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 6.44991540 1.14440950 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 3.59507920 0.41521150 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 3.01854900 0.24605632 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 24.99998300 13.79078700 NaN   1 NaN NaN NaN 
1025.00000000 NaN NaN 2.23293140 0.41317677 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 2.22911380 0.30239870 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 1.70608000 0.61617680 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 1.49323950 0.47769073 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 1.32831420 0.25374860 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 1.20266260 0.24103802 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.98516360 0.16425627 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 1.32249780 0.41191956 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.97382253 0.15393989 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 1.21455360 0.22312969 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.83333440 0.16027601 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.24384667 0.13776068 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.54582480 0.12734182 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.27520560 0.27304038 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.25507212 0.11212282 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.29201248 0.19383001 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.16739598 0.05185167 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.13546972 0.02769405 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.04145997 0.01803737 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.05956182 0.03697143 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              13.0000s
#  data time:         12.9862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 1.96368850 0.16395262 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 1.84523360 0.12198286 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 2.03906560 0.15030766 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 2.34444330 0.11136568 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 2.15806400 0.18100727 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 2.32831550 0.17682263 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 2.01903410 0.11236225 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 1.87865970 0.09240729 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 2.17457270 0.12802202 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.92283940 0.10344929 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 2.27324990 0.16731401 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 2.09014130 0.17188688 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 1.53167680 0.12127421 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.94318587 0.12535581 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.26514673 0.08119304 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.13983522 0.11853733 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 2.58306550 0.13411306 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 2.55697560 0.12741275 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 1.69060330 0.14156683 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 2.55927440 0.16106702 NaN   0 NaN NaN NaN 
