#################################################################
# created:  07-Jul-2020 11:00:51
# --------------------------------------------------------------
# program:       20180927.025
# PP:            135371
# UTC:           1538045997798849024 - 1538046023148848896
# name:          ID18_2-4MW_ne_3.5-6_16.25s
# description:   
# sessionInfo:   
# comment:       Configuration Scans (High Iota)
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 16151ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Diagnostics: DBB: 
#            5 - Diagnostics: DBB: 
#            6 - Diagnostics: DBB: 
#            7 - Diagnostics: DBB: 
#            8 - Diagnostics: DBB: 
#            9 - Heating: CBG: 4500.0kW
#           10 - Heating: CBG: 54.825425MJ
#           11 - Heating: CBG: 16.2502s
#           12 - Heating: CBG: X2-mode
#           13 - Heating: CBG: 
#           14 - Heating: CBG: 
#           15 - Heating: CBG: 
#           16 - Heating: CBG: 
#           17 - Heating: CBG: 
#           18 - Heating: CBG: 
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Magnetic field: AAQ: 
#           29 - Experiment: : Physics
#           30 - Experiment: : Olaf Grulke
#           31 - Experiment: : S53
#           32 - Experiment: : Tamara Andreeva
#           33 - Experiment: : Marcin Jakubowski
#           34 - Experiment: : tya_003
#           35 - Experiment: : uhn_005
#           36 - Experiment: : sjamsa_010
#           37 - Experiment: : thomsen_005
#           38 - Experiment: : kbr_006
#           39 - Experiment: : daz_003
#           40 - Experiment: : daz_004
#           41 - Experiment: : cob_001
#           42 - Experiment: : fwa_008
#           43 - Fuelling: QSQ: Ar
#           44 - Magnetic field: AAE: FMM002+252
# 
# --------------------------------------------------------------
# timeSlice/ref:    /98
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20180927.25
# requested by:     tya@ipp.mpg.degeiger@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - dinklage@ipp.mpg.de: TS
# contributors:     (5) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (8) - dinklage@ipp.mpg.de: fit to data
# contributors:     (11) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (12) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (13) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (14) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (15) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (16) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (17) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (18) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (19) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (20) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (21) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (22) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         278
# 
# parameters:   1 - densityCorrectionFactor: 1.3900
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5406
#               7 - R: 5.5118
#               8 - B: 2.3802
#               9 - iota23: 0.9476
#              10 - iotaa: 1.0562
#              11 - kappa: 6.1334
#              12 - betaTotal: 0.0044
#              13 - betaPeaking: 3.0392
#              14 - mirrorRatio: 0.0437
# 
# results:      1 - Zeff: 1.35121
#               2 - nc: 0.92981
#               3 - neL: 3.533910^{19} m^{-2}
#               4 - Wdia: 351.8213kJ
#               5 - PECH: 1436.6981kW
#               6 - Te0: 3.7369keV
#               7 - Ti0: 1.6465keV
#               8 - ne0: 2.922810^{19} m^{-3}
#               9 - Ip: 1.0873kA
#              10 - tauLRp: 11.4086s
#              11 - tauLRZ: 11.4086s
#              12 - tauLR: 11.4086s
#              13 - IBCp: 4.8977kA
#              14 - IBCp: 4.8977kA
#              15 - IBC: 4.8977kA
#              16 - neLTS: 3.465510^{19} m^{-2}
#              17 - Wkin: 354.7108kJ
#              18 - tauE: 0.2449s
#              19 - |ne|L: 2.7184m^{-3}
#              20 - tauEISS04: 0.2762s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06u (params: 0.4         0.4         0.4           3)
#               2 - T_e (TS) fitted with GP06u (params: 0.3           80)
#               3 - n_e (TS) fitted with GP08 (params: 0.5)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.5000s
#  data time:         3.4862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 4.19344140 0.71663487 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.72942780 0.40734360 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.59124110 0.39649710 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 3.37711670 0.32668704 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 3.57699500 0.66914290 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 2.68734860 0.44965720 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 2.30956530 0.24436963 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 1.84145460 0.17155622 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.61971700 0.16907947 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.12958530 0.11965875 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 1.06126500 0.11098441 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.95191420 0.11091900 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.44284415 0.05495395 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.19427319 0.03293483 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.06430775 0.04217847 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.63512146 1.51496920 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 3.98555090 0.36296980 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 4.36230040 0.36214690 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 24.99999800 0.00000000 NaN   1 NaN NaN NaN 
1016.00000000 NaN NaN 2.77049700 0.34350705 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 2.88349900 0.35611830 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 14.87362800 17.12317500 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 2.12157820 0.37868443 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 2.16685150 0.32605960 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 1.29353420 0.42632330 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 1.63478040 0.58186910 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 1.08818440 0.19247319 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 1.32682420 0.25979888 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 1.24165680 0.35721440 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.93877900 0.24309497 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.77956780 0.11296183 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 1.14385990 0.18182948 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.88169800 0.15380037 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.52491087 0.24160020 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.30539867 0.12395669 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.31020734 0.26883388 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.16867334 0.06799637 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.15820658 0.05124329 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.11774938 0.03176370 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.08662160 0.01859781 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.00000000 0.00000000 NaN   1 NaN NaN NaN 
1076.00000000 NaN NaN 0.17988117 0.31266190 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.5000s
#  data time:         3.4862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 2.03072360 0.16010106 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 1.78334470 0.11689126 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 1.93944660 0.13374725 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 2.10071600 0.10331691 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 2.05973220 0.17374572 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 2.16244170 0.16837196 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 1.87437880 0.11061126 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 1.68086830 0.08926799 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.91527650 0.11422189 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.64691210 0.10272053 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 2.24220920 0.15995139 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 1.96126830 0.17063874 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 1.58099250 0.10992790 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.76344740 0.10376594 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.21084425 0.10052034 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.08517195 0.07808317 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 2.29999970 0.11282861 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 2.24982070 0.10425040 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 0.82583770 0.09572812 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 2.35932060 0.15433122 NaN   0 NaN NaN NaN 
