#################################################################
# created:  07-Jul-2020 09:43:25
# --------------------------------------------------------------
# program:       20180927.025
# PP:            135371
# UTC:           1538045997798849024 - 1538046023148848896
# name:          ID18_2-4MW_ne_3.5-6_16.25s
# description:   
# sessionInfo:   
# comment:       Configuration Scans (High Iota)
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 16151ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Diagnostics: DBB: 
#            5 - Diagnostics: DBB: 
#            6 - Diagnostics: DBB: 
#            7 - Diagnostics: DBB: 
#            8 - Diagnostics: DBB: 
#            9 - Heating: CBG: 4500.0kW
#           10 - Heating: CBG: 54.825425MJ
#           11 - Heating: CBG: 16.2502s
#           12 - Heating: CBG: X2-mode
#           13 - Heating: CBG: 
#           14 - Heating: CBG: 
#           15 - Heating: CBG: 
#           16 - Heating: CBG: 
#           17 - Heating: CBG: 
#           18 - Heating: CBG: 
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Magnetic field: AAQ: 
#           29 - Experiment: : Physics
#           30 - Experiment: : Olaf Grulke
#           31 - Experiment: : S53
#           32 - Experiment: : Tamara Andreeva
#           33 - Experiment: : Marcin Jakubowski
#           34 - Experiment: : tya_003
#           35 - Experiment: : uhn_005
#           36 - Experiment: : sjamsa_010
#           37 - Experiment: : thomsen_005
#           38 - Experiment: : kbr_006
#           39 - Experiment: : daz_003
#           40 - Experiment: : daz_004
#           41 - Experiment: : cob_001
#           42 - Experiment: : fwa_008
#           43 - Fuelling: QSQ: Ar
#           44 - Magnetic field: AAE: FMM002+252
# 
# --------------------------------------------------------------
# timeSlice/ref:    /99
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20180927.25
# requested by:     tya@ipp.mpg.degeiger@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - dinklage@ipp.mpg.de: TS
# contributors:     (5) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (8) - dinklage@ipp.mpg.de: fit to data
# contributors:     (11) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (12) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (13) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (14) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (15) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (16) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (17) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (18) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (19) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (20) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (21) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (22) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         278
# 
# parameters:   1 - densityCorrectionFactor: 1.3900
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5406
#               7 - R: 5.5118
#               8 - B: 2.3802
#               9 - iota23: 0.9476
#              10 - iotaa: 1.0562
#              11 - kappa: 6.1334
#              12 - betaTotal: 0.0044
#              13 - betaPeaking: 3.0392
#              14 - mirrorRatio: 0.0437
# 
# results:      1 - Zeff: 1.69381
#               2 - nc: 0.86121
#               3 - neL: 3.401910^{19} m^{-2}
#               4 - Wdia: 486.8094kJ
#               5 - PECH: 3807.8754kW
#               6 - Te0: 6.2324keV
#               7 - Ti0: 1.7272keV
#               8 - ne0: 2.649010^{19} m^{-3}
#               9 - Ip: 1.6569kA
#              10 - tauLRp: 22.3023s
#              11 - tauLRZ: 22.3023s
#              12 - tauLR: 22.3023s
#              13 - IBCp: 13.2516kA
#              14 - IBCp: 13.2516kA
#              15 - IBC: 13.2516kA
#              16 - neLTS: 3.284010^{19} m^{-2}
#              17 - Wkin: 486.6859kJ
#              18 - tauE: 0.1278s
#              19 - |ne|L: 2.6168m^{-3}
#              20 - tauEISS04: 0.1493s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06u (params: 0.6        0.42        0.42           3)
#               2 - T_e (TS) fitted with GP06u (params: 0.3           80)
#               3 - n_e (TS) fitted with GP08 (params: 0.5)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              6.0000s
#  data time:         5.9862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 7.99557640 1.66184380 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 5.93531400 1.03872240 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 6.18824240 1.32718520 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 5.25128460 0.66452890 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 5.06336160 0.99687934 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 5.01406860 1.14440950 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 4.22461940 0.50957170 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 3.30673740 0.33411205 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 3.38342950 0.37245935 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 2.23560290 0.24462406 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 1.70873740 0.16602318 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 1.38017270 0.18375711 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.87488010 0.11465037 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.23897007 0.04010283 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.06800824 0.02465902 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 21.13651800 34.24635000 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 6.29970600 0.66772115 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 6.48839330 0.69374740 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 24.99998700 3.74401900 NaN   1 NaN NaN NaN 
1016.00000000 NaN NaN 5.27895500 0.62457365 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 5.09750650 0.58963686 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 24.99992800 9.88606900 NaN   1 NaN NaN NaN 
1025.00000000 NaN NaN 3.97301750 0.49379793 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 4.42030300 0.61762810 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 2.20454960 0.78801890 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 3.21434330 0.72716590 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 1.89225770 0.46984866 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 1.70168260 0.42529200 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 1.81226620 0.66492540 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 2.53895500 0.93600476 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 1.15560630 0.19901700 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 1.34112170 0.26441312 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 1.16539010 0.35379857 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.60214350 0.13552967 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.64851457 0.20720320 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.86657220 0.76084214 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.26807997 0.08525180 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.22821563 0.15816052 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.14491436 0.03334083 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.20904502 0.08842428 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.43905535 0.38959092 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.14382789 0.36203223 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              6.0000s
#  data time:         5.9862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 1.98387190 0.15189030 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 1.69529780 0.11220584 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 1.69333160 0.12915674 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 1.94031820 0.10009018 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 2.10470560 0.18059446 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 1.90728490 0.17406973 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 1.80900600 0.10174327 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 1.65153810 0.08639798 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.89998690 0.10113247 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.51595700 0.09178853 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 2.15775590 0.15586340 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 1.77721390 0.16709612 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 1.73183360 0.11682595 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.99991494 0.12963533 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.21262269 0.07353685 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.17559248 0.16645277 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 2.16168640 0.10871592 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 2.11203380 0.10977343 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 1.30702020 0.12039792 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 2.24603900 0.14603445 NaN   0 NaN NaN NaN 
