#################################################################
# created:  01-Jul-2020 08:19:02
# --------------------------------------------------------------
# program:       20181009.043
# PP:            141483
# UTC:           1539097572423392512 - 1539097587723392512
# name:          P9_NBI5000ms_C1E5_O2_1s_v7
# description:   
# sessionInfo:   
# comment:       NBI Heating in High Mirror
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 5901ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 37ms [BG015] FlowCtrl
#            4 - Fuelling: DCH: Ar 2ms [BG023] FeedForward
#            5 - Heating: CDA: 3600.0kW
#            6 - Heating: CDA: 17.639996399999983MJ
#            7 - Heating: CDA: 4.999998000000005s
#            8 - Heating: CDA: 
#            9 - Heating: CDA: 
#           10 - Diagnostics: DBB: 
#           11 - Diagnostics: DBB: 
#           12 - Diagnostics: DBB: 
#           13 - Diagnostics: DBB: 
#           14 - Diagnostics: DBB: 
#           15 - Heating: CBG: 2600.0kW
#           16 - Heating: CBG: 4.440250000000003MJ
#           17 - Heating: CBG: 6.2523s
#           18 - Heating: CBG: X2-mode
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Magnetic field: AAQ: 
#           26 - Experiment: : Physics
#           27 - Experiment: : Rudolf Brakel
#           28 - Experiment: : S62
#           29 - Experiment: : Samuel Lazerson
#           30 - Experiment: : Samuel Lazerson
#           31 - Experiment: : sul_016
#           32 - Experiment: : olfo_012
#           33 - Magnetic field: AAE: KJM+257
#           34 - Magnetic field: AAE: 2-AA78T1106
#           36 - Diagnostics: QRN Multipurpose Manipulator: IPP-FLUC1
# 
# --------------------------------------------------------------
# timeSlice/ref:    /206
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20181009.43
# requested by:     sam.lazerson@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - dinklage@ipp.mpg.de: TS
# contributors:     (5) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (8) - dinklage@ipp.mpg.de: fit to data
# contributors:     (11) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (12) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (13) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (14) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (15) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (16) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (17) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (18) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (19) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (20) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (21) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (22) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         66
# 
# parameters:   1 - densityCorrectionFactor: 1.0000
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5214
#               7 - R: 5.4925
#               8 - B: 2.6705
#               9 - iota23: 0.9032
#              10 - iotaa: 0.9787
#              11 - kappa: 5.0538
#              12 - betaTotal: 0.0083
#              13 - betaPeaking: 2.0247
#              14 - mirrorRatio: 0.0970
# 
# results:      1 - Zeff: 1.29501
#               2 - nc: 0.94101
#               3 - neL: 11.392410^{19} m^{-2}
#               4 - Wdia: 540.9337kJ
#               5 - PECH: 1.3892kW
#               6 - Te0: 1.1592keV
#               7 - Ti0: 1.2740keV
#               8 - ne0: 12.129210^{19} m^{-3}
#               9 - Ip: -0.8136kA
#              10 - tauLRp: 3.3052s
#              11 - tauLRZ: 3.3052s
#              12 - tauLR: 3.3052s
#              13 - IBCp: -0.5645kA
#              14 - IBCp: -0.5645kA
#              15 - IBC: -0.5645kA
#              16 - neLTS: 9.917610^{19} m^{-2}
#              17 - Wkin: 447.7836kJ
#              18 - tauE: 389.3924s
#              19 - |ne|L: 8.7634m^{-3}
#              20 - tauEISS04: 31.4226s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06 (params: 0.3        0.45         0.5)
#               2 - T_e (TS) fitted with GP06u (params: 0.3            2           10)
#               3 - n_e (TS) fitted with GP06u (params: 0.8           3           8)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.5000s
#  data time:         3.4862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 1.16498100 0.09084615 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 1.06283490 0.04486331 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 1.08459090 0.04246952 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 0.97565040 0.04540373 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 1.09270620 0.07364783 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 0.96852535 0.08386398 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 0.74870706 0.04562236 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 0.69721407 0.04347949 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 0.67414200 0.05016240 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 0.53035340 0.04975231 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.45721510 0.04109130 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.34460482 0.03366902 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.20393656 0.01519323 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.05267873 0.00719487 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.02440447 0.00584616 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 4.89362430 13.79078700 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 1.10474990 0.04958862 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 1.15367840 0.05340567 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 1.82072880 0.08672389 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 1.03182160 0.05678469 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 0.96121620 0.05546022 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 7.81802300 1.40455370 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 0.88881910 0.07604122 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 0.87889314 0.07092194 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 0.64273520 0.13870224 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 0.85239620 0.17318384 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.51507837 0.06962589 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 0.51837640 0.05244337 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.42791590 0.14446336 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.38793924 0.05390684 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.36080515 0.07246732 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.41371188 0.05240596 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.33541524 0.09781212 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.28342363 0.10437759 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.27345040 0.05568004 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.18369494 0.04298251 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.13326350 0.02705458 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.04086024 0.00772879 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.02059380 0.00316514 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.03414476 0.00957388 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.01000000 0.00174037 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.02019644 0.00397802 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.5000s
#  data time:         3.4862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 11.61605900 0.41583850 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 10.83495700 0.38722196 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 11.08097900 0.41409700 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 12.08534300 0.28564423 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 10.59185000 0.38850307 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 9.55180550 0.37978894 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 7.34901860 0.24085712 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 5.40669630 0.19161715 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 5.34859600 0.22367713 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 4.14905170 0.19234867 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 5.06092700 0.27041320 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 4.41866000 0.30444506 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 4.56469770 0.20663601 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 2.74532580 0.21737617 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 1.40326620 0.19715375 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.18463890 0.18398105 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 11.91013200 0.30063993 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 12.93775100 0.30980860 NaN   0 NaN NaN NaN 
