#################################################################
# created:  08-Jul-2020 09:19:58
# --------------------------------------------------------------
# program:       20181011.012
# PP:            143603
# UTC:           1539249569422392576 - 1539249584522392576
# name:          P6_4.5_3.5_2.5MW_NBI_20ms_5Hz_FB
# description:   
# sessionInfo:   
# comment:       Impurity transport at high-n X2
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 5901ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Fuelling: DCH: Ar 2ms [BG023] FeedForward
#            5 - Heating: CDA: 3600.0kW
#            6 - Heating: CDA: 2.0159999999999316MJ
#            7 - Heating: CDA: 5.599998999999997s
#            8 - Heating: CDA: 
#            9 - Heating: CDA: 
#           10 - Magnetic field: ACM: 
#           11 - Diagnostics: DBB: 
#           12 - Diagnostics: DBB: 
#           13 - Diagnostics: DBB: 
#           14 - Diagnostics: DBB: 
#           15 - Diagnostics: DBB: 
#           16 - Heating: CBG: 4500.0kW
#           17 - Heating: CBG: 20.165534999999995MJ
#           18 - Heating: CBG: 6.0002s
#           19 - Heating: CBG: X2-mode
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Magnetic field: AAQ: 
#           29 - Experiment: : Physics
#           30 - Experiment: : Olaf Grulke
#           31 - Experiment: : S65
#           32 - Experiment: : Yevgen Kazakov
#           33 - Experiment: : Arturo Alonso
#           34 - Experiment: : anla_008
#           35 - Experiment: : anla_009
#           36 - Experiment: : rjose_001
#           37 - Experiment: : twegner_004
#           38 - Fuelling: QSQ: Ar
#           39 - Fuelling: QSQ: H2
#           40 - Magnetic field: AAE: KJM+252
#           41 - Magnetic field: AAE: 2-AA78-T1109
#           42 - Diagnostics: QSL Laser Blow-Off: Fe(Ti)
# 
# result:   ok
# 
# --------------------------------------------------------------
# timeSlice/ref:    /50
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20181011.12
# requested by:     birger.buttenschoen@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - oliver.ford@ipp.mpg.de: CXRS
# contributors:     (5) - dinklage@ipp.mpg.de: TS
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (7) - dinklage@ipp.mpg.de: TS and Zeff and CXRS
# contributors:     (9) - dinklage@ipp.mpg.de: fit to data
# contributors:     (12) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (13) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (14) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (15) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (16) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (17) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (18) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (19) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (20) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (21) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (22) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (23) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         339
# 
# parameters:   1 - densityCorrectionFactor: 1.2412
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.4980
#               7 - R: 5.4940
#               8 - B: 2.6552
#               9 - iota23: 0.8973
#              10 - iotaa: 0.9644
#              11 - kappa: 5.1417
#              12 - betaTotal: 0.0069
#              13 - betaPeaking: 3.0486
#              14 - mirrorRatio: 0.0965
# 
# results:      1 - Zeff: 1.43931
#               2 - nc: 0.91211
#               3 - neL: 7.731110^{19} m^{-2}
#               4 - Wdia: 504.1307kJ
#               5 - PECH: 3669.6007kW
#               6 - Te0: 2.3736keV
#               7 - Ti0: 1.2841keV
#               8 - ne0: 6.283510^{19} m^{-3}
#               9 - Ip: 0.1929kA
#              10 - tauLRp: 5.1294s
#              11 - tauLRZ: 5.1294s
#              12 - tauLR: 5.1294s
#              13 - IBCp: -1.4530kA
#              14 - IBCp: -1.4530kA
#              15 - IBC: -1.4530kA
#              16 - neLTS: 7.775610^{19} m^{-2}
#              17 - Wkin: 464.2890kJ
#              18 - tauE: 0.1374s
#              19 - |ne|L: 5.9470m^{-3}
#              20 - tauEISS04: 0.1838s
# 
# fit:          1 - T_i (CXRS/CXRS&TS) fitted with GP06 (params: 0.7        0.18)
#               2 - T_e (TS/CXRS&TS) fitted with GP06 (params: 0.3         0.2)
#               3 - n_e (TS) fitted with GP08 (params: 0.65)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e () fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              1.3000s
#  data time:         1.2862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 2.77015140 0.32497633 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 2.37533710 0.17719345 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 2.45889570 0.18680505 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 2.36766270 0.17631105 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 1.75548730 0.13950202 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 1.69263230 0.21281563 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 1.10039030 0.06077264 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 0.95888555 0.08531597 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 0.76897620 0.05274785 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 0.65763560 0.06779344 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.46230862 0.04273147 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.33010910 0.03076153 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.20967448 0.01733326 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.09098289 0.01077089 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.02489255 0.00569064 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 24.99999400 0.00000000 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 2.52733920 0.17129742 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 2.58887390 0.16864054 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 2.69173740 0.17831440 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 1.79444170 0.19090377 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 1.72160780 0.17739658 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 3.84925030 0.42564770 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 1.14563820 0.10461718 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 1.17723740 0.11714231 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 0.62519950 0.12144057 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 0.88781860 0.18990030 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.62170196 0.05692837 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 0.65990037 0.08646116 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.62443680 0.18870685 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.47017520 0.13540602 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.49382415 0.08263696 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.35876277 0.08303852 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.33161747 0.10392532 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.24017416 0.06135972 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.31610010 0.05996814 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.23233859 0.08584424 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.17262837 0.02986086 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.10292692 0.01944444 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.06419978 0.01052041 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.09108081 0.01062221 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.02899973 0.00446862 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.05168365 0.01241377 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              1.3000s
#  data time:         1.2862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 4.54610730 0.26276314 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 4.13332030 0.21187745 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 4.23766040 0.22545460 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 4.79987050 0.17579769 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 5.17971800 0.26722902 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 5.23252960 0.28725246 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 4.55020140 0.17770879 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 3.85296920 0.15240884 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 4.43696550 0.18926750 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 3.64940360 0.17774390 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 4.48540350 0.25949913 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 4.02982430 0.28542423 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 3.84606000 0.17566311 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 3.46859500 0.21952110 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 1.43509110 0.18268292 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.18226665 0.30420074 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 5.38368030 0.19550572 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 5.46215200 0.20094448 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 5.44026140 0.20939547 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 5.56833650 0.27417704 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 5.57161600 0.28092176 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 1.63763340 0.17053574 NaN   0 NaN NaN NaN 
