#################################################################
# created:  08-Jul-2020 09:54:31
# --------------------------------------------------------------
# program:       20181011.012
# PP:            143603
# UTC:           1539249569422392576 - 1539249584522392576
# name:          P6_4.5_3.5_2.5MW_NBI_20ms_5Hz_FB
# description:   
# sessionInfo:   
# comment:       Impurity transport at high-n X2
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 5901ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Fuelling: DCH: Ar 2ms [BG023] FeedForward
#            5 - Heating: CDA: 3600.0kW
#            6 - Heating: CDA: 2.0159999999999316MJ
#            7 - Heating: CDA: 5.599998999999997s
#            8 - Heating: CDA: 
#            9 - Heating: CDA: 
#           10 - Magnetic field: ACM: 
#           11 - Diagnostics: DBB: 
#           12 - Diagnostics: DBB: 
#           13 - Diagnostics: DBB: 
#           14 - Diagnostics: DBB: 
#           15 - Diagnostics: DBB: 
#           16 - Heating: CBG: 4500.0kW
#           17 - Heating: CBG: 20.165534999999995MJ
#           18 - Heating: CBG: 6.0002s
#           19 - Heating: CBG: X2-mode
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Magnetic field: AAQ: 
#           29 - Experiment: : Physics
#           30 - Experiment: : Olaf Grulke
#           31 - Experiment: : S65
#           32 - Experiment: : Yevgen Kazakov
#           33 - Experiment: : Arturo Alonso
#           34 - Experiment: : anla_008
#           35 - Experiment: : anla_009
#           36 - Experiment: : rjose_001
#           37 - Experiment: : twegner_004
#           38 - Fuelling: QSQ: Ar
#           39 - Fuelling: QSQ: H2
#           40 - Magnetic field: AAE: KJM+252
#           41 - Magnetic field: AAE: 2-AA78-T1109
#           42 - Diagnostics: QSL Laser Blow-Off: Fe(Ti)
# 
# result:   ok
# 
# --------------------------------------------------------------
# timeSlice/ref:    /52
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20181011.12
# requested by:     birger.buttenschoen@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - oliver.ford@ipp.mpg.de: CXRS
# contributors:     (5) - dinklage@ipp.mpg.de: TS
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (7) - dinklage@ipp.mpg.de: TS and Zeff and CXRS
# contributors:     (9) - dinklage@ipp.mpg.de: fit to data
# contributors:     (12) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (13) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (14) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (15) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (16) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (17) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (18) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (19) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (20) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (21) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (22) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (23) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         339
# 
# parameters:   1 - densityCorrectionFactor: 1.2245
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.4980
#               7 - R: 5.4940
#               8 - B: 2.6552
#               9 - iota23: 0.8973
#              10 - iotaa: 0.9644
#              11 - kappa: 5.1417
#              12 - betaTotal: 0.0069
#              13 - betaPeaking: 3.0486
#              14 - mirrorRatio: 0.0965
# 
# results:      1 - Zeff: 1.50931
#               2 - nc: 0.89811
#               3 - neL: 7.892610^{19} m^{-2}
#               4 - Wdia: 420.9205kJ
#               5 - PECH: 2465.0447kW
#               6 - Te0: 1.4780keV
#               7 - Ti0: 1.1484keV
#               8 - ne0: 6.472710^{19} m^{-3}
#               9 - Ip: -0.1647kA
#              10 - tauLRp: 3.8194s
#              11 - tauLRZ: 3.8194s
#              12 - tauLR: 3.8194s
#              13 - IBCp: -0.9151kA
#              14 - IBCp: -0.9151kA
#              15 - IBC: -0.9151kA
#              16 - neLTS: 7.877410^{19} m^{-2}
#              17 - Wkin: 388.2111kJ
#              18 - tauE: 0.1708s
#              19 - |ne|L: 6.0712m^{-3}
#              20 - tauEISS04: 0.2369s
# 
# fit:          1 - T_i (CXRS/CXRS&TS) fitted with GP06 (params: 0.7        0.18)
#               2 - T_e (TS/CXRS&TS) fitted with GP06 (params: 0.3         0.2)
#               3 - n_e (TS) fitted with GP08 (params: 0.8)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e () fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              4.4000s
#  data time:         4.3862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 2.30797400 0.24072619 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 1.93490600 0.15228422 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 2.28189330 0.19239977 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 1.64073280 0.12027509 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 1.39454600 0.21617539 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 1.20485990 0.14794078 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 0.76735574 0.05498397 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 0.66313154 0.05543992 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 0.63524770 0.04654432 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 0.43839797 0.03624182 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.39699736 0.03406937 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.30564737 0.03211042 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.21292225 0.01647639 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.06240209 0.00639249 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.01460575 0.00247216 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.00000000 0.00000000 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 1.92972650 0.12419910 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 2.04732440 0.14746843 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 2.08419100 0.16208304 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 1.79741820 0.18099841 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 1.36519990 0.13182370 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 2.87728900 0.35746730 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 0.91981860 0.09119081 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 0.95932830 0.09384774 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 0.63252040 0.09422215 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 0.64816403 0.15845482 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.44451400 0.05012919 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 0.54941750 0.08408800 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.41579740 0.08223110 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.43411762 0.06194138 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.48265070 0.05802595 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.42972365 0.07996414 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.27939016 0.07666864 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.19980817 0.06300423 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.30459390 0.05943272 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.17252648 0.05621032 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.12788345 0.02760139 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.06750803 0.02191191 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.02617035 0.00470352 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.05572580 0.01294765 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.01544619 0.00281446 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.02562515 0.00556737 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              4.4000s
#  data time:         4.3862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 4.91483300 0.28497753 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 4.44066700 0.25077406 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 4.57495000 0.26542506 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 5.02094750 0.19530743 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 5.23237800 0.30798453 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 5.46761800 0.30235943 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 4.60209600 0.19140005 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 4.26214200 0.17703120 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 4.54373000 0.20991800 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 3.80045300 0.18619342 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 4.67884700 0.26557267 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 4.33249900 0.33590192 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 4.10449270 0.19413862 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 3.37353010 0.23871863 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 1.77934900 0.24845130 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.00000000 0.00000000 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 5.70014000 0.21526028 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 6.06586170 0.22722927 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 5.81889440 0.24099822 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 5.65436550 0.28168094 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 5.60780050 0.30230640 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 2.62857320 0.25560180 NaN   0 NaN NaN NaN 
