#################################################################
# created:  10-Jul-2020 11:34:36
# --------------------------------------------------------------
# program:       20181017.033
# PP:            149545
# UTC:           1539784334993392384 - 1539784353593392384
# name:          ID4_9.5s_55MJ_6MW_prefill_redux
# description:   divertor overload
# sessionInfo:   
# comment:       Divertor Overload
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 9451ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 27ms [BG015] FlowCtrl
#            4 - Diagnostics: DBB: 
#            5 - Diagnostics: DBB: 
#            6 - Diagnostics: DBB: 
#            7 - Diagnostics: DBB: 
#            8 - Diagnostics: DBB: 
#            9 - Heating: CBG: 6070.0kW
#           10 - Heating: CBG: 56.02905350000001MJ
#           11 - Heating: CBG: 9.5002s
#           12 - Heating: CBG: X2-mode
#           13 - Heating: CBG: 
#           14 - Heating: CBG: 
#           15 - Heating: CBG: 
#           16 - Heating: CBG: 
#           17 - Heating: CBG: 
#           18 - Heating: CBG: 
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Experiment: : Physics
#           29 - Experiment: : Rudolf Brakel
#           30 - Experiment: : S70
#           31 - Experiment: : Marcin Jakubowski
#           32 - Experiment: : Marcin Jakubowski
#           33 - Experiment: : jakubows_005
#           34 - Magnetic field: AAE: EJM+252
#           35 - Magnetic field: AAE: 2-AA78-T1112
# 
# --------------------------------------------------------------
# timeSlice/ref:    /242
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20181017.33
# requested by:     dinklage@ipp.mpg.deaxel.koenies@ipp.mpg.dechristoph.slaby@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - vecsei.miklos@energia.mta.hu: AM Beam
# contributors:     (5) - dinklage@ipp.mpg.de: TS
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (7) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (9) - dinklage@ipp.mpg.de: fit to data
# contributors:     (12) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (13) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (14) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (15) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (16) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (17) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (18) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (19) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (20) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (21) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (22) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         168
# 
# parameters:   1 - densityCorrectionFactor: 1.3800
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5160
#               7 - R: 5.5155
#               8 - B: 3.2001
#               9 - iota23: 0.8903
#              10 - iotaa: 0.9687
#              11 - kappa: 5.7301
#              12 - betaTotal: 0.0033
#              13 - betaPeaking: 3.0303
#              14 - mirrorRatio: 0.0408
# 
# results:      1 - Zeff: 1.70001
#               2 - nc: 0.86001
#               3 - neL: 6.047310^{19} m^{-2}
#               4 - Wdia: 598.1902kJ
#               5 - PECH: 5829.7754kW
#               6 - Te0: 4.5262keV
#               7 - Ti0: 1.6845keV
#               8 - ne0: 4.516310^{19} m^{-3}
#               9 - Ip: 3.0150kA
#              10 - tauLRp: 12.6788s
#              11 - tauLRZ: 12.6788s
#              12 - tauLR: 12.6788s
#              13 - IBCp: 9.7126kA
#              14 - IBCp: 9.7126kA
#              15 - IBC: 9.7126kA
#              16 - neLTS: 5.912110^{19} m^{-2}
#              17 - Wkin: 578.7183kJ
#              18 - tauE: 0.1026s
#              19 - |ne|L: 4.6518m^{-3}
#              20 - tauEISS04: 0.1381s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06 (params: 0.3          0.2         0.26           15)
#               2 - T_e (TS) fitted with GP06u* (params: 0.3           2           4)
#               3 - n_e (TS/AM) fitted with GP06u* (params: 0.3        0.25        0.25           3)
#               4 - n_i (asForNeCorrectedForZeff) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.0000s
#  data time:         2.9872s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 4.26137970 0.67061670 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 4.39692400 0.50522786 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 4.51524070 0.56482860 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 4.11100440 0.38596165 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 4.24819140 0.62935410 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 3.63241840 0.52844310 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 3.35802630 0.31057206 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 2.59306570 0.22803131 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.92953420 0.17390545 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.37692870 0.14463654 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.93173460 0.08625637 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.58061000 0.08399345 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.32193306 0.02951356 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.11394722 0.01401239 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.05200875 0.00834850 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 24.99991000 29.65820900 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 4.39532140 0.35181406 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 4.49930570 0.31965244 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 25.00000000 0.00000000 NaN   1 NaN NaN NaN 
1016.00000000 NaN NaN 3.75206900 0.33382090 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 3.59968850 0.35094480 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 0.53108364 0.09684368 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 1.96482470 0.27350733 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 2.17987100 0.34427860 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 1.63112750 0.48334274 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 1.39344440 0.36784005 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.73629490 0.10118794 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 0.88230150 0.10408992 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.76425797 0.16360083 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.54704684 0.15952970 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.57668640 0.06932700 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.54039305 0.08600033 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.31090876 0.11408385 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.25234100 0.11234251 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.29814285 0.06287450 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.04208775 0.02446095 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.04440926 0.01662585 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 24.99998700 59.31641800 NaN   1 NaN NaN NaN 
1073.00000000 NaN NaN 0.04112748 0.01683942 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.03466435 0.01339931 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.02923850 0.00944002 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.03723935 0.01278715 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              3.0000s
#  data time:         2.9872s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 3.31707450 0.23873700 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.00793900 0.17358717 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.14873100 0.19206060 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 3.43447470 0.15297341 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 3.47678260 0.23892188 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 3.88630800 0.26344123 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 3.23124200 0.14803290 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 2.87571900 0.13381104 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 3.20465400 0.15984507 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 2.75222160 0.14737737 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 3.31989930 0.21715681 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 2.78430750 0.23681237 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 2.99463490 0.16514480 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 2.21639230 0.19077290 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 1.27013710 0.17265701 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.21606281 0.17145658 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 4.00099600 0.18186536 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 4.21759560 0.17539643 NaN   0 NaN NaN NaN 
