#################################################################
# created:  02-Jul-2020 08:55:06
# --------------------------------------------------------------
# program:       20181017.033
# PP:            149545
# UTC:           1539784334993392384 - 1539784353593392384
# name:          ID4_9.5s_55MJ_6MW_prefill_redux
# description:   divertor overload
# sessionInfo:   
# comment:       Divertor Overload
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 9451ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 27ms [BG015] FlowCtrl
#            4 - Diagnostics: DBB: 
#            5 - Diagnostics: DBB: 
#            6 - Diagnostics: DBB: 
#            7 - Diagnostics: DBB: 
#            8 - Diagnostics: DBB: 
#            9 - Heating: CBG: 6070.0kW
#           10 - Heating: CBG: 56.02905350000001MJ
#           11 - Heating: CBG: 9.5002s
#           12 - Heating: CBG: X2-mode
#           13 - Heating: CBG: 
#           14 - Heating: CBG: 
#           15 - Heating: CBG: 
#           16 - Heating: CBG: 
#           17 - Heating: CBG: 
#           18 - Heating: CBG: 
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Experiment: : Physics
#           29 - Experiment: : Rudolf Brakel
#           30 - Experiment: : S70
#           31 - Experiment: : Marcin Jakubowski
#           32 - Experiment: : Marcin Jakubowski
#           33 - Experiment: : jakubows_005
#           34 - Magnetic field: AAE: EJM+252
#           35 - Magnetic field: AAE: 2-AA78-T1112
# 
# --------------------------------------------------------------
# timeSlice/ref:    /239
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20181017.33
# requested by:     dinklage@ipp.mpg.deaxel.koenies@ipp.mpg.dechristoph.slaby@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - dinklage@ipp.mpg.de: TS
# contributors:     (5) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (8) - dinklage@ipp.mpg.de: fit to data
# contributors:     (11) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (12) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (13) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (14) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (15) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (16) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (17) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (18) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (19) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (20) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (21) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         168
# 
# parameters:   1 - densityCorrectionFactor: 1.3000
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5160
#               7 - R: 5.5155
#               8 - B: 3.2001
#               9 - iota23: 0.8903
#              10 - iotaa: 0.9687
#              11 - kappa: 5.7301
#              12 - betaTotal: 0.0033
#              13 - betaPeaking: 3.0303
#              14 - mirrorRatio: 0.0408
# 
# results:      1 - Zeff: 1.70001
#               2 - nc: 0.86001
#               3 - neL: 6.953110^{19} m^{-2}
#               4 - Wdia: 624.0872kJ
#               5 - PECH: 5663.5885kW
#               6 - Te0: 3.6934keV
#               7 - Ti0: 1.7717keV
#               8 - ne0: 5.190010^{19} m^{-3}
#               9 - Ip: 6.2550kA
#              10 - tauLRp: 9.8754s
#              11 - tauLRZ: 9.8754s
#              12 - tauLR: 9.8754s
#              13 - IBCp: 5.6257kA
#              14 - IBCp: 5.6257kA
#              15 - IBC: 5.6257kA
#              16 - neLTS: 6.908010^{19} m^{-2}
#              17 - Wkin: 566.6392kJ
#              18 - tauE: 0.1102s
#              19 - |ne|L: 5.3485m^{-3}
#              20 - tauEISS04: 0.1515s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06 (params: 0.3          0.2         0.26           15)
#               2 - T_e (TS) fitted with GP06u* (params: 0.3           2           4)
#               3 - n_e (TS) fitted with GP08 (params: 0.8           3           8)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              8.0000s
#  data time:         7.9872s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 4.44939700 0.65408370 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.87469720 0.40690246 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.62224720 0.34940708 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 3.33680030 0.27118500 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 3.37380650 0.41603792 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 3.47387650 0.47755910 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 2.54611440 0.19639637 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 1.74741240 0.12861305 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.51669320 0.12957269 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.16964100 0.10294964 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.75900316 0.05551005 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.55745150 0.06807856 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.29673728 0.02409726 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.13915148 0.01255409 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.03471664 0.00843118 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 2.79209500 4.78763150 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 3.60770200 0.24635005 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 3.95102170 0.25896440 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 14.98039200 4.70409770 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 3.08651230 0.30283785 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 2.84058620 0.27103636 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 0.60987633 0.10847333 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 1.78872060 0.25539560 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 1.84158240 0.26223108 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 1.11645140 0.23499529 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 1.32831620 0.35399696 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.74522500 0.07799510 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 0.78097510 0.12082629 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.65021664 0.09151927 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.58153490 0.10889072 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.34187037 0.07027721 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.44110265 0.06010695 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.28613526 0.08276315 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.22682520 0.07587668 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.21391028 0.03930225 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.10845652 0.05123610 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.10422431 0.02219816 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.04099932 0.01338240 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.06792781 0.01169670 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.04188969 0.01396381 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.03487486 0.00706986 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.07864525 0.02906362 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              8.0000s
#  data time:         7.9872s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 3.93870120 0.26111332 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.42936730 0.19018169 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.71342200 0.21171004 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 4.17860700 0.16975006 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 4.31833170 0.26962984 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 4.67254700 0.28565583 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 3.77865700 0.15817120 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 3.72936960 0.15547875 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 3.98246100 0.18454695 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 3.40292620 0.16546609 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 3.91753360 0.23285525 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 3.59371110 0.27441168 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 3.52966070 0.16619286 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 2.97066500 0.20405467 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 1.28200170 0.18606468 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.16151100 0.08286525 NaN   0 NaN NaN NaN 
