idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
60794;-3922.7;4772.6;-247.8;1.5751199429296294e-05
60846;-3911.8;4755.7;-227.0;7.238993067151889e-06
60918;-3895.5;4730.2;-258.2;9.006631859555773e-06
60944;-3890.1;4721.8;-247.8;7.945835753366125e-06
61015;-3873.7;4696.3;-289.5;1.954043288428339e-06
61022;-3873.7;4696.3;-216.6;4.845412774176985e-06
61070;-3862.8;4679.4;-237.4;8.559644742878942e-06
61092;-3857.4;4670.9;-268.7;5.639651298295234e-06
61093;-3857.4;4670.9;-258.2;8.464489012546343e-06
61143;-3846.5;4653.9;-258.2;5.577217949389127e-06
61145;-3846.5;4653.9;-237.4;3.7223074960018974e-06
61244;-3824.7;4620.0;-247.8;3.5707887050366623e-06
64142;-3919.6;4786.6;-268.7;1.7125010862114057e-05
64169;-3914.2;4778.1;-247.8;2.245587541461011e-05
64171;-3914.2;4778.1;-227.0;1.4985933959425766e-05
64196;-3908.8;4769.6;-227.0;1.2804355241913773e-05
64219;-3903.3;4761.1;-247.8;1.8991204494606227e-05
64242;-3897.9;4752.7;-268.7;1.2518230323481883e-05
64269;-3892.4;4744.2;-247.8;1.8606068002027272e-05
64293;-3887.0;4735.7;-258.2;1.6307681235682917e-05
64319;-3881.5;4727.2;-247.8;1.2149742564679346e-05
64342;-3876.1;4718.8;-268.7;1.5132140533215317e-05
64345;-3876.1;4718.8;-237.4;1.5155991845801665e-05
64370;-3870.6;4710.3;-237.4;1.5001581903594872e-05
64392;-3865.2;4701.8;-268.7;1.482653159961257e-05
64417;-3859.8;4693.3;-268.7;1.4677075972670888e-05
64418;-3859.8;4693.3;-258.2;9.788930754184163e-06
64442;-3854.3;4684.8;-268.7;1.4527397360333541e-05
64445;-3854.3;4684.8;-237.4;1.4547598610019797e-05
64470;-3848.9;4676.4;-237.4;1.0587589748116411e-05
64493;-3843.4;4667.9;-258.2;1.1487322286382827e-05
64516;-3838.0;4659.4;-279.1;7.572307085034591e-06
64568;-3827.1;4642.5;-258.2;1.114443676434516e-05
64595;-3821.7;4634.0;-237.4;5.488969656081815e-06
64618;-3816.2;4625.5;-258.2;1.0919779482443644e-05
64667;-3805.3;4608.6;-268.7;5.394917658510176e-06
64694;-3799.9;4600.1;-247.8;8.01905076420194e-06
64717;-3794.4;4591.6;-268.7;5.288051429808803e-06
64769;-3783.6;4574.6;-247.8;7.780046834543532e-06
64819;-3772.7;4557.7;-247.8;5.1329753466064976e-06
64917;-3750.9;4523.8;-268.7;4.92960545944974e-06
67519;-3911.1;4792.1;-247.8;2.9602471708037287e-05
67544;-3905.7;4783.6;-247.8;2.930431609874597e-05
67569;-3900.2;4775.1;-247.8;2.5952288895875333e-05
67619;-3889.3;4758.1;-247.8;2.5440011511771642e-05
67642;-3883.9;4749.7;-268.7;1.6772269498696154e-05
67644;-3883.9;4749.7;-247.8;2.5189207054220146e-05
67669;-3878.5;4741.2;-247.8;1.6625773856347693e-05
67695;-3873.0;4732.7;-237.4;2.272293299944622e-05
67742;-3862.1;4715.8;-268.7;2.129751895471516e-05
67745;-3862.1;4715.8;-237.4;2.133337738715126e-05
67795;-3851.2;4698.8;-237.4;2.0910979985929277e-05
67820;-3845.8;4690.3;-237.4;1.97597365931578e-05
67891;-3829.5;4664.9;-279.1;1.1546945400987021e-05
67895;-3829.5;4664.9;-237.4;1.1570116400852798e-05
67920;-3824.0;4656.4;-237.4;1.1457167289165326e-05
67943;-3818.6;4647.9;-258.2;1.6993019977472874e-05
67967;-3813.1;4639.5;-268.7;8.351648999266472e-06
68016;-3802.3;4622.5;-279.1;1.3847913717120015e-05
68044;-3796.8;4614.0;-247.8;1.3732334053147701e-05
68094;-3785.9;4597.1;-247.8;1.3462968751322175e-05
68117;-3780.5;4588.6;-268.7;8.879717017472085e-06
68119;-3780.5;4588.6;-247.8;1.3330299874352884e-05
68144;-3775.0;4580.1;-247.8;1.0650916546033722e-05
68190;-3764.1;4563.2;-289.5;6.950658801359946e-06
68219;-3758.7;4554.7;-247.8;6.89632743852844e-06
68267;-3747.8;4537.7;-268.7;1.0133446675625054e-05
68292;-3742.4;4529.2;-268.7;7.5947844784572685e-06
68443;-3709.7;4478.4;-258.2;7.1724512695855815e-06
68589;-3677.1;4427.5;-299.9;4.552066960404814e-06
68739;-3644.4;4376.7;-299.9;2.172965477104498e-06
70894;-3902.6;4797.5;-247.8;3.658027592381746e-05
70896;-3902.6;4797.5;-227.0;2.4414246334121233e-05
70918;-3897.2;4789.0;-258.2;3.3672158665432076e-06
70919;-3897.2;4789.0;-247.8;3.6227147446797085e-05
70942;-3891.7;4780.6;-268.7;2.1838599450000878e-05
70967;-3886.3;4772.1;-268.7;2.1632286189221927e-05
70969;-3886.3;4772.1;-247.8;3.248711390814876e-05
71070;-3864.5;4738.2;-237.4;2.5259197500781835e-05
71071;-3864.5;4738.2;-227.0;6.0859675527836764e-06
71092;-3859.0;4729.7;-268.7;2.800026287938311e-05
71094;-3859.0;4729.7;-247.8;1.8687757666347474e-05
71095;-3859.0;4729.7;-237.4;2.7053956914293257e-05
71119;-3853.6;4721.2;-247.8;1.8507990597645664e-05
71120;-3853.6;4721.2;-237.4;2.7776363062126278e-05
71140;-3848.2;4712.7;-289.5;2.0886991638160464e-06
71142;-3848.2;4712.7;-268.7;2.649830254103808e-05
71191;-3837.3;4695.8;-279.1;1.998100632294912e-05
71195;-3837.3;4695.8;-237.4;2.1200972676466552e-05
71217;-3831.8;4687.3;-268.7;7.094799957120087e-06
71218;-3831.8;4687.3;-258.2;2.3888632141023004e-05
71266;-3820.9;4670.4;-279.1;1.5605710959929465e-05
71317;-3810.1;4653.4;-268.7;1.8383051215001917e-06
71368;-3799.2;4636.4;-258.2;1.9866939095346922e-05
71392;-3793.7;4628.0;-268.7;1.3114825789819648e-05
71393;-3793.7;4628.0;-258.2;1.3120137577066443e-05
71416;-3788.3;4619.5;-279.1;1.947542623803354e-05
71444;-3782.8;4611.0;-247.8;1.931535053917137e-05
71468;-3777.4;4602.5;-258.2;1.2747263210389135e-05
71546;-3761.1;4577.1;-227.0;4.4565853318179866e-06
71615;-3744.7;4551.7;-289.5;1.0381867836275318e-05
71617;-3744.7;4551.7;-268.7;1.55878748975861e-05
71667;-3733.9;4534.7;-268.7;1.2850463793844374e-05
71691;-3728.4;4526.2;-279.1;1.0990552537452344e-05
71716;-3723.0;4517.8;-279.1;8.402457070590628e-06
71718;-3723.0;4517.8;-258.2;1.097250488339184e-05
71743;-3717.5;4509.3;-258.2;1.2496631495451441e-05
71768;-3712.1;4500.8;-258.2;1.2377812532386382e-05
71791;-3706.6;4492.3;-279.1;6.591529296246581e-06
71866;-3690.3;4466.9;-279.1;9.61324610269564e-06
71868;-3690.3;4466.9;-258.2;9.618758317632766e-06
72018;-3657.6;4416.0;-258.2;4.590224961516272e-06
72215;-3614.1;4348.2;-289.5;4.2995349587956935e-06
72417;-3570.6;4280.4;-268.7;6.739576426028249e-07
74267;-3894.1;4803.0;-268.7;3.6734688630179726e-05
74294;-3888.6;4794.5;-247.8;4.316546571281655e-05
74317;-3883.2;4786.0;-268.7;2.6409028235706583e-05
74319;-3883.2;4786.0;-247.8;3.96627449111966e-05
74342;-3877.7;4777.6;-268.7;2.616970558127093e-05
74344;-3877.7;4777.6;-247.8;3.9301912970564676e-05
74346;-3877.7;4777.6;-227.0;2.4018422696437903e-05
74367;-3872.3;4769.1;-268.7;2.5929284957121727e-05
74417;-3861.4;4752.1;-268.7;3.194280403253891e-05
74421;-3861.4;4752.1;-227.0;1.8753873150398346e-05
74445;-3856.0;4743.7;-237.4;2.875474218469021e-05
74468;-3850.5;4735.2;-258.2;2.303785512742238e-05
74492;-3845.1;4726.7;-268.7;3.323397419141703e-05
74495;-3845.1;4726.7;-237.4;3.2287931794257825e-05
74519;-3839.6;4718.2;-247.8;2.2626990873367064e-05
74542;-3834.2;4709.7;-268.7;2.6685282853840975e-05
74543;-3834.2;4709.7;-258.2;2.240361268675533e-05
74545;-3834.2;4709.7;-237.4;3.364144045871877e-05
74567;-3828.8;4701.3;-268.7;2.1471602043256053e-05
74570;-3828.8;4701.3;-237.4;2.5488359012695705e-05
74591;-3823.3;4692.8;-279.1;2.103990873430021e-05
74618;-3817.9;4684.3;-258.2;2.988353810162355e-05
74641;-3812.4;4675.8;-279.1;1.97159771138795e-05
74643;-3812.4;4675.8;-258.2;2.960799537335487e-05
