idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
54284;-3885.3;4676.9;-352.0;2.188959843266816e-06
54386;-3863.6;4643.0;-331.2;2.1220254595237674e-06
57408;-3931.2;4767.2;-362.4;8.572391418530375e-06
57412;-3931.2;4767.2;-320.8;9.324606719968756e-06
57461;-3920.4;4750.2;-331.2;1.0735845257779036e-05
57484;-3914.9;4741.7;-352.0;6.098868654346275e-06
57510;-3909.5;4733.2;-341.6;6.812332561069106e-06
57512;-3909.5;4733.2;-320.8;4.53548213404884e-06
57533;-3904.0;4724.8;-362.4;3.7626578056243392e-06
57558;-3898.6;4716.3;-362.4;2.2410368093350746e-06
57559;-3898.6;4716.3;-352.0;4.481714083553514e-06
57587;-3893.1;4707.8;-320.8;6.66309276048746e-06
57657;-3876.8;4682.4;-372.8;2.1809878767704764e-06
57687;-3871.4;4673.9;-320.8;4.322620705244438e-06
57710;-3865.9;4665.4;-341.6;7.16369170992439e-06
57735;-3860.5;4657.0;-341.6;8.536384266264724e-06
57760;-3855.0;4648.5;-341.6;7.063811531834409e-06
57785;-3849.6;4640.0;-341.6;4.910389016940525e-06
57838;-3838.7;4623.0;-310.3;2.761216158219362e-06
57887;-3827.8;4606.1;-320.8;4.085644706812019e-06
57888;-3827.8;4606.1;-310.3;4.083338515923422e-06
58010;-3800.6;4563.7;-341.6;1.9776252737138036e-06
58063;-3789.7;4546.7;-310.3;1.9464877394037882e-06
58112;-3778.8;4529.8;-320.8;1.9198075937345543e-06
60759;-3928.2;4781.1;-352.0;2.6354314086870938e-05
60760;-3928.2;4781.1;-341.6;9.299699006803556e-06
60761;-3928.2;4781.1;-331.2;1.548494616114887e-05
60784;-3922.7;4772.6;-352.0;2.0786589974927148e-05
60787;-3922.7;4772.6;-320.8;1.3840453979788594e-05
60808;-3917.3;4764.2;-362.4;7.652899898030319e-06
60811;-3917.3;4764.2;-331.2;1.377839894329602e-05
60833;-3911.8;4755.7;-362.4;7.604474503718692e-06
60835;-3911.8;4755.7;-341.6;1.1391587044408063e-05
60860;-3906.4;4747.2;-341.6;1.1319517399263292e-05
60884;-3900.9;4738.7;-352.0;7.502140991751384e-06
60886;-3900.9;4738.7;-331.2;1.1238802638275657e-05
60911;-3895.5;4730.2;-331.2;1.1165237319316819e-05
60935;-3890.1;4721.8;-341.6;1.3327725971513229e-05
60936;-3890.1;4721.8;-331.2;1.1092242385712087e-05
60963;-3884.6;4713.3;-310.3;4.383719281539198e-06
60986;-3879.2;4704.8;-331.2;5.836638504151782e-06
61010;-3873.7;4696.3;-341.6;1.4506314803340171e-05
61062;-3862.8;4679.4;-320.8;8.579971714088932e-06
61087;-3857.4;4670.9;-320.8;1.2075071299510985e-05
61111;-3852.0;4662.4;-331.2;8.472113957269237e-06
61160;-3841.1;4645.5;-341.6;6.97097383796562e-06
61184;-3835.6;4637.0;-352.0;4.158146556159084e-06
61210;-3830.2;4628.5;-341.6;4.128625002895859e-06
61260;-3819.3;4611.6;-341.6;4.0738712673454464e-06
61314;-3808.4;4594.6;-299.9;6.014693616568106e-06
61383;-3792.1;4569.2;-362.4;6.578293383556278e-07
61410;-3786.6;4560.7;-341.6;3.916428997055422e-06
61538;-3759.4;4518.3;-310.3;3.7802362088925134e-06
61613;-3743.1;4492.9;-310.3;1.8549355521239364e-06
61764;-3710.4;4442.0;-299.9;1.7804826583492272e-06
61815;-3699.5;4425.1;-289.5;1.1702392802283415e-06
64134;-3919.6;4786.6;-352.0;2.8966459238699864e-05
64137;-3919.6;4786.6;-320.8;1.59981946787328e-05
64161;-3914.2;4778.1;-331.2;1.743531057912486e-05
64185;-3908.8;4769.6;-341.6;1.58355936659213e-05
64211;-3903.3;4761.1;-331.2;2.1029357956665754e-05
64233;-3897.9;4752.7;-362.4;8.933658483025258e-06
64235;-3897.9;4752.7;-341.6;1.5647426541148553e-05
64237;-3897.9;4752.7;-320.8;1.0416720505957273e-05
64261;-3892.4;4744.2;-331.2;1.554228877983623e-05
64284;-3887.0;4735.7;-352.0;8.82479445614462e-06
64287;-3887.0;4735.7;-320.8;8.807952304068663e-06
64310;-3881.5;4727.2;-341.6;1.6821067784863098e-05
64361;-3870.6;4710.3;-331.2;8.65753482348212e-06
64387;-3865.2;4701.8;-320.8;1.289814510504062e-05
64411;-3859.8;4693.3;-331.2;8.552067578321676e-06
64436;-3854.3;4684.8;-331.2;8.498937307019142e-06
64438;-3854.3;4684.8;-310.3;1.2730438044546147e-05
64460;-3848.9;4676.4;-341.6;1.8982722884403733e-05
64463;-3848.9;4676.4;-310.3;1.0533357516308766e-05
64487;-3843.4;4667.9;-320.8;1.1883539355113842e-05
64488;-3843.4;4667.9;-310.3;6.979696525018603e-06
64509;-3838.0;4659.4;-352.0;1.0432113745961353e-05
64638;-3810.8;4617.0;-310.3;1.0085746199537601e-05
64639;-3810.8;4617.0;-299.9;6.034856447333006e-06
64661;-3805.3;4608.6;-331.2;8.025240314342263e-06
64664;-3805.3;4608.6;-299.9;7.3395063869949044e-06
64684;-3799.9;4600.1;-352.0;1.986977108799894e-06
64711;-3794.4;4591.6;-331.2;1.2552402392018755e-05
64714;-3794.4;4591.6;-299.9;7.91086068656555e-06
64733;-3789.0;4583.1;-362.4;3.293913032573879e-06
64736;-3789.0;4583.1;-331.2;1.312691772228445e-05
64811;-3772.7;4557.7;-331.2;1.545384768972592e-05
64836;-3767.2;4549.2;-331.2;1.2793354267863146e-05
64839;-3767.2;4549.2;-299.9;5.108446112370759e-06
64860;-3761.8;4540.7;-341.6;5.725505561864924e-06
64861;-3761.8;4540.7;-331.2;6.993052494499438e-06
64913;-3750.9;4523.8;-310.3;5.643822542638532e-06
64986;-3734.6;4498.3;-331.2;3.6953511029943867e-06
65062;-3718.2;4472.9;-320.8;6.041877925443138e-06
65114;-3707.3;4456.0;-299.9;3.575361162477979e-06
65136;-3701.9;4447.5;-331.2;3.5583442099050687e-06
65163;-3696.5;4439.0;-310.3;3.5318044421982845e-06
65259;-3674.7;4405.1;-352.0;5.754462614162881e-07
65315;-3663.8;4388.1;-289.5;1.6991972002812266e-06
67509;-3911.1;4792.1;-352.0;3.438802213541167e-05
67533;-3905.7;4783.6;-362.4;1.723919499748971e-05
67537;-3905.7;4783.6;-320.8;1.630277289565301e-05
67558;-3900.2;4775.1;-362.4;1.2609876211823237e-05
67561;-3900.2;4775.1;-331.2;2.5969555126777518e-05
67584;-3894.8;4766.6;-352.0;1.328989724243756e-05
67586;-3894.8;4766.6;-331.2;2.7395391370204116e-05
67587;-3894.8;4766.6;-320.8;1.3262709947186276e-05
67634;-3883.9;4749.7;-352.0;1.1654220109522755e-05
67635;-3883.9;4749.7;-341.6;1.747079181416837e-05
67685;-3873.0;4732.7;-341.6;2.3776510617278864e-05
67735;-3862.1;4715.8;-341.6;2.710205341395665e-05
67760;-3856.7;4707.3;-341.6;2.472601935670474e-05
67762;-3856.7;4707.3;-320.8;1.4814442828505365e-05
67763;-3856.7;4707.3;-310.3;1.1931202928037462e-05
67809;-3845.8;4690.3;-352.0;1.467960623380438e-05
67811;-3845.8;4690.3;-331.2;9.774678410000235e-06
67813;-3845.8;4690.3;-310.3;1.4640919915105385e-05
67834;-3840.4;4681.8;-352.0;1.459613300017456e-05
67836;-3840.4;4681.8;-331.2;9.719342376661157e-06
67837;-3840.4;4681.8;-320.8;1.315945971432715e-05
67838;-3840.4;4681.8;-310.3;1.3855271379202886e-05
67888;-3829.5;4664.9;-310.3;9.595544099101103e-06
67908;-3824.0;4656.4;-362.4;3.458621861381628e-06
67913;-3824.0;4656.4;-310.3;9.540442339610946e-06
67959;-3813.1;4639.5;-352.0;7.4079602934630466e-06
67985;-3807.7;4631.0;-341.6;8.040007183495368e-06
68011;-3802.3;4622.5;-331.2;1.532643237862878e-05
68035;-3796.8;4614.0;-341.6;7.94696270007911e-06
68060;-3791.4;4605.5;-341.6;1.1849661553597979e-05
68083;-3785.9;4597.1;-362.4;5.264315257102514e-06
68085;-3785.9;4597.1;-341.6;1.178026985103994e-05
68089;-3785.9;4597.1;-299.9;1.1749893528163369e-05
68110;-3780.5;4588.6;-341.6;9.746341453088273e-06
68135;-3775.0;4580.1;-341.6;9.691278825558529e-06
68136;-3775.0;4580.1;-331.2;1.614306905151293e-05
68162;-3769.6;4571.6;-320.8;6.41502167535874e-06
68186;-3764.1;4563.2;-331.2;1.8503430649322764e-05
68187;-3764.1;4563.2;-320.8;9.564686045228038e-06
68211;-3758.7;4554.7;-331.2;1.5208639789853736e-05
68239;-3753.3;4546.2;-299.9;6.2938914453529775e-06
68262;-3747.8;4537.7;-320.8;9.396406335939713e-06
