#################################################################
# created:  07-Jul-2020 09:17:13
# --------------------------------------------------------------
# program:       20180927.025
# PP:            135371
# UTC:           1538045997798849024 - 1538046023148848896
# name:          ID18_2-4MW_ne_3.5-6_16.25s
# description:   
# sessionInfo:   
# comment:       Configuration Scans (High Iota)
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 16151ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Diagnostics: DBB: 
#            5 - Diagnostics: DBB: 
#            6 - Diagnostics: DBB: 
#            7 - Diagnostics: DBB: 
#            8 - Diagnostics: DBB: 
#            9 - Heating: CBG: 4500.0kW
#           10 - Heating: CBG: 54.825425MJ
#           11 - Heating: CBG: 16.2502s
#           12 - Heating: CBG: X2-mode
#           13 - Heating: CBG: 
#           14 - Heating: CBG: 
#           15 - Heating: CBG: 
#           16 - Heating: CBG: 
#           17 - Heating: CBG: 
#           18 - Heating: CBG: 
#           19 - Heating: CBG: 
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Magnetic field: AAQ: 
#           29 - Experiment: : Physics
#           30 - Experiment: : Olaf Grulke
#           31 - Experiment: : S53
#           32 - Experiment: : Tamara Andreeva
#           33 - Experiment: : Marcin Jakubowski
#           34 - Experiment: : tya_003
#           35 - Experiment: : uhn_005
#           36 - Experiment: : sjamsa_010
#           37 - Experiment: : thomsen_005
#           38 - Experiment: : kbr_006
#           39 - Experiment: : daz_003
#           40 - Experiment: : daz_004
#           41 - Experiment: : cob_001
#           42 - Experiment: : fwa_008
#           43 - Fuelling: QSQ: Ar
#           44 - Magnetic field: AAE: FMM002+252
# 
# --------------------------------------------------------------
# timeSlice/ref:    /103
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20180927.25
# requested by:     tya@ipp.mpg.degeiger@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - dinklage@ipp.mpg.de: TS
# contributors:     (5) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff and XICS
# contributors:     (8) - dinklage@ipp.mpg.de: fit to data
# contributors:     (11) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (12) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (13) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (14) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (15) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (16) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (17) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (18) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (19) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (20) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (21) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (22) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         278
# 
# parameters:   1 - densityCorrectionFactor: 1.3900
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.5406
#               7 - R: 5.5118
#               8 - B: 2.3802
#               9 - iota23: 0.9476
#              10 - iotaa: 1.0562
#              11 - kappa: 6.1334
#              12 - betaTotal: 0.0044
#              13 - betaPeaking: 3.0392
#              14 - mirrorRatio: 0.0437
# 
# results:      1 - Zeff: 1.51521
#               2 - nc: 0.89701
#               3 - neL: 6.043410^{19} m^{-2}
#               4 - Wdia: 656.9105kJ
#               5 - PECH: 3852.5801kW
#               6 - Te0: 3.5650keV
#               7 - Ti0: 1.9628keV
#               8 - ne0: 4.928510^{19} m^{-3}
#               9 - Ip: 2.5202kA
#              10 - tauLRp: 11.8676s
#              11 - tauLRZ: 11.8676s
#              12 - tauLR: 11.8676s
#              13 - IBCp: 4.7500kA
#              14 - IBCp: 4.7500kA
#              15 - IBC: 4.7500kA
#              16 - neLTS: 6.247910^{19} m^{-2}
#              17 - Wkin: 650.0906kJ
#              18 - tauE: 0.1705s
#              19 - |ne|L: 4.6488m^{-3}
#              20 - tauEISS04: 0.2022s
# 
# fit:          1 - T_i (XICS and TS) fitted with GP06u (params: 0.3        0.14        0.25           3)
#               2 - T_e (TS) fitted with GP06u (params: 0.3           80)
#               3 - n_e (TS) fitted with GP08 (params: 0.5)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e (TS) fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              13.0000s
#  data time:         12.9862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 3.70305590 0.45713976 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.48459700 0.32364333 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.95253600 0.41986623 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 3.58713720 0.28133222 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 3.51995040 0.47738895 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 2.71393540 0.34091020 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 2.48990400 0.20232554 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 2.26510480 0.18538326 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 1.80666500 0.14395767 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 1.32464750 0.13238013 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 1.23942420 0.08592707 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.87572470 0.06972913 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.48449140 0.04904393 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.15833840 0.01701335 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.03814105 0.02322603 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 24.99998900 59.31641800 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 3.59427480 0.24301640 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 3.39373600 0.21688230 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 24.99997300 6.59071300 NaN   1 NaN NaN NaN 
1016.00000000 NaN NaN 2.89710160 0.27877286 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 2.78043650 0.28121206 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 24.99993100 9.26366800 NaN   1 NaN NaN NaN 
1025.00000000 NaN NaN 1.76351490 0.21104035 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 1.79291630 0.22274862 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 1.73791350 0.42099625 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 1.21625140 0.23267514 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 1.13448110 0.15790169 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 1.00476030 0.14598203 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 1.17752470 0.20744824 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.83058673 0.12379865 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.80182650 0.09874590 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.91617720 0.12740451 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.77223146 0.15742661 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.45455694 0.16655312 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.50846680 0.08527765 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.26479430 0.09632050 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.16707115 0.04274405 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.05594345 0.02549004 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.03381718 0.00860140 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.09860031 0.01553266 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.01000000 0.00366260 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.06567396 0.03289713 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              13.0000s
#  data time:         12.9862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 3.49173860 0.20500243 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 3.16920950 0.16631040 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 3.42781350 0.19769448 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 3.72926020 0.14911060 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 3.65071600 0.25157800 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 3.82359120 0.24207053 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 3.36181120 0.14424449 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 3.05634300 0.13024203 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 3.64789080 0.16959909 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 3.03339860 0.14420080 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 3.74193950 0.19691785 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 3.37672140 0.22469226 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 2.88942960 0.15896441 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 1.91187440 0.16096647 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.46328592 0.10976356 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.21549658 0.29044762 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 4.02495100 0.16149119 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 4.38666730 0.16675472 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 1.85682430 0.17958601 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 4.17337400 0.20690234 NaN   0 NaN NaN NaN 
