#################################################################
# created:  08-Jul-2020 09:38:03
# --------------------------------------------------------------
# program:       20181011.012
# PP:            143603
# UTC:           1539249569422392576 - 1539249584522392576
# name:          P6_4.5_3.5_2.5MW_NBI_20ms_5Hz_FB
# description:   
# sessionInfo:   
# comment:       Impurity transport at high-n X2
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 5901ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Fuelling: DCH: Ar 2ms [BG023] FeedForward
#            5 - Heating: CDA: 3600.0kW
#            6 - Heating: CDA: 2.0159999999999316MJ
#            7 - Heating: CDA: 5.599998999999997s
#            8 - Heating: CDA: 
#            9 - Heating: CDA: 
#           10 - Magnetic field: ACM: 
#           11 - Diagnostics: DBB: 
#           12 - Diagnostics: DBB: 
#           13 - Diagnostics: DBB: 
#           14 - Diagnostics: DBB: 
#           15 - Diagnostics: DBB: 
#           16 - Heating: CBG: 4500.0kW
#           17 - Heating: CBG: 20.165534999999995MJ
#           18 - Heating: CBG: 6.0002s
#           19 - Heating: CBG: X2-mode
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Magnetic field: AAQ: 
#           29 - Experiment: : Physics
#           30 - Experiment: : Olaf Grulke
#           31 - Experiment: : S65
#           32 - Experiment: : Yevgen Kazakov
#           33 - Experiment: : Arturo Alonso
#           34 - Experiment: : anla_008
#           35 - Experiment: : anla_009
#           36 - Experiment: : rjose_001
#           37 - Experiment: : twegner_004
#           38 - Fuelling: QSQ: Ar
#           39 - Fuelling: QSQ: H2
#           40 - Magnetic field: AAE: KJM+252
#           41 - Magnetic field: AAE: 2-AA78-T1109
#           42 - Diagnostics: QSL Laser Blow-Off: Fe(Ti)
# 
# result:   ok
# 
# --------------------------------------------------------------
# timeSlice/ref:    /51
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20181011.12
# requested by:     birger.buttenschoen@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - oliver.ford@ipp.mpg.de: CXRS
# contributors:     (5) - dinklage@ipp.mpg.de: TS
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (7) - dinklage@ipp.mpg.de: TS and Zeff and CXRS
# contributors:     (9) - dinklage@ipp.mpg.de: fit to data
# contributors:     (12) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (13) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (14) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (15) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (16) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (17) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (18) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (19) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (20) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (21) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (22) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (23) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         339
# 
# parameters:   1 - densityCorrectionFactor: 1.1939
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.4980
#               7 - R: 5.4940
#               8 - B: 2.6552
#               9 - iota23: 0.8973
#              10 - iotaa: 0.9644
#              11 - kappa: 5.1417
#              12 - betaTotal: 0.0069
#              13 - betaPeaking: 3.0486
#              14 - mirrorRatio: 0.0965
# 
# results:      1 - Zeff: 1.52441
#               2 - nc: 0.89511
#               3 - neL: 8.215610^{19} m^{-2}
#               4 - Wdia: 443.3884kJ
#               5 - PECH: 2734.8110kW
#               6 - Te0: 1.8646keV
#               7 - Ti0: 1.1554keV
#               8 - ne0: 6.909810^{19} m^{-3}
#               9 - Ip: 0.0734kA
#              10 - tauLRp: 4.0069s
#              11 - tauLRZ: 4.0069s
#              12 - tauLR: 4.0069s
#              13 - IBCp: -1.3590kA
#              14 - IBCp: -1.3590kA
#              15 - IBC: -1.3590kA
#              16 - neLTS: 8.119210^{19} m^{-2}
#              17 - Wkin: 412.0013kJ
#              18 - tauE: 0.1621s
#              19 - |ne|L: 6.3197m^{-3}
#              20 - tauEISS04: 0.2272s
# 
# fit:          1 - T_i (CXRS/CXRS&TS) fitted with GP06 (params: 0.7        0.18)
#               2 - T_e (TS/CXRS&TS) fitted with GP06 (params: 0.3         0.2)
#               3 - n_e (TS) fitted with GP08 (params: 0.65)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e () fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              2.9000s
#  data time:         2.8862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 2.00999860 0.20692690 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 1.91903920 0.14279045 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 2.22034360 0.16743562 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 1.71636320 0.11805612 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 1.59589480 0.13776310 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 1.27418660 0.13766901 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 0.88279170 0.07003143 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 0.73967147 0.05042192 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 0.49791986 0.03690711 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 0.46847063 0.04112055 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.46969740 0.04368442 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.32509710 0.03003713 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.13969319 0.01259545 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.04683257 0.00372947 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.01522718 0.00309341 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 3.62263270 6.30526400 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 2.05925060 0.10061639 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 2.38346200 0.13796027 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 2.07585980 0.15747125 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 1.55971960 0.14151585 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 1.30942400 0.11612201 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 6.39926430 1.24752320 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 0.84147215 0.07928167 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 0.90639895 0.08192004 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 0.58649280 0.09407775 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 0.81588650 0.17589699 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.57042500 0.06607701 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 0.61721516 0.08390857 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.55005264 0.07633281 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.42562485 0.10937921 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.20199311 0.02442219 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.40030262 0.06409346 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.28317383 0.06504975 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.27880275 0.10746856 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.19596429 0.03053369 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.11204398 0.02922940 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.12236478 0.01737651 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.05468101 0.01509835 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.01000000 0.00210630 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.03897645 0.01019350 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 5.76050950 14.82910400 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.01000000 0.00171279 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              2.9000s
#  data time:         2.8862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 5.59446300 0.30153787 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 4.77601960 0.24550563 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 5.11398700 0.26909932 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 5.63736500 0.20105296 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 6.10330770 0.31262930 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 5.99727770 0.30027375 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 5.04091100 0.18936296 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 4.56708600 0.16940807 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 4.99508760 0.21456978 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 4.00075700 0.18073986 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 4.75117730 0.27227850 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 4.46964900 0.30235747 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 4.01590730 0.21050410 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 3.39821550 0.23460256 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 1.20625510 0.20829774 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.14392346 0.09053188 NaN   0 NaN NaN NaN 
1004.00000000 NaN NaN 5.86134700 0.21666154 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 6.07258700 0.21534964 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 5.87631900 0.23874667 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 5.95280080 0.28028440 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 6.24515800 0.32168135 NaN   0 NaN NaN NaN 
