idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
54009;-3945.2028477823674;4770.164644488102;-352.0;7.083414079048579e-06
54059;-3934.3161595298;4753.209632107644;-352.0;6.978407588551851e-06
54184;-3907.0994388983827;4710.8221011565;-352.0;2.99052651624091e-06
54212;-3901.656094772099;4702.344594966272;-320.75;3.335116055420969e-06
54284;-3885.326062393249;4676.912076395585;-352.0;2.1793944110569956e-06
54385;-3863.552685888115;4643.00205163467;-341.58333333333337;1.0576613532346975e-06
57410;-3931.238278493472;4767.1585540535;-341.58333333333337;8.530979356886083e-06
57460;-3920.351590240905;4750.203541673042;-341.58333333333337;1.1472759484488657e-05
57461;-3920.351590240905;4750.203541673042;-331.1666666666667;7.64338756682096e-06
57586;-3893.1348696094874;4707.816010721898;-331.1666666666667;7.3822256644520735e-06
57612;-3887.691525483204;4699.33850453167;-320.75;8.790623352718895e-06
57662;-3876.804837230637;4682.383492151212;-320.75;7.586136893371287e-06
57762;-3855.031460725503;4648.473467390297;-320.75;4.214981713913294e-06
57838;-3838.7014283466524;4623.04094881961;-310.33333333333337;2.7515748628575782e-06
60809;-3917.273709204577;4764.152463618898;-352.0;1.8316161291709117e-05
60834;-3911.8303650782937;4755.674957428669;-352.0;1.7056684251506744e-05
60859;-3906.38702095201;4747.19745123844;-352.0;1.1296511401252058e-05
60887;-3900.9436768257265;4738.719945048211;-320.75;1.0452379941738152e-05
60907;-3895.500332699443;4730.242438857983;-372.83333333333337;2.612921148522014e-06
60912;-3895.500332699443;4730.242438857983;-320.75;1.557576615182198e-05
60936;-3890.0569885731597;4721.764932667754;-331.1666666666667;1.5483580246441723e-05
61060;-3862.840267941742;4679.37740171661;-341.58333333333337;1.177494788155648e-05
61087;-3857.3969238154586;4670.8998955263805;-320.75;7.78804030435492e-06
61111;-3851.953579689175;4662.422389336152;-331.1666666666667;7.74107362007426e-06
61112;-3851.953579689175;4662.422389336152;-320.75;7.736204073704514e-06
61135;-3846.5102355628915;4653.944883145923;-341.58333333333337;1.0492865386992906e-05
61160;-3841.066891436608;4645.467376955695;-341.58333333333337;1.0422750133159528e-05
61263;-3819.293514931474;4611.557352194779;-310.33333333333337;8.10476898029786e-06
61336;-3802.9634825526236;4586.124833624092;-331.1666666666667;4.639860401635106e-06
61564;-3753.9733854160722;4509.827277912033;-299.9166666666667;3.7393076336782786e-06
61614;-3743.086697163505;4492.872265531576;-299.9166666666667;2.768098041809129e-06
61661;-3732.2000089109383;4475.9172531511185;-331.1666666666667;1.8233882123389324e-06
64134;-3919.6391722945323;4786.578891754983;-352.0;2.516774680022746e-05
64136;-3919.6391722945323;4786.578891754983;-331.1666666666667;1.6756057651979453e-05
64211;-3903.3091399156815;4761.146373184296;-331.1666666666667;1.4945257870888178e-05
64235;-3897.8657957893984;4752.668866994067;-341.58333333333337;2.22987128086373e-05
64260;-3892.4224516631148;4744.1913608038385;-341.58333333333337;1.4030420695322885e-05
64261;-3892.4224516631148;4744.1913608038385;-331.1666666666667;2.103106907328518e-05
64311;-3881.5357634105476;4727.236348423381;-331.1666666666667;2.042105631223265e-05
64335;-3876.092419284264;4718.758842233152;-341.58333333333337;1.3045372022910412e-05
64336;-3876.092419284264;4718.758842233152;-331.1666666666667;1.7771590814476518e-05
64361;-3870.649075157981;4710.281336042923;-331.1666666666667;1.549667238052556e-05
64362;-3870.649075157981;4710.281336042923;-320.75;1.9422261459026228e-05
64410;-3859.7623869054137;4693.326323662465;-341.58333333333337;1.8135490936385686e-05
64486;-3843.4323545265634;4667.8938050917795;-331.1666666666667;1.045811810169432e-05
64510;-3837.9890104002798;4659.41629890155;-341.58333333333337;1.5599497538925875e-05
64536;-3832.545666273996;4650.938792711321;-331.1666666666667;1.5491964644411955e-05
64560;-3827.1023221477126;4642.461286521093;-341.58333333333337;1.3357657797632202e-05
64563;-3827.1023221477126;4642.461286521093;-310.33333333333337;9.565135678331255e-06
64613;-3816.215633895146;4625.506274140635;-310.33333333333337;1.3154268108810524e-05
64633;-3810.7722897688623;4617.028767950406;-362.4166666666667;1.3483821328395512e-06
64636;-3810.7722897688623;4617.028767950406;-331.1666666666667;8.725323012948861e-06
64661;-3805.3289456425787;4608.551261760177;-331.1666666666667;8.67010847982929e-06
64685;-3799.885601516295;4600.073755569948;-341.58333333333337;7.956639456433598e-06
64686;-3799.885601516295;4600.073755569948;-331.1666666666667;7.952089163576354e-06
64812;-3772.6688808848776;4557.686224618805;-320.75;6.414798164500691e-06
64837;-3767.2255367585944;4549.208718428576;-320.75;8.606510898723657e-06
64863;-3761.782192632311;4540.731212238346;-310.33333333333337;5.6969356396772586e-06
64961;-3740.0088161271765;4506.8211874774315;-331.1666666666667;4.941600849126795e-06
64962;-3740.0088161271765;4506.8211874774315;-320.75;4.938904011279477e-06
65037;-3723.678783748326;4481.388668906745;-320.75;4.2394526369144275e-06
65061;-3718.2354396220426;4472.911162716517;-331.1666666666667;4.214208313042799e-06
65063;-3718.2354396220426;4472.911162716517;-310.33333333333337;4.209624305824741e-06
65086;-3712.7920954957594;4464.433656526287;-331.1666666666667;5.385005128758084e-06
65136;-3701.9054072431923;4447.47864414583;-331.1666666666667;5.31524885770096e-06
65164;-3696.4620631169087;4439.001137955601;-299.9166666666667;2.9302138446448226e-06
65165;-3696.4620631169087;4439.001137955601;-289.5;2.92855355482477e-06
65265;-3674.6886866117748;4405.091113194686;-289.5;3.4256179888593313e-06
65314;-3663.801998359208;4388.1361008142285;-299.9166666666667;1.6924495165122535e-06
65437;-3636.5852777277905;4345.748569863084;-320.75;1.6408139574082501e-06
65512;-3620.2552453489398;4320.316051292398;-320.75;8.050289094188405e-07
65513;-3620.2552453489398;4320.316051292398;-310.33333333333337;8.046270510656989e-07
65539;-3614.811901222656;4311.838545102169;-299.9166666666667;7.989432179083696e-07
67509;-3911.117947131921;4792.050307510609;-352.0;3.0355958328680026e-05
67511;-3911.117947131921;4792.050307510609;-331.1666666666667;2.0209287323641383e-05
67534;-3905.6746030056374;4783.57280132038;-352.0;3.0191422002780383e-05
67561;-3900.231258879354;4775.0952951301515;-331.1666666666667;1.9234656537852573e-05
67584;-3894.7879147530703;4766.617788939922;-352.0;2.725503840338665e-05
67585;-3894.7879147530703;4766.617788939922;-341.58333333333337;2.8714261973189686e-05
67612;-3889.3445706267867;4758.140282749693;-320.75;1.6771495767614718e-05
67635;-3883.9012265005035;4749.662776559465;-341.58333333333337;1.818937934564988e-05
67637;-3883.9012265005035;4749.662776559465;-320.75;2.1500430051713832e-05
67657;-3878.45788237422;4741.185270369237;-372.83333333333337;9.928469175613024e-06
67660;-3878.45788237422;4741.185270369237;-341.58333333333337;1.7351160663728622e-05
67661;-3878.45788237422;4741.185270369237;-331.1666666666667;2.6010498712142444e-05
67684;-3873.0145382479363;4732.707764179007;-352.0;1.7265724079115366e-05
67685;-3873.0145382479363;4732.707764179007;-341.58333333333337;1.7254565024742947e-05
67687;-3873.0145382479363;4732.707764179007;-320.75;2.584697032385074e-05
67689;-3873.0145382479363;4732.707764179007;-299.9166666666667;5.835537373474473e-06
67759;-3856.684505869086;4707.275245608321;-352.0;2.2231873529433823e-05
67761;-3856.684505869086;4707.275245608321;-331.1666666666667;1.6236554678992853e-05
67784;-3851.2411617428024;4698.797739418092;-352.0;2.032615852283634e-05
67785;-3851.2411617428024;4698.797739418092;-341.58333333333337;2.316249286074956e-05
67786;-3851.2411617428024;4698.797739418092;-331.1666666666667;7.715931105530563e-06
67787;-3851.2411617428024;4698.797739418092;-320.75;2.313271206979769e-05
67809;-3845.797817616519;4690.320233227863;-352.0;1.2430933306864214e-05
67835;-3840.3544734902353;4681.842727037634;-341.58333333333337;2.18435231750451e-05
67860;-3834.911129363952;4673.365220847406;-341.58333333333337;2.0672228298914436e-05
67887;-3829.4677852376685;4664.887714657177;-320.75;1.3684859731152148e-05
67936;-3818.5810969851013;4647.932702276719;-331.1666666666667;1.927759027576409e-05
67962;-3813.1377528588177;4639.45519608649;-320.75;1.8136860961304126e-05
67987;-3807.694408732534;4630.977689896262;-320.75;1.803095815350996e-05
67988;-3807.694408732534;4630.977689896262;-310.33333333333337;1.8018616879273106e-05
68008;-3802.251064606251;4622.500183706033;-362.4166666666667;4.360281471669183e-06
68013;-3802.251064606251;4622.500183706033;-310.33333333333337;1.7913023080514746e-05
68060;-3791.364376353684;4605.545171325575;-341.58333333333337;1.1162507423561024e-05
68061;-3791.364376353684;4605.545171325575;-331.1666666666667;1.1156093885121909e-05
68113;-3780.4776881011167;4588.590158945117;-310.33333333333337;1.2607861561116612e-05
68137;-3775.0343439748335;4580.112652754889;-320.75;5.151852314474449e-06
68187;-3764.1476557222663;4563.157640374431;-320.75;9.541838504538876e-06
68237;-3753.260967469699;4546.202627993974;-320.75;1.3195825876455587e-05
68287;-3742.3742792171324;4529.247615613515;-320.75;8.069304754912217e-06
68314;-3736.930935090849;4520.770109423287;-299.9166666666667;1.2015996648248843e-05
68338;-3731.4875909645652;4512.292603233058;-310.33333333333337;9.810646866495496e-06
68339;-3731.4875909645652;4512.292603233058;-299.9166666666667;1.1023547243128987e-05
68364;-3726.044246838282;4503.81509704283;-299.9166666666667;1.0956830118620398e-05
68438;-3709.7142144594313;4478.382578472143;-310.33333333333337;6.577778451892596e-06
68462;-3704.2708703331477;4469.905072281914;-320.75;9.811873685820102e-06
68463;-3704.2708703331477;4469.905072281914;-310.33333333333337;3.2687841543499917e-06
68464;-3704.2708703331477;4469.905072281914;-299.9166666666667;6.5335253369805285e-06
68514;-3693.384182080581;4452.950059901456;-299.9166666666667;5.867501351011233e-06
68515;-3693.384182080581;4452.950059901456;-289.5;5.863875421468894e-06
68537;-3687.9408379542974;4444.472553711227;-320.75;7.881973936247048e-06
68563;-3682.497493828014;4435.995047520999;-310.33333333333337;7.82935217234889e-06
68665;-3660.72411732288;4402.085022760084;-289.5;6.782635999415973e-06
68688;-3655.2807731965963;4393.607516569855;-310.33333333333337;3.9372911194219165e-06
68913;-3606.290676060045;4317.309960857796;-310.33333333333337;3.9910448495516e-06
68939;-3600.8473319337613;4308.832454667567;-299.9166666666667;3.172865726506681e-06
68940;-3600.8473319337613;4308.832454667567;-289.5;3.171212051020771e-06
68965;-3595.4039878074777;4300.3549484773375;-289.5;2.363226468588188e-06
69038;-3579.0739554286274;4274.922429906652;-310.33333333333337;1.548792070345055e-06
69115;-3562.743923049777;4249.489911335965;-289.5;5.06463242787843e-07
69192;-3546.4138906709263;4224.057392765279;-268.6666666666667;7.453008995907886e-07
69240;-3535.5272024183596;4207.102380384821;-289.5;7.368020333796903e-07
70910;-3897.1533778430257;4789.044217076007;-341.58333333333337;3.0506801559550904e-05
70911;-3897.1533778430257;4789.044217076007;-331.1666666666667;2.3349551504071387e-05
70934;-3891.710033716742;4780.566710885778;-352.0;3.376977938900593e-05
70936;-3891.710033716742;4780.566710885778;-331.1666666666667;2.2482643552799988e-05
70937;-3891.710033716742;4780.566710885778;-320.75;6.879955906489572e-06
70959;-3886.2666895904586;4772.089204695549;-352.0;3.191910551643958e-05
70960;-3886.2666895904586;4772.089204695549;-341.58333333333337;3.3584259501293184e-05
70961;-3886.2666895904586;4772.089204695549;-331.1666666666667;2.237347883815001e-05
70962;-3886.2666895904586;4772.089204695549;-320.75;1.155977593507696e-05
70985;-3880.8233454641754;4763.61169850532;-341.58333333333337;2.450937843414776e-05
71010;-3875.380001337892;4755.134192315091;-341.58333333333337;2.1428090653063837e-05
71011;-3875.380001337892;4755.134192315091;-331.1666666666667;3.2121715860473783e-05
71032;-3869.9366572116087;4746.656686124863;-372.83333333333337;1.0502418073229094e-05
71035;-3869.9366572116087;4746.656686124863;-341.58333333333337;2.0588172900669473e-05
71036;-3869.9366572116087;4746.656686124863;-331.1666666666667;3.086155442849754e-05
71037;-3869.9366572116087;4746.656686124863;-320.75;3.083948227242368e-05
71060;-3864.493313085325;4738.179179934634;-341.58333333333337;2.048512301882176e-05
71084;-3859.0499689590415;4729.701673744405;-352.0;1.966990012238861e-05
71110;-3853.606624832758;4721.224167554176;-341.58333333333337;1.9557387516527225e-05
71134;-3848.1632807064743;4712.746661363947;-352.0;2.5275981325577992e-05
71136;-3848.1632807064743;4712.746661363947;-331.1666666666667;2.087204337719309e-05
71137;-3848.1632807064743;4712.746661363947;-320.75;2.8077969431599326e-05
71162;-3842.7199365801907;4704.269155173719;-320.75;2.5102750681372493e-05
71184;-3837.276592453907;4695.79164898349;-352.0;1.1714166221928437e-05
71187;-3837.276592453907;4695.79164898349;-320.75;1.782273833224574e-05
71235;-3826.3899042013404;4678.836636603032;-341.58333333333337;2.5448482642198767e-05
71260;-3820.946560075057;4670.359130412803;-341.58333333333337;2.5313328321692993e-05
71261;-3820.946560075057;4670.359130412803;-331.1666666666667;2.5298330048500233e-05
71263;-3820.946560075057;4670.359130412803;-310.33333333333337;1.030628431450462e-05
71285;-3815.5032159487737;4661.881624222575;-341.58333333333337;2.415250481705356e-05
71290;-3815.5032159487737;4661.881624222575;-289.5;2.020420549975964e-06
71310;-3810.05987182249;4653.404118032346;-341.58333333333337;2.076043884046845e-05
71313;-3810.05987182249;4653.404118032346;-310.33333333333337;1.8701400493778457e-05
71336;-3804.6165276962065;4644.926611842117;-331.1666666666667;1.5245050670513006e-05
71338;-3804.6165276962065;4644.926611842117;-310.33333333333337;2.283720432831172e-05
71358;-3799.173183569923;4636.449105651888;-362.4166666666667;6.709439300109443e-06
71360;-3799.173183569923;4636.449105651888;-341.58333333333337;1.5171803262884382e-05
71362;-3799.173183569923;4636.449105651888;-320.75;2.273041524003177e-05
71363;-3799.173183569923;4636.449105651888;-310.33333333333337;2.2714320649794554e-05
71388;-3793.7298394436393;4627.971599461659;-310.33333333333337;2.1593899361974886e-05
