idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
2994;-3089.6428571428573;3691.0;-239.8571428571429;6.5043742804702e-09
2996;-3089.6428571428573;3691.0;-219.57142857142856;4.388794857027134e-09
2997;-3089.6428571428573;3691.0;-209.42857142857144;6.595961317483217e-09
3026;-3079.5;3691.0;-250.0;8.657598201660777e-09
3027;-3079.5;3691.0;-239.8571428571429;5.898995102897004e-09
3030;-3079.5;3691.0;-209.42857142857144;8.473580191819618e-09
3063;-3069.357142857143;3691.0;-209.42857142857144;1.0353137536762536e-08
3064;-3069.357142857143;3691.0;-199.28571428571433;6.061848571659028e-09
3092;-3059.214285714286;3691.0;-250.0;1.1682194845035872e-08
3127;-3049.0714285714284;3691.0;-229.71428571428578;1.4042050796945198e-08
3162;-3038.9285714285716;3691.0;-209.42857142857144;1.6406495459441434e-08
3196;-3028.785714285714;3691.0;-199.28571428571433;1.0686066235567862e-08
3223;-3018.6428571428573;3691.0;-260.1428571428572;8.792492730815386e-09
3264;-3008.5;3691.0;-179.0;3.0214477389027933e-09
3289;-2998.357142857143;3691.0;-260.1428571428572;9.936436538727088e-09
3292;-2998.357142857143;3691.0;-229.71428571428578;3.017537890317068e-08
3294;-2998.357142857143;3691.0;-209.42857142857144;2.4656828612141303e-08
3359;-2978.0714285714284;3691.0;-219.57142857142856;2.9709462828408562e-08
3360;-2978.0714285714284;3691.0;-209.42857142857144;2.8263549641171985e-08
3388;-2967.9285714285716;3691.0;-260.1428571428572;1.3847365993077975e-08
3390;-2967.9285714285716;3691.0;-239.8571428571429;3.0266999291070496e-08
3391;-2967.9285714285716;3691.0;-229.71428571428578;3.663582328435701e-08
3455;-2947.642857142857;3691.0;-250.0;1.8560935994994617e-08
3456;-2947.642857142857;3691.0;-239.8571428571429;3.475641118060696e-08
3458;-2947.642857142857;3691.0;-219.57142857142856;2.9665798049745353e-08
3493;-2937.5;3691.0;-199.28571428571433;1.3636855098197473e-08
3522;-2927.357142857143;3691.0;-239.8571428571429;3.83184694314126e-08
3523;-2927.357142857143;3691.0;-229.71428571428578;3.830384264665439e-08
3525;-2927.357142857143;3691.0;-209.42857142857144;2.4990100047998845e-08
3527;-2927.357142857143;3691.0;-189.14285714285722;1.322357000784577e-08
3528;-2927.357142857143;3691.0;-179.0;9.343913327551414e-09
3558;-2917.214285714286;3691.0;-209.42857142857144;2.7119725760434055e-08
3560;-2917.214285714286;3691.0;-189.14285714285722;1.4228688246975191e-08
3586;-2907.0714285714284;3691.0;-260.1428571428572;1.4930468231737404e-08
3588;-2907.0714285714284;3691.0;-239.8571428571429;3.869794629436744e-08
3590;-2907.0714285714284;3691.0;-219.57142857142856;3.72185856168251e-08
3593;-2907.0714285714284;3691.0;-189.14285714285722;1.4542350775694687e-08
3621;-2896.9285714285716;3691.0;-239.8571428571429;3.8582473972612275e-08
3626;-2896.9285714285716;3691.0;-189.14285714285722;1.4861506797414456e-08
3654;-2886.7857142857147;3691.0;-239.8571428571429;3.736770741846412e-08
3687;-2876.642857142857;3691.0;-239.8571428571429;3.2636823610248496e-08
3689;-2876.642857142857;3691.0;-219.57142857142856;3.120087975417203e-08
3690;-2876.642857142857;3691.0;-209.42857142857144;2.4033834604108026e-08
3692;-2876.642857142857;3691.0;-189.14285714285722;1.5034148521477983e-08
3725;-2866.5;3691.0;-189.14285714285722;1.5545940083138593e-08
3755;-2856.357142857143;3691.0;-219.57142857142856;2.9759985300018635e-08
3757;-2856.357142857143;3691.0;-199.28571428571433;1.8844417062755126e-08
3788;-2846.214285714286;3691.0;-219.57142857142856;2.9786891475700303e-08
3821;-2836.0714285714284;3691.0;-219.57142857142856;3.35880594778301e-08
3851;-2825.9285714285716;3691.0;-250.0;1.6045604569168987e-08
3854;-2825.9285714285716;3691.0;-219.57142857142856;3.2389936952544586e-08
3856;-2825.9285714285716;3691.0;-199.28571428571433;1.9913034345401813e-08
3858;-2825.9285714285716;3691.0;-179.0;1.376275095748115e-08
3888;-2815.7857142857147;3691.0;-209.42857142857144;1.553556579198065e-08
3890;-2815.7857142857147;3691.0;-189.14285714285722;1.4622992916450201e-08
3923;-2805.642857142857;3691.0;-189.14285714285722;1.1997322342249519e-08
3982;-2785.357142857143;3691.0;-260.1428571428572;8.15475632556147e-09
3988;-2785.357142857143;3691.0;-199.28571428571433;1.8614500327094694e-08
4050;-2765.0714285714284;3691.0;-239.8571428571429;1.1433476761108532e-08
4051;-2765.0714285714284;3691.0;-229.71428571428578;2.2854166857597242e-08
4055;-2765.0714285714284;3691.0;-189.14285714285722;9.061750726392606e-09
4056;-2765.0714285714284;3691.0;-179.0;1.1397653193606158e-08
4085;-2754.9285714285716;3691.0;-219.57142857142856;2.082603176574807e-08
4087;-2754.9285714285716;3691.0;-199.28571428571433;1.7335801516721266e-08
