idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
3223;-3018.6428571428573;3691.0;-260.1428571428572;7.968353462732872e-09
3255;-3008.5;3691.0;-270.28571428571433;4.286533178356384e-09
3256;-3008.5;3691.0;-260.1428571428572;8.855883140718726e-09
3288;-2998.357142857143;3691.0;-270.28571428571433;5.051164181803938e-09
3289;-2998.357142857143;3691.0;-260.1428571428572;9.936436538727086e-09
3321;-2988.214285714286;3691.0;-270.28571428571433;5.392317230412741e-09
3357;-2978.0714285714284;3691.0;-239.8571428571429;1.0732365697308752e-08
3387;-2967.9285714285716;3691.0;-270.28571428571433;7.26368211804671e-09
3389;-2967.9285714285716;3691.0;-250.0;1.5463224153703568e-08
3486;-2937.5;3691.0;-270.28571428571433;8.915157752219652e-09
3555;-2917.214285714286;3691.0;-239.8571428571429;1.2837667349291552e-08
3686;-2876.642857142857;3691.0;-250.0;1.3522073821243739e-08
3687;-2876.642857142857;3691.0;-239.8571428571429;1.2491693817345293e-08
3949;-2795.5;3691.0;-260.1428571428572;1.0346403478457292e-08
3952;-2795.5;3691.0;-229.71428571428578;9.380705030690573e-09
4017;-2775.214285714286;3691.0;-239.8571428571429;8.247142739279538e-09
4115;-2744.7857142857147;3691.0;-250.0;9.363084524685812e-09
7480;-2998.357142857143;3701.1428571428573;-260.1428571428572;1.0728624227804165e-08
7511;-2988.214285714286;3701.1428571428573;-280.42857142857144;4.405167142077154e-09
7545;-2978.0714285714284;3701.1428571428573;-270.28571428571433;7.101141294528705e-09
7578;-2967.9285714285716;3701.1428571428573;-270.28571428571433;7.266862332413972e-09
7579;-2967.9285714285716;3701.1428571428573;-260.1428571428572;1.2827694346657595e-08
7810;-2896.9285714285716;3701.1428571428573;-260.1428571428572;1.4537715728651976e-08
7812;-2896.9285714285716;3701.1428571428573;-239.8571428571429;1.2690262465963744e-08
7842;-2886.7857142857147;3701.1428571428573;-270.28571428571433;6.025057240520813e-09
7845;-2886.7857142857147;3701.1428571428573;-239.8571428571429;1.2450641187798494e-08
7877;-2876.642857142857;3701.1428571428573;-250.0;1.2712251802403589e-08
8077;-2815.7857142857147;3701.1428571428573;-229.71428571428578;6.860345039179048e-09
8176;-2785.357142857143;3701.1428571428573;-229.71428571428578;8.24548778988525e-09
8240;-2765.0714285714284;3701.1428571428573;-250.0;1.0080479128013374e-08
11176;-3150.5;3711.285714285714;-260.1428571428572;1.7897873731548523e-09
11307;-3109.9285714285716;3711.285714285714;-270.28571428571433;3.87327369570883e-09
11308;-3109.9285714285716;3711.285714285714;-260.1428571428572;2.581207718416396e-09
11309;-3109.9285714285716;3711.285714285714;-250.0;2.5802071813840667e-09
11571;-3028.785714285714;3711.285714285714;-270.28571428571433;7.1337377186548025e-09
11603;-3018.6428571428573;3711.285714285714;-280.42857142857144;4.391326259341132e-09
11636;-3008.5;3711.285714285714;-280.42857142857144;4.151614926517185e-09
11640;-3008.5;3711.285714285714;-239.8571428571429;4.786323585933637e-09
11670;-2998.357142857143;3711.285714285714;-270.28571428571433;8.414730041723155e-09
11704;-2988.214285714286;3711.285714285714;-260.1428571428572;1.3241700988863945e-08
11738;-2978.0714285714284;3711.285714285714;-250.0;1.729047031071347e-08
11739;-2978.0714285714284;3711.285714285714;-239.8571428571429;1.0076302806107949e-08
11803;-2957.7857142857147;3711.285714285714;-260.1428571428572;1.4333881709605746e-08
11870;-2937.5;3711.285714285714;-250.0;1.4309606011023782e-08
11935;-2917.214285714286;3711.285714285714;-260.1428571428572;1.7431425972550725e-08
12067;-2876.642857142857;3711.285714285714;-260.1428571428572;1.5769453645894293e-08
12100;-2866.5;3711.285714285714;-260.1428571428572;1.6798521007715673e-08
12102;-2866.5;3711.285714285714;-239.8571428571429;1.1524043537950674e-08
12166;-2846.214285714286;3711.285714285714;-260.1428571428572;1.617966045546227e-08
12333;-2795.5;3711.285714285714;-239.8571428571429;4.1234068830657945e-09
12530;-2734.642857142857;3711.285714285714;-250.0;5.7787491825471586e-09
12531;-2734.642857142857;3711.285714285714;-239.8571428571429;3.851142444969134e-09
15465;-3120.0714285714284;3721.4285714285716;-270.28571428571433;3.8226230814522e-09
15630;-3069.357142857143;3721.4285714285716;-270.28571428571433;6.465678043137547e-09
15794;-3018.6428571428573;3721.4285714285716;-280.42857142857144;5.188494507918262e-09
15861;-2998.357142857143;3721.4285714285716;-270.28571428571433;1.0257166987629832e-08
15896;-2988.214285714286;3721.4285714285716;-250.0;1.7281445673948568e-08
15927;-2978.0714285714284;3721.4285714285716;-270.28571428571433;1.0032446659475424e-08
15929;-2978.0714285714284;3721.4285714285716;-250.0;1.787581843307387e-08
15993;-2957.7857142857147;3721.4285714285716;-270.28571428571433;1.0567314821929977e-08
15995;-2957.7857142857147;3721.4285714285716;-250.0;1.6143369398920072e-08
16092;-2927.357142857143;3721.4285714285716;-270.28571428571433;1.0882973498868555e-08
16160;-2907.0714285714284;3721.4285714285716;-250.0;1.3444848776962077e-08
16225;-2886.7857142857147;3721.4285714285716;-260.1428571428572;1.5416305826025156e-08
