idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
3693;-2876.642857142857;3691.0;-179.0;1.553692885075743e-08
3758;-2856.357142857143;3691.0;-189.14285714285722;9.63466809235206e-09
3759;-2856.357142857143;3691.0;-179.0;1.7144872311841226e-08
3825;-2836.0714285714284;3691.0;-179.0;1.600295285774309e-08
3858;-2825.9285714285716;3691.0;-179.0;1.3961922319725006e-08
4023;-2775.214285714286;3691.0;-179.0;6.402992338508832e-09
7453;-3008.5;3701.1428571428573;-199.28571428571433;8.23542670232193e-09
7454;-3008.5;3701.1428571428573;-189.14285714285722;7.090337069226537e-09
7520;-2988.214285714286;3701.1428571428573;-189.14285714285722;7.947654082937203e-09
7883;-2876.642857142857;3701.1428571428573;-189.14285714285722;8.301047295935881e-09
11347;-3099.785714285714;3711.285714285714;-199.28571428571433;3.072458501185516e-09
11876;-2937.5;3711.285714285714;-189.14285714285722;7.2550353698806706e-09
11877;-2937.5;3711.285714285714;-179.0;1.0557913499688788e-08
11942;-2917.214285714286;3711.285714285714;-189.14285714285722;7.01083268556473e-09
15901;-2988.214285714286;3721.4285714285716;-199.28571428571433;1.0870521929484914e-08
15935;-2978.0714285714284;3721.4285714285716;-189.14285714285722;9.888388408652293e-09
16067;-2937.5;3721.4285714285716;-189.14285714285722;6.855698761568901e-09
16233;-2886.7857142857147;3721.4285714285716;-179.0;1.1117799698676964e-08
20357;-2907.0714285714284;3731.5714285714284;-189.14285714285722;6.323928856903043e-09
20358;-2907.0714285714284;3731.5714285714284;-179.0;9.31666317997464e-09
20490;-2866.5;3731.5714285714284;-179.0;8.725864865420364e-09
20720;-2795.5;3731.5714285714284;-189.14285714285722;6.089253350196361e-09
23820;-3130.214285714286;3741.714285714286;-209.42857142857144;2.7295450263786996e-09
23887;-3109.9285714285716;3741.714285714286;-199.28571428571433;2.4875940663127843e-09
24979;-2775.214285714286;3741.714285714286;-168.8571428571429;6.497800663744747e-09
28013;-3130.214285714286;3751.8571428571427;-189.14285714285722;2.753297663578114e-09
28077;-3109.9285714285716;3751.8571428571427;-209.42857142857144;4.2231224460678515e-09
28211;-3069.357142857143;3751.8571428571427;-189.14285714285722;5.991653252098631e-09
28309;-3038.9285714285716;3751.8571428571427;-199.28571428571433;7.88098028996157e-09
28970;-2836.0714285714284;3751.8571428571427;-189.14285714285722;7.2606599341429224e-09
32301;-3099.785714285714;3762.0;-209.42857142857144;5.373678716863948e-09
32434;-3059.214285714286;3762.0;-199.28571428571433;5.8227887312621025e-09
32632;-2998.357142857143;3762.0;-199.28571428571433;9.446659732464608e-09
32731;-2967.9285714285716;3762.0;-199.28571428571433;1.0646846137198767e-08
32732;-2967.9285714285716;3762.0;-189.14285714285722;1.4472116203028376e-08
36426;-3120.0714285714284;3772.1428571428573;-209.42857142857144;4.724848532984434e-09
36526;-3089.6428571428573;3772.1428571428573;-199.28571428571433;4.035056916954697e-09
36625;-3059.214285714286;3772.1428571428573;-199.28571428571433;6.25175808088028e-09
36626;-3059.214285714286;3772.1428571428573;-189.14285714285722;6.464118310969445e-09
36757;-3018.6428571428573;3772.1428571428573;-199.28571428571433;9.042488681418122e-09
36791;-3008.5;3772.1428571428573;-189.14285714285722;1.038317060517776e-08
36955;-2957.7857142857147;3772.1428571428573;-199.28571428571433;1.0405594314135294e-08
37087;-2917.214285714286;3772.1428571428573;-199.28571428571433;1.059412711902622e-08
37088;-2917.214285714286;3772.1428571428573;-189.14285714285722;1.7521934165776354e-08
40518;-3150.5;3782.285714285714;-209.42857142857144;3.3145951574616487e-09
40948;-3018.6428571428573;3782.285714285714;-199.28571428571433;8.370069815260197e-09
41181;-2947.642857142857;3782.285714285714;-179.0;3.1339091888978785e-09
44908;-3089.6428571428573;3792.4285714285716;-199.28571428571433;7.01424456356404e-09
45006;-3059.214285714286;3792.4285714285716;-209.42857142857144;1.0854185763445379e-08
45073;-3038.9285714285716;3792.4285714285716;-199.28571428571433;6.852904770217141e-09
45239;-2988.214285714286;3792.4285714285716;-189.14285714285722;1.2310886237222946e-08
45899;-2785.357142857143;3792.4285714285716;-189.14285714285722;1.5987191931774761e-09
49164;-3069.357142857143;3802.5714285714284;-209.42857142857144;1.0806077400877816e-08
49165;-3069.357142857143;3802.5714285714284;-199.28571428571433;1.1073477214838016e-08
49296;-3028.785714285714;3802.5714285714284;-209.42857142857144;5.06273341399148e-09
49660;-2917.214285714286;3802.5714285714284;-199.28571428571433;8.831814093452486e-09
53257;-3099.785714285714;3812.714285714286;-199.28571428571433;5.738852511373189e-09
53454;-3038.9285714285716;3812.714285714286;-209.42857142857144;1.106464409118515e-08
53653;-2978.0714285714284;3812.714285714286;-199.28571428571433;6.785256103109984e-09
53752;-2947.642857142857;3812.714285714286;-199.28571428571433;7.308981549634876e-09
53820;-2927.357142857143;3812.714285714286;-179.0;3.0715981562077757e-09
57116;-3201.214285714286;3822.8571428571427;-219.57142857142856;2.4356010058922925e-09
57117;-3201.214285714286;3822.8571428571427;-209.42857142857144;1.8440844326090025e-09
57283;-3150.5;3822.8571428571427;-199.28571428571433;3.6775441228713973e-09
57645;-3038.9285714285716;3822.8571428571427;-209.42857142857144;1.1636633869817468e-08
58076;-2907.0714285714284;3822.8571428571427;-189.14285714285722;7.846026587141523e-09
61309;-3201.214285714286;3833.0;-199.28571428571433;1.516744112367268e-09
61771;-3059.214285714286;3833.0;-199.28571428571433;1.2260269766239747e-08
61803;-3049.0714285714284;3833.0;-209.42857142857144;1.1923861239402208e-08
61804;-3049.0714285714284;3833.0;-199.28571428571433;1.2359017567988084e-08
61871;-3028.785714285714;3833.0;-189.14285714285722;8.56525455410023e-09
61902;-3018.6428571428573;3833.0;-209.42857142857144;1.155099841527733e-08
61970;-2998.357142857143;3833.0;-189.14285714285722;6.83552428252499e-09
62069;-2967.9285714285716;3833.0;-189.14285714285722;5.683106581159134e-09
62466;-2846.214285714286;3833.0;-179.0;5.490928416303104e-09
65697;-3140.357142857143;3843.1428571428573;-209.42857142857144;5.038195034879855e-09
66028;-3038.9285714285716;3843.1428571428573;-199.28571428571433;1.4922483693076184e-08
66325;-2947.642857142857;3843.1428571428573;-199.28571428571433;8.231187637538726e-09
70119;-3069.357142857143;3853.285714285714;-209.42857142857144;1.0554803815495423e-08
70483;-2957.7857142857147;3853.285714285714;-199.28571428571433;9.083882464968828e-09
74708;-2947.642857142857;3863.4285714285716;-189.14285714285722;3.2741742223996037e-09
74773;-2927.357142857143;3863.4285714285716;-199.28571428571433;7.158935771983267e-09
77972;-3231.6428571428573;3873.5714285714284;-219.57142857142856;2.983715924184886e-09
79063;-2896.9285714285716;3873.5714285714284;-199.28571428571433;4.712736753352035e-09
82328;-3180.9285714285716;3883.714285714286;-219.57142857142856;7.051301407244866e-09
82362;-3170.785714285714;3883.714285714286;-209.42857142857144;5.577085197795075e-09
82461;-3140.357142857143;3883.714285714286;-209.42857142857144;8.645682902226403e-09
82462;-3140.357142857143;3883.714285714286;-199.28571428571433;4.772463021347164e-09
82956;-2988.214285714286;3883.714285714286;-209.42857142857144;9.980780453609769e-09
82957;-2988.214285714286;3883.714285714286;-199.28571428571433;1.643711029001725e-08
86487;-3191.0714285714284;3893.8571428571427;-209.42857142857144;3.829135812072476e-09
86585;-3160.6428571428573;3893.8571428571427;-219.57142857142856;9.790230855720687e-09
86652;-3140.357142857143;3893.8571428571427;-209.42857142857144;1.1985955963266906e-08
86850;-3079.5;3893.8571428571427;-209.42857142857144;8.00679048962056e-09
87346;-2927.357142857143;3893.8571428571427;-199.28571428571433;5.400786748060167e-09
90809;-3150.5;3904.0;-219.57142857142856;1.1634886194615198e-08
90941;-3109.9285714285716;3904.0;-219.57142857142856;1.0672303207283835e-08
90943;-3109.9285714285716;3904.0;-199.28571428571433;8.240349710663341e-09
91008;-3089.6428571428573;3904.0;-209.42857142857144;7.519064594733864e-09
94570;-3282.357142857143;3914.1428571428573;-229.71428571428578;1.8017157688120212e-09
94968;-3160.6428571428573;3914.1428571428573;-209.42857142857144;9.56270165166861e-09
95132;-3109.9285714285716;3914.1428571428573;-219.57142857142856;1.2415323246847339e-08
95298;-3059.214285714286;3914.1428571428573;-209.42857142857144;7.266438318288424e-09
98960;-3221.5;3924.285714285714;-219.57142857142856;5.183258087055863e-09
99324;-3109.9285714285716;3924.285714285714;-209.42857142857144;1.569428386257806e-08
99786;-2967.9285714285716;3924.285714285714;-209.42857142857144;6.975884582963596e-09
103152;-3221.5;3934.4285714285716;-209.42857142857144;5.453998880601993e-09
103218;-3201.214285714286;3934.4285714285716;-209.42857142857144;7.2136075446148275e-09
103580;-3089.6428571428573;3934.4285714285716;-219.57142857142856;1.3548553620347129e-08
103581;-3089.6428571428573;3934.4285714285716;-209.42857142857144;1.8272996723733315e-08
107938;-3038.9285714285716;3944.5714285714284;-199.28571428571433;4.22465364775806e-09
111699;-3170.785714285714;3954.714285714286;-209.42857142857144;1.0112677446859902e-08
111764;-3150.5;3954.714285714286;-219.57142857142856;1.0734875587670929e-08
