idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
15852;-3939.1;4774.1;-245.8;6.1920739709463024e-06
15870;-3930.9;4761.3;-212.4;3.0623696743861433e-06
15883;-3922.7;4748.5;-262.4;4.5100187557438e-06
15884;-3922.7;4748.5;-245.8;4.511406041862449e-06
15885;-3922.7;4748.5;-229.1;3.0104117474121048e-06
17291;-3926.2;4782.4;-262.4;1.5997239555161043e-05
17292;-3926.2;4782.4;-245.8;1.6003909077354822e-05
17323;-3909.8;4756.8;-262.4;1.3996847007401953e-05
17325;-3909.8;4756.8;-229.1;9.347009678035578e-06
17326;-3909.8;4756.8;-212.4;6.298081430455839e-06
17339;-3901.6;4744.1;-262.4;1.377561820983513e-05
17355;-3893.4;4731.3;-262.4;5.084133333129751e-06
17357;-3893.4;4731.3;-229.1;7.561375741617234e-06
17373;-3885.2;4718.6;-229.1;2.43926335492198e-06
18731;-3913.2;4790.7;-262.4;2.7804312845660016e-05
18732;-3913.2;4790.7;-245.8;2.7832132911873633e-05
18733;-3913.2;4790.7;-229.1;2.785858235582135e-05
18747;-3905.1;4777.9;-262.4;2.5859272368899066e-05
18763;-3896.9;4765.2;-262.4;2.395237058021641e-05
18764;-3896.9;4765.2;-245.8;2.0325107521582203e-05
18766;-3896.9;4765.2;-212.4;6.537652079055261e-06
18779;-3888.7;4752.4;-262.4;2.104803705291888e-05
18813;-3872.3;4726.9;-229.1;1.0513106266892273e-05
18843;-3855.9;4701.3;-262.4;1.3837974002132554e-05
18874;-3839.5;4675.8;-279.1;1.0670761544967208e-05
18875;-3839.5;4675.8;-262.4;1.0680219265184998e-05
18923;-3814.9;4637.5;-262.4;1.3973386531863347e-05
18938;-3806.7;4624.8;-279.1;1.2428828503590127e-05
18939;-3806.7;4624.8;-262.4;1.244041120704873e-05
18954;-3798.5;4612.0;-279.1;1.2245563908516677e-05
18955;-3798.5;4612.0;-262.4;1.2255627495549516e-05
18956;-3798.5;4612.0;-245.8;1.2263226017621068e-05
18988;-3782.1;4586.5;-245.8;9.760461107168181e-06
19035;-3757.5;4548.2;-262.4;5.1210698817900525e-06
19051;-3749.3;4535.4;-262.4;4.190992784318674e-06
19114;-3716.6;4484.3;-279.1;3.199386782484371e-06
19163;-3692.0;4446.1;-262.4;3.4642722338684353e-06
20171;-3900.3;4799.0;-262.4;3.83052369068992e-05
20172;-3900.3;4799.0;-245.8;3.834339349160718e-05
20173;-3900.3;4799.0;-229.1;3.460965737117015e-05
20203;-3883.9;4773.5;-262.4;3.151582591696494e-05
20204;-3883.9;4773.5;-245.8;2.3810744659640243e-05
20205;-3883.9;4773.5;-229.1;2.3833027518381078e-05
20220;-3875.7;4760.7;-245.8;2.246828874463905e-05
20221;-3875.7;4760.7;-229.1;2.248592805390942e-05
20236;-3867.5;4747.9;-245.8;2.114962776595063e-05
20237;-3867.5;4747.9;-229.1;1.954181136118994e-05
20252;-3859.3;4735.2;-245.8;2.0845628418634947e-05
20267;-3851.1;4722.4;-262.4;1.9770287785737597e-06
20281;-3842.9;4709.6;-295.8;4.983714508291526e-07
20283;-3842.9;4709.6;-262.4;2.3322290431132233e-05
20285;-3842.9;4709.6;-229.1;1.9506794515012405e-06
20330;-3818.3;4671.4;-279.1;1.6606319873180894e-05
20348;-3810.2;4658.6;-245.8;1.756944150474034e-05
20362;-3802.0;4645.8;-279.1;1.8649403646679426e-05
20363;-3802.0;4645.8;-262.4;2.2873024698285852e-05
20364;-3802.0;4645.8;-245.8;2.1055664000753535e-05
20378;-3793.8;4633.1;-279.1;2.1191900950307493e-05
20379;-3793.8;4633.1;-262.4;2.1210256199885246e-05
20394;-3785.6;4620.3;-279.1;2.0888607225743765e-05
20395;-3785.6;4620.3;-262.4;2.0906233406864003e-05
20410;-3777.4;4607.5;-279.1;1.92866188900751e-05
20412;-3777.4;4607.5;-245.8;1.93172098117065e-05
20428;-3769.2;4594.8;-245.8;1.3696198229592946e-05
20442;-3761.0;4582.0;-279.1;6.3651050737603115e-06
20444;-3761.0;4582.0;-245.8;1.1662779249049695e-05
20491;-3736.4;4543.7;-262.4;7.749140105864246e-06
20492;-3736.4;4543.7;-245.8;5.948616439840458e-06
20506;-3728.2;4531.0;-279.1;1.3626607993650209e-05
20520;-3720.0;4518.2;-312.4;2.9616131043811854e-06
20522;-3720.0;4518.2;-279.1;8.439146918903745e-06
20537;-3711.8;4505.4;-295.8;8.312918605177975e-06
20554;-3703.6;4492.7;-279.1;7.413489043339866e-06
20569;-3695.4;4479.9;-295.8;9.364078401633176e-06
20570;-3695.4;4479.9;-279.1;7.3085451107476226e-06
20585;-3687.2;4467.1;-295.8;1.080212032536224e-05
20601;-3679.0;4454.4;-295.8;9.509633157977599e-06
20618;-3670.8;4441.6;-279.1;9.382163795003388e-06
20619;-3670.8;4441.6;-262.4;9.387912526755388e-06
20634;-3662.6;4428.8;-279.1;8.13161934272722e-06
20635;-3662.6;4428.8;-262.4;8.13603045601322e-06
20650;-3654.4;4416.1;-279.1;8.018018477577197e-06
20651;-3654.4;4416.1;-262.4;8.023589191289164e-06
20667;-3646.2;4403.3;-262.4;6.812285079514286e-06
20714;-3621.7;4365.0;-279.1;3.6445341096855435e-06
20728;-3613.5;4352.3;-312.4;3.589702546960211e-06
20745;-3605.3;4339.5;-295.8;2.8480495069136486e-06
20776;-3588.9;4314.0;-312.4;3.130802322865464e-06
20810;-3572.5;4288.4;-279.1;2.04392534776611e-06
20826;-3564.3;4275.7;-279.1;2.0159172973952887e-06
21611;-3887.4;4807.3;-262.4;4.552358057574205e-05
21612;-3887.4;4807.3;-245.8;4.882552513741845e-05
21613;-3887.4;4807.3;-229.1;3.94555404114623e-05
21614;-3887.4;4807.3;-212.4;2.7903727847110634e-06
21627;-3879.2;4794.5;-262.4;4.0094648246047146e-05
21628;-3879.2;4794.5;-245.8;4.660888377485954e-05
21629;-3879.2;4794.5;-229.1;3.110037761839334e-05
21643;-3871.0;4781.8;-262.4;3.4136606908973435e-05
21644;-3871.0;4781.8;-245.8;3.065017346706664e-05
21659;-3862.8;4769.0;-262.4;1.8593757296839194e-05
21676;-3854.6;4756.3;-245.8;2.7825285209783944e-05
21677;-3854.6;4756.3;-229.1;2.6711915338516485e-05
21690;-3846.4;4743.5;-279.1;6.044736808086899e-06
21692;-3846.4;4743.5;-245.8;2.745249221039608e-05
21694;-3846.4;4743.5;-212.4;1.6141223158597398e-06
21708;-3838.2;4730.7;-245.8;2.6430845528734064e-05
21722;-3830.0;4718.0;-279.1;2.3482701585366046e-05
21723;-3830.0;4718.0;-262.4;3.3993592541298774e-05
21725;-3830.0;4718.0;-229.1;9.500176374876444e-06
21738;-3821.8;4705.2;-279.1;3.1948110357465855e-05
