idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
3080;-3059.214285714286;3691.0;-371.7142857142858;7.153979014276482e-08
3082;-3059.214285714286;3691.0;-351.42857142857144;7.00859629133048e-08
3083;-3059.214285714286;3691.0;-341.28571428571433;8.596135971907475e-08
3112;-3049.0714285714284;3691.0;-381.8571428571429;3.097761262232412e-08
3113;-3049.0714285714284;3691.0;-371.7142857142858;7.74758718134495e-08
3116;-3049.0714285714284;3691.0;-341.28571428571433;7.893998056391226e-08
3149;-3038.9285714285716;3691.0;-341.28571428571433;8.427156941861709e-08
3178;-3028.785714285714;3691.0;-381.8571428571429;3.842735282318978e-08
3213;-3018.6428571428573;3691.0;-361.57142857142856;1.0881658302444265e-07
3248;-3008.5;3691.0;-341.28571428571433;8.880911288568943e-08
3311;-2988.214285714286;3691.0;-371.7142857142858;1.3114828312470712e-07
3378;-2967.9285714285716;3691.0;-361.57142857142856;1.6505996054678815e-07
3380;-2967.9285714285716;3691.0;-341.28571428571433;1.0648079945109983e-07
3410;-2957.7857142857147;3691.0;-371.7142857142858;1.1401981083632809e-07
3477;-2937.5;3691.0;-361.57142857142856;1.8527185894341824e-07
3478;-2937.5;3691.0;-351.42857142857144;1.2244626771577905e-07
3508;-2927.357142857143;3691.0;-381.8571428571429;1.1479982840454155e-07
3509;-2927.357142857143;3691.0;-371.7142857142858;1.0043086773504852e-07
3510;-2927.357142857143;3691.0;-361.57142857142856;1.922004007298914e-07
3576;-2907.0714285714284;3691.0;-361.57142857142856;1.8335397195389093e-07
3578;-2907.0714285714284;3691.0;-341.28571428571433;1.2240287118858362e-07
3642;-2886.7857142857147;3691.0;-361.57142857142856;1.5753689920018585e-07
3671;-2876.642857142857;3691.0;-402.1428571428572;1.6006339867473424e-08
3674;-2876.642857142857;3691.0;-371.7142857142858;1.220876728173604e-07
3675;-2876.642857142857;3691.0;-361.57142857142856;1.4757285391636592e-07
3677;-2876.642857142857;3691.0;-341.28571428571433;8.72373518486964e-08
3704;-2866.5;3691.0;-402.1428571428572;1.5922095287470187e-08
3740;-2856.357142857143;3691.0;-371.7142857142858;1.0288221666803207e-07
3741;-2856.357142857143;3691.0;-361.57142857142856;1.0465375200533102e-07
3742;-2856.357142857143;3691.0;-351.42857142857144;8.795418908359072e-08
3771;-2846.214285714286;3691.0;-392.0;3.893140821592086e-08
3772;-2846.214285714286;3691.0;-381.8571428571429;7.325725193074049e-08
3775;-2846.214285714286;3691.0;-351.42857142857144;7.437526829537031e-08
3806;-2836.0714285714284;3691.0;-371.7142857142858;8.378093375026226e-08
3837;-2825.9285714285716;3691.0;-392.0;3.9396907162260866e-08
3872;-2815.7857142857147;3691.0;-371.7142857142858;6.576356300987976e-08
3905;-2805.642857142857;3691.0;-371.7142857142858;5.926379348439965e-08
4002;-2775.214285714286;3691.0;-392.0;2.6334585521856437e-08
4006;-2775.214285714286;3691.0;-351.42857142857144;2.7987309172333105e-08
4037;-2765.0714285714284;3691.0;-371.7142857142858;3.3014572064776055e-08
4073;-2754.9285714285716;3691.0;-341.28571428571433;8.936522727532964e-09
7204;-3079.5;3701.1428571428573;-381.8571428571429;1.4465302095574376e-08
7240;-3069.357142857143;3701.1428571428573;-351.42857142857144;8.687097307559088e-08
7241;-3069.357142857143;3701.1428571428573;-341.28571428571433;8.690433482391864e-08
7272;-3059.214285714286;3701.1428571428573;-361.57142857142856;7.012643769256692e-08
