idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
548;-3873.9744821024947;4754.194721643893;-258.25;4.8333997127923754e-05
553;-3845.9203239131875;4710.502958971175;-258.25;4.6454417897326504e-05
683;-3829.096029579406;4783.010844623527;-258.25;0.00013918887465415793
688;-3801.041871390099;4739.31908195081;-258.25;9.00841044340197e-05
757;-3408.2836567397976;4127.634404532762;-320.75;2.870577133064394e-05
762;-3380.2294985504905;4083.942641860044;-320.75;2.7683077323144848e-05
767;-3352.175340361183;4040.250879187326;-320.75;2.6692650793880606e-05
818;-3784.2175770563185;4811.826967603161;-258.25;5.023118420241118e-05
823;-3756.1634188670114;4768.135204930443;-258.25;4.861609468234319e-05
887;-3391.459362406017;4200.142290185114;-320.75;2.9198854225850128e-05
892;-3363.40520421671;4156.450527512396;-320.75;5.723072048795911e-05
897;-3335.351046027403;4112.758764839678;-320.75;5.545052878260038e-05
902;-3307.2968878380952;4069.0670021669603;-320.75;5.365588245228068e-05
1022;-3346.5809098829295;4228.958413164747;-320.75;3.0158845919907e-05
1027;-3318.5267516936224;4185.26665049203;-320.75;5.7823796460910386e-05
1032;-3290.4725935043152;4141.574887819312;-320.75;5.574625973636942e-05
1157;-3301.7024573598414;4257.774536144382;-320.75;3.096177128978359e-05
1162;-3273.6482991705343;4214.082773471664;-320.75;3.015832200826403e-05
1167;-3245.5941409812267;4170.391010798947;-320.75;5.521277911623966e-05
1297;-3228.7698466474467;4242.898896451298;-320.75;2.7412613945515376e-05
1302;-3200.715688458139;4199.20713377858;-320.75;2.7280793286624364e-05
