idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
37533;-3900.7;4607.2;-362.4;2.6864593680942107e-07
40507;-3979.3;4748.3;-372.8;9.263996448778937e-07
40584;-3963.0;4722.8;-352.0;6.666038284799439e-07
40633;-3952.1;4705.9;-362.4;6.491209003691948e-07
40708;-3935.7;4680.5;-362.4;1.0403142307547978e-06
40733;-3930.3;4672.0;-362.4;1.025611222662335e-06
40760;-3924.9;4663.5;-341.6;6.073350346389731e-07
40781;-3919.4;4655.0;-383.2;2.939440241994326e-07
40782;-3919.4;4655.0;-372.8;9.051577085370987e-07
40807;-3914.0;4646.5;-372.8;9.85527269040353e-07
40858;-3903.1;4629.6;-362.4;5.756811685495094e-07
40984;-3875.9;4587.2;-352.0;3.800280228526491e-07
41084;-3854.1;4553.3;-352.0;4.5228179336389204e-07
41109;-3848.6;4544.8;-352.0;5.351474522268083e-07
41110;-3848.6;4544.8;-341.6;2.674202500263882e-07
41160;-3837.8;4527.9;-341.6;2.6124691573910694e-07
41209;-3826.9;4510.9;-352.0;2.5473480944621635e-07
41283;-3810.5;4485.5;-362.4;2.454800003761001e-07
41360;-3794.2;4460.0;-341.6;3.9461390019675297e-07
41411;-3783.3;4443.1;-331.2;2.3117326583024773e-07
41432;-3777.9;4434.6;-372.8;2.2838099389600764e-07
43906;-3965.3;4745.3;-383.2;1.0740866179883863e-06
43932;-3959.9;4736.8;-372.8;1.0594785593172261e-06
43956;-3954.4;4728.3;-383.2;1.0455449524807534e-06
43984;-3949.0;4719.8;-352.0;1.0307678996403148e-06
44006;-3943.5;4711.4;-383.2;1.0169613974966802e-06
44033;-3938.1;4702.9;-362.4;1.3376215647767512e-06
44035;-3938.1;4702.9;-341.6;3.342311647322125e-07
44059;-3932.7;4694.4;-352.0;6.596669883163218e-07
44081;-3927.2;4685.9;-383.2;6.512308409267054e-07
44105;-3921.8;4677.5;-393.7;6.420889925319735e-07
44108;-3921.8;4677.5;-362.4;1.6060757176591535e-06
44110;-3921.8;4677.5;-341.6;9.624504515117585e-07
44136;-3916.3;4669.0;-331.2;4.54202172423625e-07
44159;-3910.9;4660.5;-352.0;9.379865498200988e-07
44182;-3905.4;4652.0;-372.8;1.5434439551999438e-06
44208;-3900.0;4643.5;-362.4;1.2178204114501612e-06
44234;-3894.6;4635.1;-352.0;6.325790915966173e-07
44259;-3889.1;4626.6;-352.0;6.246685747027264e-07
44357;-3867.3;4592.7;-372.8;5.932977383839893e-07
44383;-3861.9;4584.2;-362.4;5.86191677544565e-07
44410;-3856.5;4575.7;-341.6;5.781664080697851e-07
44509;-3834.7;4541.8;-352.0;9.155210183192399e-07
44558;-3823.8;4524.9;-362.4;7.144572249984687e-07
44610;-3812.9;4507.9;-341.6;5.23068993959391e-07
44708;-3791.1;4474.0;-362.4;4.976553399265852e-07
44733;-3785.7;4465.5;-362.4;2.598240714594961e-07
44785;-3774.8;4448.6;-341.6;4.229264117558798e-07
44885;-3753.0;4414.7;-341.6;2.4197700208669687e-07
45062;-3714.9;4355.3;-320.8;2.2279768193730907e-07
45208;-3682.3;4304.4;-362.4;2.0754282785184944e-07
45258;-3671.4;4287.5;-362.4;1.3526036491088155e-07
47309;-3951.4;4742.3;-352.0;1.4703777184652093e-06
47357;-3940.5;4725.3;-372.8;1.4320248053328552e-06
47407;-3929.6;4708.4;-372.8;1.3932942561490524e-06
47430;-3924.1;4699.9;-393.7;1.2767376889876636e-06
47433;-3924.1;4699.9;-362.4;2.2907070146215263e-06
47435;-3924.1;4699.9;-341.6;1.0131868259081517e-06
47458;-3918.7;4691.4;-362.4;2.259811595824596e-06
47485;-3913.3;4682.9;-341.6;1.3365997828295643e-06
47530;-3902.4;4666.0;-393.7;6.512255080823113e-07
47558;-3896.9;4657.5;-362.4;1.6862737357830375e-06
47582;-3891.5;4649.0;-372.8;1.3318933836628083e-06
47585;-3891.5;4649.0;-341.6;9.983070923379582e-07
47632;-3880.6;4632.1;-372.8;9.725297990587737e-07
47660;-3875.2;4623.6;-341.6;9.599272425161813e-07
47708;-3864.3;4606.6;-362.4;9.355910713759007e-07
47733;-3858.8;4598.1;-362.4;9.244046506430637e-07
47737;-3858.8;4598.1;-320.8;7.075725742775497e-07
47834;-3837.0;4564.2;-352.0;1.4631504511004555e-06
47884;-3826.2;4547.3;-352.0;1.4261562340030187e-06
47911;-3820.7;4538.8;-331.2;8.444476291966393e-07
47961;-3809.8;4521.9;-331.2;8.236777126452661e-07
47986;-3804.4;4513.4;-331.2;7.325044267209191e-07
48011;-3798.9;4504.9;-331.2;2.8697085368252e-07
48013;-3798.9;4504.9;-310.3;2.769512521630709e-07
48035;-3793.5;4496.4;-341.6;7.436374432990283e-07
48060;-3788.1;4487.9;-341.6;9.172391481601673e-07
48111;-3777.2;4471.0;-331.2;5.373364444975017e-07
