idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
2989;-3089.6428571428573;3691.0;-290.57142857142856;9.991339918321133e-09
2992;-3089.6428571428573;3691.0;-260.1428571428572;3.322114764092334e-09
3022;-3079.5;3691.0;-290.57142857142856;9.249091348959012e-09
3054;-3069.357142857143;3691.0;-300.7142857142858;6.164027500117099e-09
3055;-3069.357142857143;3691.0;-290.57142857142856;9.933871482621265e-09
3088;-3059.214285714286;3691.0;-290.57142857142856;9.187806454074976e-09
3123;-3049.0714285714284;3691.0;-270.28571428571433;9.793640086972803e-09
3124;-3049.0714285714284;3691.0;-260.1428571428572;6.52570140873645e-09
3155;-3038.9285714285716;3691.0;-280.42857142857144;1.3215254257027207e-08
3222;-3018.6428571428573;3691.0;-270.28571428571433;7.614874491695325e-09
3320;-2988.214285714286;3691.0;-280.42857142857144;1.1644768310036862e-08
3419;-2957.7857142857147;3691.0;-280.42857142857144;1.1156922377984567e-08
3420;-2957.7857142857147;3691.0;-270.28571428571433;7.0727197969561986e-09
3583;-2907.0714285714284;3691.0;-290.57142857142856;7.636688393329133e-09
3584;-2907.0714285714284;3691.0;-280.42857142857144;1.0750426117209043e-08
3617;-2896.9285714285716;3691.0;-280.42857142857144;9.466992266435782e-09
3649;-2886.7857142857147;3691.0;-290.57142857142856;6.723107820263316e-09
3815;-2836.0714285714284;3691.0;-280.42857142857144;8.669887409531605e-09
3817;-2836.0714285714284;3691.0;-260.1428571428572;9.379313821772682e-09
3848;-2825.9285714285716;3691.0;-280.42857142857144;8.240817337522609e-09
3880;-2815.7857142857147;3691.0;-290.57142857142856;5.402856490718738e-09
3881;-2815.7857142857147;3691.0;-280.42857142857144;8.245039983408858e-09
4046;-2765.0714285714284;3691.0;-280.42857142857144;6.978712820495081e-09
4048;-2765.0714285714284;3691.0;-260.1428571428572;8.581935002669932e-09
4049;-2765.0714285714284;3691.0;-250.0;5.7294444632734e-09
4080;-2754.9285714285716;3691.0;-270.28571428571433;6.007857506782988e-09
4082;-2754.9285714285716;3691.0;-250.0;5.240059973899929e-09
6882;-3180.9285714285716;3701.1428571428573;-300.7142857142858;1.346129770846775e-09
7049;-3130.214285714286;3701.1428571428573;-280.42857142857144;5.2275711092315916e-09
7084;-3120.0714285714284;3701.1428571428573;-260.1428571428572;2.8833176533548655e-09
7179;-3089.6428571428573;3701.1428571428573;-300.7142857142858;4.695437610055643e-09
7213;-3079.5;3701.1428571428573;-290.57142857142856;1.0169888856224845e-08
7214;-3079.5;3701.1428571428573;-280.42857142857144;1.0276328541186244e-08
7346;-3038.9285714285716;3701.1428571428573;-280.42857142857144;1.147644631840267e-08
7377;-3028.785714285714;3701.1428571428573;-300.7142857142858;4.324677703258839e-09
7379;-3028.785714285714;3701.1428571428573;-280.42857142857144;1.201058660526318e-08
7380;-3028.785714285714;3701.1428571428573;-270.28571428571433;9.991029346795473e-09
7411;-3018.6428571428573;3701.1428571428573;-290.57142857142856;9.460476561638921e-09
7412;-3018.6428571428573;3701.1428571428573;-280.42857142857144;1.161016337630365e-08
7446;-3008.5;3701.1428571428573;-270.28571428571433;7.923332097280312e-09
7480;-2998.357142857143;3701.1428571428573;-260.1428571428572;7.107375557462658e-09
7509;-2988.214285714286;3701.1428571428573;-300.7142857142858;4.313719252185536e-09
7544;-2978.0714285714284;3701.1428571428573;-280.42857142857144;1.1427315642210605e-08
7610;-2957.7857142857147;3701.1428571428573;-280.42857142857144;1.0048778776000554e-08
7645;-2947.642857142857;3701.1428571428573;-260.1428571428572;6.971468316614884e-09
7742;-2917.214285714286;3701.1428571428573;-280.42857142857144;1.1790960279875908e-08
7745;-2917.214285714286;3701.1428571428573;-250.0;3.509724761893552e-09
7775;-2907.0714285714284;3701.1428571428573;-280.42857142857144;1.0704207369386536e-08
7807;-2896.9285714285716;3701.1428571428573;-290.57142857142856;7.724730764717326e-09
7875;-2876.642857142857;3701.1428571428573;-270.28571428571433;6.67648193837436e-09
7939;-2856.357142857143;3701.1428571428573;-290.57142857142856;6.550814619281622e-09
7943;-2856.357142857143;3701.1428571428573;-250.0;5.435393216245691e-09
8007;-2836.0714285714284;3701.1428571428573;-270.28571428571433;6.294067606877907e-09
8073;-2815.7857142857147;3701.1428571428573;-270.28571428571433;6.162814228599789e-09
8107;-2805.642857142857;3701.1428571428573;-260.1428571428572;8.618691284381505e-09
8140;-2795.5;3701.1428571428573;-260.1428571428572;7.69158550730817e-09
8171;-2785.357142857143;3701.1428571428573;-280.42857142857144;6.798048284289564e-09
8172;-2785.357142857143;3701.1428571428573;-270.28571428571433;6.164177793085811e-09
8207;-2775.214285714286;3701.1428571428573;-250.0;5.818552473041974e-09
8238;-2765.0714285714284;3701.1428571428573;-270.28571428571433;5.963005630279125e-09
8304;-2744.7857142857147;3701.1428571428573;-270.28571428571433;5.023199371782071e-09
8371;-2724.5;3701.1428571428573;-260.1428571428572;3.747926460258843e-09
11040;-3191.0714285714284;3711.285714285714;-300.7142857142858;2.2363011518068083e-09
11273;-3120.0714285714284;3711.285714285714;-280.42857142857144;6.452640729535062e-09
11304;-3109.9285714285716;3711.285714285714;-300.7142857142858;3.2978650352052564e-09
11305;-3109.9285714285716;3711.285714285714;-290.57142857142856;8.606294529923251e-09
11340;-3099.785714285714;3711.285714285714;-270.28571428571433;6.457356752611104e-09
11341;-3099.785714285714;3711.285714285714;-260.1428571428572;3.2251786747650722e-09
11374;-3089.6428571428573;3711.285714285714;-260.1428571428572;3.4617782469151464e-09
11405;-3079.5;3711.285714285714;-280.42857142857144;8.578756417272832e-09
11470;-3059.214285714286;3711.285714285714;-290.57142857142856;9.49162868921726e-09
11505;-3049.0714285714284;3711.285714285714;-270.28571428571433;6.709540701575417e-09
11602;-3018.6428571428573;3711.285714285714;-290.57142857142856;1.0309423178304953e-08
11638;-3008.5;3711.285714285714;-260.1428571428572;7.265049624657953e-09
11737;-2978.0714285714284;3711.285714285714;-260.1428571428572;6.4907317711581945e-09
11834;-2947.642857142857;3711.285714285714;-280.42857142857144;9.69893380552631e-09
11999;-2896.9285714285716;3711.285714285714;-280.42857142857144;1.0342947531356645e-08
12001;-2896.9285714285716;3711.285714285714;-260.1428571428572;6.270971929350655e-09
12165;-2846.214285714286;3711.285714285714;-270.28571428571433;6.139061091896019e-09
12197;-2836.0714285714284;3711.285714285714;-280.42857142857144;8.226496523649426e-09
12198;-2836.0714285714284;3711.285714285714;-270.28571428571433;6.382194764235236e-09
12200;-2836.0714285714284;3711.285714285714;-250.0;6.1566288540046544e-09
12228;-2825.9285714285716;3711.285714285714;-300.7142857142858;1.2957334562976212e-09
12296;-2805.642857142857;3711.285714285714;-280.42857142857144;6.5492735283961e-09
