idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
3424;-2957.7857142857147;3691.0;-229.71428571428578;9.174151037031195e-09
3459;-2947.642857142857;3691.0;-209.42857142857144;3.0674417129234026e-09
3490;-2937.5;3691.0;-229.71428571428578;7.972722855045593e-09
3525;-2927.357142857143;3691.0;-209.42857142857144;2.5527907473257475e-09
3557;-2917.214285714286;3691.0;-219.57142857142856;5.860418093094229e-09
3623;-2896.9285714285716;3691.0;-219.57142857142856;5.638632422043325e-09
3789;-2846.214285714286;3691.0;-209.42857142857144;9.358875546036032e-09
3790;-2846.214285714286;3691.0;-199.28571428571433;1.6431220363216922e-09
3855;-2825.9285714285716;3691.0;-209.42857142857144;8.31860337242759e-09
4086;-2754.9285714285716;3691.0;-209.42857142857144;3.181674217638607e-09
7154;-3099.785714285714;3701.1428571428573;-219.57142857142856;8.364332656263374e-09
7617;-2957.7857142857147;3701.1428571428573;-209.42857142857144;3.828988268175827e-09
7650;-2947.642857142857;3701.1428571428573;-209.42857142857144;3.050398035259742e-09
8179;-2785.357142857143;3701.1428571428573;-199.28571428571433;5.348437869645464e-09
8243;-2765.0714285714284;3701.1428571428573;-219.57142857142856;5.059418931301544e-09
8342;-2734.642857142857;3701.1428571428573;-219.57142857142856;3.786990787845297e-09
11178;-3150.5;3711.285714285714;-239.8571428571429;4.694634558680434e-09
12038;-2886.7857142857147;3711.285714285714;-219.57142857142856;5.178229996135969e-09
12040;-2886.7857142857147;3711.285714285714;-199.28571428571433;1.3524476025633054e-09
12105;-2866.5;3711.285714285714;-209.42857142857144;8.300232774728909e-09
12236;-2825.9285714285716;3711.285714285714;-219.57142857142856;5.687682789742356e-09
12303;-2805.642857142857;3711.285714285714;-209.42857142857144;8.460851592470538e-09
12336;-2795.5;3711.285714285714;-209.42857142857144;7.100530976940136e-09
15900;-2988.214285714286;3721.4285714285716;-209.42857142857144;4.1593820841492404e-09
15966;-2967.9285714285716;3721.4285714285716;-209.42857142857144;3.722428258887131e-09
15998;-2957.7857142857147;3721.4285714285716;-219.57142857142856;5.095671888702876e-09
16065;-2937.5;3721.4285714285716;-209.42857142857144;2.699982746770931e-09
16098;-2927.357142857143;3721.4285714285716;-209.42857142857144;2.3351413838996684e-09
