idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
2621;-3201.214285714286;3691.0;-341.28571428571433;1.4831029117222245e-26
2652;-3191.0714285714284;3691.0;-361.57142857142856;3.3808267213687904e-26
2653;-3191.0714285714284;3691.0;-351.42857142857144;2.5365896887895882e-26
2685;-3180.9285714285716;3691.0;-361.57142857142856;4.963128739253561e-26
2688;-3180.9285714285716;3691.0;-331.1428571428572;1.738243331127649e-26
2719;-3170.785714285714;3691.0;-351.42857142857144;5.474258862796905e-26
2785;-3150.5;3691.0;-351.42857142857144;1.1642900856882636e-25
2787;-3150.5;3691.0;-331.1428571428572;6.830185800325432e-26
2818;-3140.357142857143;3691.0;-351.42857142857144;1.6851002083649044e-25
2914;-3109.9285714285716;3691.0;-381.8571428571429;3.377654581278677e-25
3013;-3079.5;3691.0;-381.8571428571429;2.7564206040165924e-25
3113;-3049.0714285714284;3691.0;-371.7142857142858;6.465030094551476e-25
3115;-3049.0714285714284;3691.0;-351.42857142857144;6.305264070566865e-25
3281;-2998.357142857143;3691.0;-341.28571428571433;5.3135583513794625e-25
3310;-2988.214285714286;3691.0;-381.8571428571429;5.007941985709017e-25
3342;-2978.0714285714284;3691.0;-392.0;3.7000263717032714e-25
3375;-2967.9285714285716;3691.0;-392.0;2.733036548123652e-25
3606;-2896.9285714285716;3691.0;-392.0;4.270862269900978e-25
3607;-2896.9285714285716;3691.0;-381.8571428571429;4.437736326295714e-25
3609;-2896.9285714285716;3691.0;-361.57142857142856;6.40661797485446e-25
3642;-2886.7857142857147;3691.0;-361.57142857142856;4.699526275297694e-25
3674;-2876.642857142857;3691.0;-371.7142857142858;4.379072650283182e-25
3675;-2876.642857142857;3691.0;-361.57142857142856;6.392659097741677e-25
3874;-2815.7857142857147;3691.0;-351.42857142857144;6.018551514268145e-25
3904;-2805.642857142857;3691.0;-381.8571428571429;6.529874129822518e-25
3905;-2805.642857142857;3691.0;-371.7142857142858;4.941928831849789e-25
3937;-2795.5;3691.0;-381.8571428571429;9.057200590439167e-25
3938;-2795.5;3691.0;-371.7142857142858;6.79557307290359e-25
4133;-2734.642857142857;3691.0;-402.1428571428572;4.426200436956937e-25
6515;-3292.5;3701.1428571428573;-341.28571428571433;5.807304049737501e-28
6611;-3262.0714285714284;3701.1428571428573;-371.7142857142858;1.4013745050815717e-27
6710;-3231.6428571428573;3701.1428571428573;-371.7142857142858;4.721453706657251e-27
6745;-3221.5;3701.1428571428573;-351.42857142857144;1.052438278310748e-26
6746;-3221.5;3701.1428571428573;-341.28571428571433;1.0412830463298898e-26
6747;-3221.5;3701.1428571428573;-331.1428571428572;1.4443012859787533e-27
6910;-3170.785714285714;3701.1428571428573;-351.42857142857144;7.291761631496919e-26
6942;-3160.6428571428573;3701.1428571428573;-361.57142857142856;1.4210151326520985e-25
6973;-3150.5;3701.1428571428573;-381.8571428571429;1.0303705482020827e-25
6974;-3150.5;3701.1428571428573;-371.7142857142858;8.915848007598014e-26
7006;-3140.357142857143;3701.1428571428573;-381.8571428571429;1.499316434086867e-25
7008;-3140.357142857143;3701.1428571428573;-361.57142857142856;2.9946755149258133e-25
7042;-3130.214285714286;3701.1428571428573;-351.42857142857144;3.2437404681230757e-25
7105;-3109.9285714285716;3701.1428571428573;-381.8571428571429;2.3544812712066505e-25
7106;-3109.9285714285716;3701.1428571428573;-371.7142857142858;2.349626775680666e-25
7141;-3099.785714285714;3701.1428571428573;-351.42857142857144;5.072786173856255e-25
7238;-3069.357142857143;3701.1428571428573;-371.7142857142858;2.781385641366664e-25
7303;-3049.0714285714284;3701.1428571428573;-381.8571428571429;2.9343213068841895e-25
7403;-3018.6428571428573;3701.1428571428573;-371.7142857142858;8.858147048165382e-25
7406;-3018.6428571428573;3701.1428571428573;-341.28571428571433;5.661735282173651e-25
7436;-3008.5;3701.1428571428573;-371.7142857142858;6.628534011379183e-25
7469;-2998.357142857143;3701.1428571428573;-371.7142857142858;9.3656748845477e-25
7568;-2967.9285714285716;3701.1428571428573;-371.7142857142858;7.296856085258866e-25
7632;-2947.642857142857;3701.1428571428573;-392.0;3.794647081681399e-25
7665;-2937.5;3701.1428571428573;-392.0;5.33968332710662e-25
7732;-2917.214285714286;3701.1428571428573;-381.8571428571429;2.776505905107104e-25
7830;-2886.7857142857147;3701.1428571428573;-392.0;4.1462625487139035e-25
7865;-2876.642857142857;3701.1428571428573;-371.7142857142858;3.0569476999456747e-25
7899;-2866.5;3701.1428571428573;-361.57142857142856;6.212001988946895e-25
7929;-2856.357142857143;3701.1428571428573;-392.0;3.0870922000930474e-25
7930;-2856.357142857143;3701.1428571428573;-381.8571428571429;6.186287196071378e-25
7967;-2846.214285714286;3701.1428571428573;-341.28571428571433;1.0336969117090965e-27
7995;-2836.0714285714284;3701.1428571428573;-392.0;3.1561026167143875e-25
7997;-2836.0714285714284;3701.1428571428573;-371.7142857142858;3.158498167656069e-25
8094;-2805.642857142857;3701.1428571428573;-392.0;4.349112843481312e-25
8162;-2785.357142857143;3701.1428571428573;-371.7142857142858;6.581704515979829e-25
8225;-2765.0714285714284;3701.1428571428573;-402.1428571428572;4.350721438052248e-25
8326;-2734.642857142857;3701.1428571428573;-381.8571428571429;1.1761570506400144e-24
8327;-2734.642857142857;3701.1428571428573;-371.7142857142858;8.888344020885657e-25
10639;-3312.785714285714;3711.285714285714;-351.42857142857144;4.2230197877404665e-28
10670;-3302.6428571428573;3711.285714285714;-371.7142857142858;3.455880486787901e-28
10737;-3282.357142857143;3711.285714285714;-361.57142857142856;8.16231804746438e-28
10771;-3272.214285714286;3711.285714285714;-351.42857142857144;2.4699284054395007e-27
10871;-3241.785714285714;3711.285714285714;-341.28571428571433;6.3691517131989385e-27
10966;-3211.357142857143;3711.285714285714;-381.8571428571429;6.975367543876605e-27
11067;-3180.9285714285716;3711.285714285714;-361.57142857142856;7.774295078741601e-26
11136;-3160.6428571428573;3711.285714285714;-331.1428571428572;4.37175222045446e-26
11266;-3120.0714285714284;3711.285714285714;-351.42857142857144;3.2637175965186973e-25
11365;-3089.6428571428573;3711.285714285714;-351.42857142857144;5.095838866263117e-25
11594;-3018.6428571428573;3711.285714285714;-371.7142857142858;6.208814768211281e-25
11595;-3018.6428571428573;3711.285714285714;-361.57142857142856;4.654676858943293e-25
11597;-3018.6428571428573;3711.285714285714;-341.28571428571433;4.70223573005764e-25
11792;-2957.7857142857147;3711.285714285714;-371.7142857142858;7.196504453234095e-25
11825;-2947.642857142857;3711.285714285714;-371.7142857142858;1.0118708859159328e-24
11857;-2937.5;3711.285714285714;-381.8571428571429;1.8679184433543022e-25
11858;-2937.5;3711.285714285714;-371.7142857142858;7.4745386293539595e-25
11957;-2907.0714285714284;3711.285714285714;-371.7142857142858;1.0799079896792744e-24
12023;-2886.7857142857147;3711.285714285714;-371.7142857142858;8.19553998661423e-25
12025;-2886.7857142857147;3711.285714285714;-351.42857142857144;8.40909213767799e-25
12056;-2876.642857142857;3711.285714285714;-371.7142857142858;4.076274122939919e-25
12089;-2866.5;3711.285714285714;-371.7142857142858;5.666119099335554e-25
12157;-2846.214285714286;3711.285714285714;-351.42857142857144;8.68303172858455e-25
12223;-2825.9285714285716;3711.285714285714;-351.42857142857144;8.74424726312122e-25
12286;-2805.642857142857;3711.285714285714;-381.8571428571429;1.1761354128355081e-24
12288;-2805.642857142857;3711.285714285714;-361.57142857142856;2.0272017253873472e-25
12416;-2765.0714285714284;3711.285714285714;-402.1428571428572;5.790420226977424e-25
12455;-2754.9285714285716;3711.285714285714;-341.28571428571433;2.8664928228027735e-25
12519;-2734.642857142857;3711.285714285714;-361.57142857142856;6.129369356403029e-25
14863;-3302.6428571428573;3721.4285714285716;-351.42857142857144;9.292889199296138e-28
15092;-3231.6428571428573;3721.4285714285716;-371.7142857142858;8.525638361776388e-27
15225;-3191.0714285714284;3721.4285714285716;-361.57142857142856;6.33617966945732e-26
15322;-3160.6428571428573;3721.4285714285716;-381.8571428571429;6.30813627683403e-26
15358;-3150.5;3721.4285714285716;-351.42857142857144;2.7512427430171143e-25
15360;-3150.5;3721.4285714285716;-331.1428571428572;8.560018619735073e-26
15457;-3120.0714285714284;3721.4285714285716;-351.42857142857144;4.344909081919485e-25
15458;-3120.0714285714284;3721.4285714285716;-341.28571428571433;1.2242940354454204e-27
15719;-3038.9285714285716;3721.4285714285716;-371.7142857142858;4.194361764928682e-25
15788;-3018.6428571428573;3721.4285714285716;-341.28571428571433;6.268878871854477e-25
15817;-3008.5;3721.4285714285716;-381.8571428571429;3.082896005147565e-25
15818;-3008.5;3721.4285714285716;-371.7142857142858;6.168183175159107e-25
15917;-2978.0714285714284;3721.4285714285716;-371.7142857142858;9.195429705537675e-25
15982;-2957.7857142857147;3721.4285714285716;-381.8571428571429;4.793156519336771e-25
16183;-2896.9285714285716;3721.4285714285716;-351.42857142857144;8.075923319430283e-25
16249;-2876.642857142857;3721.4285714285716;-351.42857142857144;8.272831589423837e-25
16315;-2856.357142857143;3721.4285714285716;-351.42857142857144;8.357056233751123e-25
