idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
36108;-3211.357142857143;3772.1428571428573;-422.42857142857144;9.68091244820646e-09
40398;-3180.9285714285716;3782.285714285714;-422.42857142857144;6.894696338937727e-09
41452;-2856.357142857143;3782.285714285714;-442.7142857142858;7.183959581445286e-09
48154;-3373.6428571428573;3802.5714285714284;-412.28571428571433;3.725924446212247e-09
49307;-3018.6428571428573;3802.5714285714284;-432.57142857142856;1.904241363199223e-09
53992;-2866.5;3812.714285714286;-442.7142857142858;6.043078149254551e-09
65149;-3302.6428571428573;3843.1428571428573;-412.28571428571433;8.069788536628227e-09
66170;-2988.214285714286;3843.1428571428573;-432.57142857142856;4.836066975602228e-09
69439;-3272.214285714286;3853.285714285714;-412.28571428571433;5.3362818381685845e-09
87158;-2978.0714285714284;3893.8571428571427;-432.57142857142856;3.301072602619724e-09
106895;-3353.357142857143;3944.5714285714284;-402.1428571428572;9.028857085496286e-09
131712;-3454.785714285714;4005.4285714285716;-392.0;5.23609697968466e-09
132173;-3312.785714285714;4005.4285714285716;-402.1428571428572;2.0104866112320414e-09
133359;-2947.642857142857;4005.4285714285716;-422.42857142857144;1.0087543656961408e-08
178736;-3170.785714285714;4117.0;-402.1428571428572;7.79259407725119e-09
182894;-3180.9285714285716;4127.142857142857;-402.1428571428572;6.9811520374127135e-09
191441;-3130.214285714286;4147.428571428572;-402.1428571428572;1.0649489906457326e-08
199889;-3109.9285714285716;4167.714285714285;-402.1428571428572;9.489583035908698e-09
266320;-3302.6428571428573;4330.0;-381.8571428571429;6.718714244040443e-09
266518;-3241.785714285714;4330.0;-381.8571428571429;1.046460901735934e-08
270775;-3221.5;4340.142857142857;-381.8571428571429;1.0738458925357806e-08
282788;-3393.9285714285716;4370.571428571428;-371.7142857142858;9.461266346092606e-09
294900;-3535.9285714285716;4401.0;-361.57142857142856;2.9415909608186326e-09
298531;-3708.357142857143;4411.142857142857;-351.42857142857144;5.295836703123268e-09
370537;-3475.0714285714284;4583.571428571428;-351.42857142857144;1.5660907385226346e-08
377865;-3799.6428571428573;4603.857142857143;-331.1428571428572;1.5727703780786237e-08
378425;-3627.214285714286;4603.857142857143;-341.28571428571433;9.874230119929493e-09
390965;-3637.357142857143;4634.285714285714;-341.28571428571433;5.506359785434654e-09
395387;-3566.357142857143;4644.428571428572;-341.28571428571433;1.060147782249701e-08
461818;-3759.0714285714284;4806.714285714285;-321.0;1.2438729749124878e-08
495116;-3830.0714285714284;4887.857142857143;-310.8571428571429;1.9517694914423823e-08
507920;-3759.0714285714284;4918.285714285714;-310.8571428571429;1.0901435813625929e-08
11653;-2998.357142857143;3711.285714285714;-442.7142857142858;1.8370151421915187e-09
27594;-3251.9285714285716;3751.8571428571427;-422.42857142857144;6.008222464061448e-09
32510;-3028.785714285714;3762.0;-432.57142857142856;1.6497679301846801e-09
40365;-3191.0714285714284;3782.285714285714;-422.42857142857144;1.0057799142239156e-08
66269;-2957.7857142857147;3843.1428571428573;-432.57142857142856;6.579466297935045e-09
86631;-3140.357142857143;3893.8571428571427;-422.42857142857144;2.2884530286547983e-09
94816;-3201.214285714286;3914.1428571428573;-412.28571428571433;3.6898091716818835e-09
95178;-3089.6428571428573;3914.1428571428573;-422.42857142857144;4.774097065202035e-09
95771;-2907.0714285714284;3914.1428571428573;-432.57142857142856;8.075422330164652e-09
100028;-2886.7857142857147;3924.285714285714;-432.57142857142856;8.09890823418066e-09
111053;-3363.5;3954.714285714286;-402.1428571428572;7.369786602647451e-09
112799;-2825.9285714285716;3954.714285714286;-432.57142857142856;4.838333077638297e-09
116430;-2998.357142857143;3964.8571428571427;-422.42857142857144;8.875686338009737e-09
120720;-2967.9285714285716;3975.0;-422.42857142857144;9.186642097820248e-09
124746;-3018.6428571428573;3985.142857142857;-422.42857142857144;5.153408951764911e-09
131679;-3464.9285714285716;4005.4285714285716;-392.0;6.619816881359799e-09
153820;-3099.785714285714;4056.142857142857;-412.28571428571433;7.026554397240717e-09
153853;-3089.6428571428573;4056.142857142857;-412.28571428571433;6.916624169447591e-09
157517;-3251.9285714285716;4066.285714285714;-402.1428571428572;3.6380564363605286e-09
158143;-3059.214285714286;4066.285714285714;-412.28571428571433;1.0307160504376895e-08
212100;-3221.5;4198.142857142857;-392.0;4.990108735050077e-09
212594;-3069.357142857143;4198.142857142857;-402.1428571428572;5.808819382210539e-09
216851;-3049.0714285714284;4208.285714285714;-402.1428571428572;3.8610887945989035e-09
228436;-3353.357142857143;4238.714285714285;-381.8571428571429;1.3249984473936664e-09
228996;-3180.9285714285716;4238.714285714285;-392.0;1.1539823275850754e-08
236917;-3322.9285714285716;4259.0;-381.8571428571429;1.6069409418593315e-09
282821;-3383.785714285714;4370.571428571428;-371.7142857142858;1.0822519323993692e-08
307572;-3505.5;4431.428571428572;-361.57142857142856;8.670281897767069e-09
315921;-3515.6428571428573;4451.714285714285;-361.57142857142856;4.536589920575398e-09
323414;-3789.5;4472.0;-341.28571428571433;1.2012925882389147e-08
323480;-3769.214285714286;4472.0;-341.28571428571433;5.406600316416435e-09
333081;-3393.9285714285716;4492.285714285714;-361.57142857142856;1.1930626801171557e-08
403143;-3759.0714285714284;4664.714285714285;-331.1428571428572;3.880155366375685e-09
483004;-3688.0714285714284;4857.428571428572;-321.0;6.854868509418767e-09
503564;-3809.785714285714;4908.142857142857;-310.8571428571429;1.8059991535731625e-08
512144;-3748.9285714285716;4928.428571428572;-310.8571428571429;1.0939359999113947e-08
49834;-2856.357142857143;3802.5714285714284;-442.7142857142858;6.998188520531975e-09
58150;-2876.642857142857;3822.8571428571427;-442.7142857142858;3.1469961167271917e-09
62572;-2805.642857142857;3833.0;-442.7142857142858;8.883647268448667e-09
70460;-2957.7857142857147;3853.285714285714;-432.57142857142856;7.224164482731742e-09
78842;-2957.7857142857147;3873.5714285714284;-432.57142857142856;5.855910866152118e-09
95211;-3079.5;3914.1428571428573;-422.42857142857144;4.621714392744678e-09
95705;-2927.357142857143;3914.1428571428573;-432.57142857142856;4.959086760790214e-09
98381;-3393.9285714285716;3924.285714285714;-402.1428571428572;6.478471327176568e-09
