idx_sel_plas_points;plasma_x;plasma_y;plasma_z;total_intensity_fraction
57592;-3893.1;4707.8;-268.7;1.9422249533036406e-06
57743;-3860.5;4657.0;-258.2;1.8230713896684888e-06
60794;-3922.7;4772.6;-247.8;1.0513925671692515e-05
60818;-3917.3;4764.2;-258.2;1.0467236620445419e-05
60844;-3911.8;4755.7;-247.8;1.660112649918999e-05
60867;-3906.4;4747.2;-268.7;5.4711375563328665e-06
60871;-3906.4;4747.2;-227.0;8.220899146938361e-06
60872;-3906.4;4747.2;-216.6;1.400487783594292e-06
60891;-3900.9;4738.7;-279.1;5.409831964016601e-06
60894;-3900.9;4738.7;-247.8;1.3546959730023018e-05
60919;-3895.5;4730.2;-247.8;1.3402980846168912e-05
60946;-3890.1;4721.8;-227.0;7.284652511275782e-06
60993;-3879.2;4704.8;-258.2;3.927754208867233e-06
60996;-3879.2;4704.8;-227.0;2.6115580985124778e-06
61020;-3873.7;4696.3;-237.4;3.2627611164131622e-06
61044;-3868.3;4687.9;-247.8;5.773367598433044e-06
61069;-3862.8;4679.4;-247.8;5.710371996089581e-06
61120;-3852.0;4662.4;-237.4;2.5094664387103696e-06
61167;-3841.1;4645.5;-268.7;5.520169223268853e-06
61168;-3841.1;4645.5;-258.2;6.143174455522387e-06
61218;-3830.2;4628.5;-258.2;6.015550761685742e-06
61244;-3824.7;4620.0;-247.8;2.3835047826620637e-06
61268;-3819.3;4611.6;-258.2;5.892611720122638e-06
61343;-3803.0;4586.1;-258.2;1.7315335471668986e-06
61367;-3797.5;4577.6;-268.7;1.1422307011751297e-06
61368;-3797.5;4577.6;-258.2;1.714297146711738e-06
64144;-3919.6;4786.6;-247.8;1.1580851177991823e-05
64145;-3919.6;4786.6;-237.4;1.5152726726823633e-05
64168;-3914.2;4778.1;-258.2;1.5664696697295417e-05
64169;-3914.2;4778.1;-247.8;1.4989296987169559e-05
64171;-3914.2;4778.1;-227.0;1.0003100045513388e-05
64193;-3908.8;4769.6;-258.2;1.6339137051228575e-05
64217;-3903.3;4761.1;-268.7;8.441863797956317e-06
64219;-3903.3;4761.1;-247.8;2.1127719880164197e-05
64221;-3903.3;4761.1;-227.0;1.0534593979851024e-05
64243;-3897.9;4752.7;-258.2;1.9558473414005603e-05
64246;-3897.9;4752.7;-227.0;1.2558862872842316e-05
64266;-3892.4;4744.2;-279.1;8.264272691211987e-06
64271;-3892.4;4744.2;-227.0;1.2429984818397319e-05
64292;-3887.0;4735.7;-268.7;1.2278332228173264e-05
64295;-3887.0;4735.7;-237.4;8.19840133731294e-06
64342;-3876.1;4718.8;-268.7;1.0100707412312219e-05
64366;-3870.6;4710.3;-279.1;3.386814413598383e-06
64371;-3870.6;4710.3;-227.0;5.963596441143062e-06
64419;-3859.8;4693.3;-247.8;9.80503661192748e-06
64442;-3854.3;4684.8;-268.7;9.697040255972223e-06
64467;-3848.9;4676.4;-268.7;7.645198134645791e-06
64493;-3843.4;4667.9;-258.2;7.667787638627413e-06
64542;-3832.5;4650.9;-268.7;1.1871830160027325e-05
64569;-3827.1;4642.5;-247.8;4.962064932246994e-06
64592;-3821.7;4634.0;-268.7;9.232389217361566e-06
64645;-3810.8;4617.0;-237.4;5.4630138793985655e-06
64693;-3799.9;4600.1;-258.2;7.134547501680763e-06
64745;-3789.0;4583.1;-237.4;2.3218187093705476e-06
64789;-3778.1;4566.2;-299.9;1.15100254306757e-06
64816;-3772.7;4557.7;-279.1;3.422233620398249e-06
64841;-3767.2;4549.2;-279.1;4.517021600608708e-06
64867;-3761.8;4540.7;-268.7;5.594933369511415e-06
64941;-3745.5;4515.3;-279.1;3.256734324170514e-06
65044;-3723.7;4481.4;-247.8;1.583431401357673e-06
67519;-3911.1;4792.1;-247.8;1.8353911243024334e-05
67521;-3911.1;4792.1;-227.0;1.0370964153379104e-05
67543;-3905.7;4783.6;-258.2;2.236861921237403e-05
67544;-3905.7;4783.6;-247.8;1.9560631284440445e-05
67566;-3900.2;4775.1;-279.1;9.318737092677314e-06
67569;-3900.2;4775.1;-247.8;2.2465464256029012e-05
67571;-3900.2;4775.1;-227.0;1.1560427257469504e-05
67592;-3894.8;4766.6;-268.7;1.142063333538016e-05
67619;-3889.3;4758.1;-247.8;2.830202147417774e-05
67643;-3883.9;4749.7;-258.2;1.9679180810770767e-05
67646;-3883.9;4749.7;-227.0;1.6829385182931084e-05
67669;-3878.5;4741.2;-247.8;2.774423796911152e-05
67670;-3878.5;4741.2;-237.4;1.110198174596781e-05
67672;-3878.5;4741.2;-216.6;4.999888593793053e-06
67692;-3873.0;4732.7;-268.7;1.6460083952884258e-05
67693;-3873.0;4732.7;-258.2;1.6470222617075598e-05
67716;-3867.6;4724.2;-279.1;4.875106615342077e-06
67717;-3867.6;4724.2;-268.7;1.4358850739445081e-05
67819;-3845.8;4690.3;-247.8;1.3811692150538231e-05
67822;-3845.8;4690.3;-216.6;1.9352554745763026e-06
67843;-3840.4;4681.8;-258.2;1.1802892151079554e-05
67844;-3840.4;4681.8;-247.8;1.1807799226634818e-05
67869;-3834.9;4673.4;-247.8;1.1693741490858317e-05
67891;-3829.5;4664.9;-279.1;7.707588844460775e-06
67892;-3829.5;4664.9;-268.7;1.6043821897513612e-05
67942;-3818.6;4647.9;-268.7;1.6448816177045174e-05
67965;-3813.1;4639.5;-289.5;7.4777678623027434e-06
67967;-3813.1;4639.5;-268.7;1.2512061980254169e-05
67968;-3813.1;4639.5;-258.2;1.8727668735598766e-05
67992;-3807.7;4631.0;-268.7;9.337759973287032e-06
68019;-3802.3;4622.5;-247.8;6.169520236550043e-06
68068;-3791.4;4605.5;-258.2;1.2095077184036904e-05
68094;-3785.9;4597.1;-247.8;4.765581311475266e-06
68095;-3785.9;4597.1;-237.4;6.546571067191626e-06
68118;-3780.5;4588.6;-258.2;8.894381243328458e-06
68168;-3769.6;4571.6;-258.2;7.038091590583658e-06
68214;-3758.7;4554.7;-299.9;4.591510646343834e-06
68291;-3742.4;4529.2;-279.1;5.64034913046021e-06
68342;-3731.5;4512.3;-268.7;8.290056710170733e-06
68393;-3720.6;4495.3;-258.2;3.2538465476331017e-06
68417;-3715.2;4486.9;-268.7;5.896615019675689e-06
68444;-3709.7;4478.4;-247.8;3.713371848564929e-06
68468;-3704.3;4469.9;-258.2;1.6007521715495273e-06
68515;-3693.4;4453.0;-289.5;3.6438176470161215e-06
68542;-3687.9;4444.5;-268.7;3.099999412295029e-06
68566;-3682.5;4436.0;-279.1;5.115396940804327e-06
68716;-3649.8;4385.1;-279.1;1.952299256646865e-06
68741;-3644.4;4376.7;-279.1;1.9359481095983537e-06
70916;-3897.2;4789.0;-279.1;1.02163035767589e-05
70943;-3891.7;4780.6;-258.2;3.202185893502896e-05
