idx;x [m];y [m];z [m];Reff [m]
0;-4.0815;4.6826;-0.4458;NaN
1;-4.0815;4.6826;-0.4291;NaN
2;-4.0815;4.6826;-0.4124;NaN
3;-4.0815;4.6826;-0.3958;NaN
4;-4.0815;4.6826;-0.3791;NaN
5;-4.0815;4.6826;-0.3624;NaN
6;-4.0815;4.6826;-0.3458;NaN
7;-4.0815;4.6826;-0.3291;NaN
8;-4.0815;4.6826;-0.3124;NaN
9;-4.0815;4.6826;-0.2958;NaN
10;-4.0815;4.6826;-0.2791;NaN
11;-4.0815;4.6826;-0.2624;NaN
12;-4.0815;4.6826;-0.2458;NaN
13;-4.0815;4.6826;-0.2291;NaN
14;-4.0815;4.6826;-0.2124;NaN
15;-4.0815;4.6826;-0.1958;NaN
16;-4.0733;4.6699;-0.4458;NaN
17;-4.0733;4.6699;-0.4291;NaN
18;-4.0733;4.6699;-0.4124;NaN
19;-4.0733;4.6699;-0.3958;NaN
20;-4.0733;4.6699;-0.3791;NaN
21;-4.0733;4.6699;-0.3624;NaN
22;-4.0733;4.6699;-0.3458;NaN
23;-4.0733;4.6699;-0.3291;NaN
24;-4.0733;4.6699;-0.3124;NaN
25;-4.0733;4.6699;-0.2958;NaN
26;-4.0733;4.6699;-0.2791;NaN
27;-4.0733;4.6699;-0.2624;NaN
28;-4.0733;4.6699;-0.2458;NaN
29;-4.0733;4.6699;-0.2291;NaN
30;-4.0733;4.6699;-0.2124;NaN
31;-4.0733;4.6699;-0.1958;NaN
32;-4.0652;4.6571;-0.4458;NaN
33;-4.0652;4.6571;-0.4291;NaN
34;-4.0652;4.6571;-0.4124;NaN
35;-4.0652;4.6571;-0.3958;NaN
36;-4.0652;4.6571;-0.3791;NaN
37;-4.0652;4.6571;-0.3624;NaN
38;-4.0652;4.6571;-0.3458;NaN
39;-4.0652;4.6571;-0.3291;NaN
40;-4.0652;4.6571;-0.3124;NaN
41;-4.0652;4.6571;-0.2958;NaN
42;-4.0652;4.6571;-0.2791;NaN
43;-4.0652;4.6571;-0.2624;NaN
44;-4.0652;4.6571;-0.2458;NaN
45;-4.0652;4.6571;-0.2291;NaN
46;-4.0652;4.6571;-0.2124;NaN
47;-4.0652;4.6571;-0.1958;NaN
48;-4.057;4.6443;-0.4458;NaN
49;-4.057;4.6443;-0.4291;NaN
50;-4.057;4.6443;-0.4124;NaN
51;-4.057;4.6443;-0.3958;NaN
52;-4.057;4.6443;-0.3791;NaN
53;-4.057;4.6443;-0.3624;NaN
54;-4.057;4.6443;-0.3458;NaN
55;-4.057;4.6443;-0.3291;NaN
56;-4.057;4.6443;-0.3124;NaN
57;-4.057;4.6443;-0.2958;NaN
58;-4.057;4.6443;-0.2791;NaN
59;-4.057;4.6443;-0.2624;NaN
60;-4.057;4.6443;-0.2458;NaN
61;-4.057;4.6443;-0.2291;NaN
62;-4.057;4.6443;-0.2124;NaN
63;-4.057;4.6443;-0.1958;NaN
64;-4.0488;4.6316;-0.4458;NaN
65;-4.0488;4.6316;-0.4291;NaN
66;-4.0488;4.6316;-0.4124;NaN
67;-4.0488;4.6316;-0.3958;NaN
68;-4.0488;4.6316;-0.3791;NaN
69;-4.0488;4.6316;-0.3624;NaN
70;-4.0488;4.6316;-0.3458;NaN
71;-4.0488;4.6316;-0.3291;NaN
72;-4.0488;4.6316;-0.3124;NaN
73;-4.0488;4.6316;-0.2958;NaN
74;-4.0488;4.6316;-0.2791;NaN
75;-4.0488;4.6316;-0.2624;NaN
76;-4.0488;4.6316;-0.2458;NaN
77;-4.0488;4.6316;-0.2291;NaN
78;-4.0488;4.6316;-0.2124;NaN
79;-4.0488;4.6316;-0.1958;NaN
80;-4.0406;4.6188;-0.4458;NaN
81;-4.0406;4.6188;-0.4291;NaN
82;-4.0406;4.6188;-0.4124;NaN
83;-4.0406;4.6188;-0.3958;NaN
84;-4.0406;4.6188;-0.3791;NaN
85;-4.0406;4.6188;-0.3624;NaN
86;-4.0406;4.6188;-0.3458;NaN
87;-4.0406;4.6188;-0.3291;NaN
88;-4.0406;4.6188;-0.3124;NaN
89;-4.0406;4.6188;-0.2958;NaN
90;-4.0406;4.6188;-0.2791;NaN
91;-4.0406;4.6188;-0.2624;NaN
92;-4.0406;4.6188;-0.2458;NaN
93;-4.0406;4.6188;-0.2291;NaN
94;-4.0406;4.6188;-0.2124;NaN
95;-4.0406;4.6188;-0.1958;NaN
96;-4.0324;4.606;-0.4458;NaN
97;-4.0324;4.606;-0.4291;NaN
98;-4.0324;4.606;-0.4124;NaN
99;-4.0324;4.606;-0.3958;NaN
100;-4.0324;4.606;-0.3791;NaN
101;-4.0324;4.606;-0.3624;NaN
102;-4.0324;4.606;-0.3458;NaN
103;-4.0324;4.606;-0.3291;NaN
104;-4.0324;4.606;-0.3124;NaN
105;-4.0324;4.606;-0.2958;NaN
106;-4.0324;4.606;-0.2791;NaN
107;-4.0324;4.606;-0.2624;NaN
108;-4.0324;4.606;-0.2458;NaN
109;-4.0324;4.606;-0.2291;NaN
110;-4.0324;4.606;-0.2124;NaN
111;-4.0324;4.606;-0.1958;NaN
112;-4.0242;4.5933;-0.4458;NaN
113;-4.0242;4.5933;-0.4291;NaN
114;-4.0242;4.5933;-0.4124;NaN
115;-4.0242;4.5933;-0.3958;NaN
116;-4.0242;4.5933;-0.3791;NaN
117;-4.0242;4.5933;-0.3624;NaN
118;-4.0242;4.5933;-0.3458;NaN
119;-4.0242;4.5933;-0.3291;NaN
120;-4.0242;4.5933;-0.3124;NaN
121;-4.0242;4.5933;-0.2958;NaN
122;-4.0242;4.5933;-0.2791;NaN
123;-4.0242;4.5933;-0.2624;NaN
124;-4.0242;4.5933;-0.2458;NaN
125;-4.0242;4.5933;-0.2291;NaN
126;-4.0242;4.5933;-0.2124;NaN
127;-4.0242;4.5933;-0.1958;NaN
128;-4.016;4.5805;-0.4458;NaN
129;-4.016;4.5805;-0.4291;NaN
130;-4.016;4.5805;-0.4124;NaN
131;-4.016;4.5805;-0.3958;NaN
132;-4.016;4.5805;-0.3791;NaN
133;-4.016;4.5805;-0.3624;NaN
134;-4.016;4.5805;-0.3458;NaN
135;-4.016;4.5805;-0.3291;NaN
136;-4.016;4.5805;-0.3124;NaN
137;-4.016;4.5805;-0.2958;NaN
138;-4.016;4.5805;-0.2791;NaN
139;-4.016;4.5805;-0.2624;NaN
140;-4.016;4.5805;-0.2458;NaN
141;-4.016;4.5805;-0.2291;NaN
142;-4.016;4.5805;-0.2124;NaN
143;-4.016;4.5805;-0.1958;NaN
144;-4.0078;4.5677;-0.4458;NaN
145;-4.0078;4.5677;-0.4291;NaN
146;-4.0078;4.5677;-0.4124;NaN
147;-4.0078;4.5677;-0.3958;NaN
148;-4.0078;4.5677;-0.3791;NaN
149;-4.0078;4.5677;-0.3624;NaN
150;-4.0078;4.5677;-0.3458;NaN
151;-4.0078;4.5677;-0.3291;NaN
152;-4.0078;4.5677;-0.3124;NaN
153;-4.0078;4.5677;-0.2958;NaN
154;-4.0078;4.5677;-0.2791;NaN
155;-4.0078;4.5677;-0.2624;NaN
156;-4.0078;4.5677;-0.2458;NaN
157;-4.0078;4.5677;-0.2291;NaN
158;-4.0078;4.5677;-0.2124;0.534
159;-4.0078;4.5677;-0.1958;0.525
160;-3.9996;4.555;-0.4458;NaN
161;-3.9996;4.555;-0.4291;NaN
162;-3.9996;4.555;-0.4124;NaN
163;-3.9996;4.555;-0.3958;NaN
164;-3.9996;4.555;-0.3791;NaN
165;-3.9996;4.555;-0.3624;NaN
166;-3.9996;4.555;-0.3458;NaN
167;-3.9996;4.555;-0.3291;NaN
168;-3.9996;4.555;-0.3124;NaN
169;-3.9996;4.555;-0.2958;NaN
170;-3.9996;4.555;-0.2791;NaN
171;-3.9996;4.555;-0.2624;0.537
172;-3.9996;4.555;-0.2458;0.527
173;-3.9996;4.555;-0.2291;0.517
174;-3.9996;4.555;-0.2124;0.508
175;-3.9996;4.555;-0.1958;0.499
176;-3.9914;4.5422;-0.4458;NaN
177;-3.9914;4.5422;-0.4291;NaN
178;-3.9914;4.5422;-0.4124;NaN
179;-3.9914;4.5422;-0.3958;NaN
180;-3.9914;4.5422;-0.3791;NaN
181;-3.9914;4.5422;-0.3624;NaN
182;-3.9914;4.5422;-0.3458;NaN
183;-3.9914;4.5422;-0.3291;NaN
184;-3.9914;4.5422;-0.3124;NaN
185;-3.9914;4.5422;-0.2958;0.533
186;-3.9914;4.5422;-0.2791;0.522
187;-3.9914;4.5422;-0.2624;0.512
188;-3.9914;4.5422;-0.2458;0.501
