# s, n_e, T_e
0.000000000000000000e+00 8.022982609372860938e+13 2.496388266383823940e+00
1.212121212121212120e-02 7.953542857940185938e+13 2.385733837685819925e+00
2.424242424242424240e-02 7.882321673952070312e+13 2.263827415386329367e+00
3.636363636363636187e-02 7.810240351129110938e+13 2.137502956355708861e+00
4.848484848484848481e-02 7.738156838874057812e+13 2.015068201560247019e+00
6.060606060606060774e-02 7.666819528310460938e+13 1.901292771120606018e+00
7.272727272727272374e-02 7.596783410770520312e+13 1.796730802890914358e+00
8.484848484848485362e-02 7.528456573915893750e+13 1.700365564456207235e+00
9.696969696969696961e-02 7.462135955348789062e+13 1.611052973830405799e+00
1.090909090909090856e-01 7.397975492926756250e+13 1.527800781201236857e+00
1.212121212121212155e-01 7.335999487223428125e+13 1.449875172557424152e+00
1.333333333333333315e-01 7.276132107655042188e+13 1.376727093191794316e+00
1.454545454545454475e-01 7.218429572358812500e+13 1.308324780954244648e+00
1.575757575757575635e-01 7.162704233388315625e+13 1.244232172070012243e+00
1.696969696969697072e-01 7.108810627537996875e+13 1.184173696439218215e+00
1.818181818181818232e-01 7.056645047065356250e+13 1.128011651689257100e+00
1.939393939393939392e-01 7.006075106842437500e+13 1.075573398056128616e+00
2.060606060606060552e-01 6.956827075093110938e+13 1.026364840581195148e+00
2.181818181818181712e-01 6.908969215894370312e+13 9.807656885194646623e-01
2.303030303030303150e-01 6.862230244278905469e+13 9.382894254525184774e-01
2.424242424242424310e-01 6.816468279651418750e+13 8.987414162247759908e-01
2.545454545454545192e-01 6.771589229787302344e+13 8.620263028157277851e-01
2.666666666666666630e-01 6.727569812628992969e+13 8.282587015611564407e-01
2.787878787878788067e-01 6.684266734112511719e+13 7.970811716699518490e-01
2.909090909090908950e-01 6.641579169161878125e+13 7.682028776941618453e-01
3.030303030303030387e-01 6.599442837545614844e+13 7.414147840429724523e-01
3.151515151515151270e-01 6.557800673503385156e+13 7.165018291987194088e-01
3.272727272727272707e-01 6.516602670868276562e+13 6.932564031526483594e-01
3.393939393939394145e-01 6.475805586933742188e+13 6.714887703750174186e-01
3.515151515151515027e-01 6.435372540183318750e+13 6.510328820000599315e-01
3.636363636363636465e-01 6.395272534065552344e+13 6.317476762962691561e-01
3.757575757575757347e-01 6.355479935141668750e+13 6.135150254342877085e-01
3.878787878787878785e-01 6.315973929510559375e+13 5.962357925491930111e-01
4.000000000000000222e-01 6.276737976763037500e+13 5.798252427203740567e-01
4.121212121212121104e-01 6.237759276137725781e+13 5.642086330546834949e-01
4.242424242424242542e-01 6.199028255305822656e+13 5.493174268305611729e-01
4.363636363636363424e-01 6.160538088503349219e+13 5.350863286989134826e-01
4.484848484848484862e-01 6.122284247701191406e+13 5.214512096998601409e-01
4.606060606060606299e-01 6.084264088236889062e+13 5.083479194836630910e-01
4.727272727272727182e-01 6.046476468849241406e+13 4.957119043047332752e-01
4.848484848484848619e-01 6.008942963986194531e+13 4.835072938252924502e-01
4.969696969696969502e-01 5.971672474786035156e+13 4.716547348779384086e-01
5.090909090909090384e-01 5.934646678553928125e+13 4.600506599026641386e-01
5.212121212121212377e-01 5.897868962724957812e+13 4.486335890258746351e-01
5.333333333333333259e-01 5.861342841620982031e+13 4.373495917953983958e-01
5.454545454545454142e-01 5.825071734650878125e+13 4.261528274303027497e-01
5.575757575757576134e-01 5.789092595380114844e+13 4.150063774906675995e-01
5.696969696969697017e-01 5.753438345229683594e+13 4.038715736547293655e-01
5.818181818181817899e-01 5.718064081561471875e+13 3.927305940216853641e-01
5.939393939393939892e-01 5.682972873215435938e+13 3.815801486559095013e-01
6.060606060606060774e-01 5.648166922024028906e+13 3.704207429847000133e-01
6.181818181818181657e-01 5.613740785128371875e+13 3.592615160214033820e-01
6.303030303030302539e-01 5.579661008720886719e+13 3.481242974019190251e-01
6.424242424242424532e-01 5.545889317302772656e+13 3.370226218043803623e-01
6.545454545454545414e-01 5.512425085314514062e+13 3.259679286096152651e-01
6.666666666666666297e-01 5.479380722097961719e+13 3.150024389691969406e-01
6.787878787878788289e-01 5.446723950813739062e+13 3.041457153446461281e-01
