!      r     n_20m3_e      T_keV_e      T_keV_H
0.000000000000000000e+00 1.544891591802103781e+00 1.218313895345167097e+00 1.262287679397537499e+00
5.300000000000000544e-02 1.500475568873935961e+00 1.186559338327439317e+00 1.252195363438480813e+00
7.495331880577403572e-02 1.456007910282603346e+00 1.157758268839144344e+00 1.241233283383824437e+00
9.179869280115050822e-02 1.411816683050277188e+00 1.130713893576812401e+00 1.229882377652337100e+00
1.060000000000000109e-01 1.368166953087540216e+00 1.105009896940231995e+00 1.218354409002312178e+00
1.185116028074888611e-01 1.325309622913040775e+00 1.080494438162063586e+00 1.206608313178695768e+00
1.298229563675084297e-01 1.283425656065223963e+00 1.057022431072571100e+00 1.194399667596987236e+00
1.402248194864233188e-01 1.242649579223582545e+00 1.034494557644224821e+00 1.181452830055729653e+00
1.499066376115480714e-01 1.203099160689005354e+00 1.012854698893540961e+00 1.167581379427906851e+00
1.590000000000000024e-01 1.164883300816484946e+00 9.920792712771381305e-01 1.152720267263075637e+00
1.676007159889241205e-01 1.128075048106037093e+00 9.721471913282357935e-01 1.136914726447326940e+00
1.757811138888361879e-01 1.092710595899945236e+00 9.530312646260836740e-01 1.120265130302874779e+00
1.835973856023010164e-01 1.058791163163754989e+00 9.346913746049899663e-01 1.102883398023205785e+00
1.910942175995914705e-01 1.026287387811210872e+00 9.170729169350317900e-01 1.084872692779506709e+00
1.983078414990189220e-01 9.952006445760590569e-01 9.001353495031022556e-01 1.066303169490629976e+00
2.052681173489931121e-01 9.655982321314893202e-01 8.838572835494229452e-01 1.047216493314576891e+00
2.120000000000000218e-01 9.372548862383579538e-01 8.680937449510860437e-01 1.027736436792635155e+00
2.185245981577360330e-01 9.103967862993397331e-01 8.528761154332477057e-01 1.007845341051209820e+00
2.248599564173221210e-01 8.847035118141441945e-01 8.380381292748246835e-01 9.876712102790977665e-01
2.310216440076557076e-01 8.603462030564762442e-01 8.235812409274645418e-01 9.672163512669598173e-01
2.370232056149777222e-01 8.371423484462676701e-01 8.094074196800424836e-01 9.465582655580816462e-01
2.428765118326595418e-01 8.150063744741128380e-01 7.954596345397531021e-01 9.257462382044983062e-01
2.485920352706417757e-01 7.940856269891533037e-01 7.817303732260525440e-01 9.048038718954966031e-01
2.541790707355741641e-01 7.741507343348751347e-01 7.681537782086822475e-01 8.837946116450713374e-01
2.596459127350168594e-01 7.551591041060773390e-01 7.547098539897959535e-01 8.627563758454103171e-01
2.650000000000000133e-01 7.370731120683773341e-01 7.413871116780933468e-01 8.417271331478636265e-01
2.702480342204176544e-01 7.199690146681454461e-01 7.281970459788094097e-01 8.207582932424323241e-01
2.753960784034515386e-01 7.036781047571876169e-01 7.151244604158553120e-01 7.998876764686180252e-01
2.804496389728466377e-01 6.881634749697593811e-01 7.021747946602644452e-01 7.791579189649776582e-01
2.854137347781287026e-01 6.733888986501159746e-01 6.893551022390276284e-01 7.586137222734831154e-01
2.902929554777380350e-01 6.593190322347481924e-01 6.766726853650920637e-01 7.383015765851006496e-01
2.950915112299911658e-01 6.459195774907985355e-01 6.641340874312858800e-01 7.182691607699792646e-01
2.998132752230961429e-01 6.331574065833455167e-01 6.517444831012882966e-01 6.985644423760311028e-01
3.044618202665155260e-01 6.210006533517418159e-01 6.395074293211479022e-01 6.792345392893405220e-01
3.090404504268009500e-01 6.094187744229626613e-01 6.274248933900918868e-01 6.603244350637794691e-01
3.135522285042796620e-01 5.983825838980484368e-01 6.154974584157493211e-01 6.418756580308917492e-01
3.180000000000000049e-01 5.878642653385965922e-01 6.037246146661968682e-01 6.239250381393308675e-01
3.223864141058056521e-01 5.778373646757166693e-01 5.921050666951680475e-01 6.065036451848578869e-01
3.267139421573557745e-01 5.682767674856258333e-01 5.806370110051617406e-01 5.896359898930063625e-01
3.309848939151151526e-01 5.591586638429166811e-01 5.693183611206751316e-01 5.733395390541023984e-01
3.352014319778482410e-01 5.504605036925535044e-01 5.581469134236795027e-01 5.576245623489027858e-01
3.393655845839410046e-01 5.421609453893790898e-01 5.471204575930845859e-01 5.424942964723681316e-01
3.434792570156166014e-01 5.342397997508084861e-01 5.362368409577046302e-01 5.279453857331061206e-01
3.475442417880060253e-01 5.266779716650037413e-01 5.254939979151068696e-01 5.139685401496358885e-01
3.515622277776723759e-01 5.194574009999896047e-01 5.148899551168326649e-01 5.005493431474090649e-01
3.555348084224665972e-01 5.125610042735466720e-01 5.044228214456989434e-01 4.876691406204954338e-01
3.594634891056392445e-01 5.059726182732918742e-01 4.940907697056802772e-01 4.753059494755433878e-01
3.633496938212553706e-01 4.996769465628929652e-01 4.838920149548712191e-01 4.634353343570153383e-01
3.671947712046020329e-01 4.936595095745774375e-01 4.738247928498592332e-01 4.520312136638554579e-01
3.709999999999999964e-01 4.879065987702672635e-01 4.638873403091410830e-01 4.410665683925832914e-01
