#################################################################
# created:  08-Jul-2020 10:59:03
# --------------------------------------------------------------
# program:       20181011.012
# PP:            143603
# UTC:           1539249569422392576 - 1539249584522392576
# name:          P6_4.5_3.5_2.5MW_NBI_20ms_5Hz_FB
# description:   
# sessionInfo:   
# comment:       Impurity transport at high-n X2
# tags:      1 - Fuelling: DCH: H2 [5, 5, 5, 5, 5]ms [BG011, BG015] FeedForward
#            2 - Fuelling: DCH: H2 5901ms [BG011] DensityCtrl
#            3 - Fuelling: DCH: H2 57ms [BG015] FlowCtrl
#            4 - Fuelling: DCH: Ar 2ms [BG023] FeedForward
#            5 - Heating: CDA: 3600.0kW
#            6 - Heating: CDA: 2.0159999999999316MJ
#            7 - Heating: CDA: 5.599998999999997s
#            8 - Heating: CDA: 
#            9 - Heating: CDA: 
#           10 - Magnetic field: ACM: 
#           11 - Diagnostics: DBB: 
#           12 - Diagnostics: DBB: 
#           13 - Diagnostics: DBB: 
#           14 - Diagnostics: DBB: 
#           15 - Diagnostics: DBB: 
#           16 - Heating: CBG: 4500.0kW
#           17 - Heating: CBG: 20.165534999999995MJ
#           18 - Heating: CBG: 6.0002s
#           19 - Heating: CBG: X2-mode
#           20 - Heating: CBG: 
#           21 - Heating: CBG: 
#           22 - Heating: CBG: 
#           23 - Heating: CBG: 
#           24 - Heating: CBG: 
#           25 - Heating: CBG: 
#           26 - Heating: CBG: 
#           27 - Heating: CBG: 
#           28 - Magnetic field: AAQ: 
#           29 - Experiment: : Physics
#           30 - Experiment: : Olaf Grulke
#           31 - Experiment: : S65
#           32 - Experiment: : Yevgen Kazakov
#           33 - Experiment: : Arturo Alonso
#           34 - Experiment: : anla_008
#           35 - Experiment: : anla_009
#           36 - Experiment: : rjose_001
#           37 - Experiment: : twegner_004
#           38 - Fuelling: QSQ: Ar
#           39 - Fuelling: QSQ: H2
#           40 - Magnetic field: AAE: KJM+252
#           41 - Magnetic field: AAE: 2-AA78-T1109
#           42 - Diagnostics: QSL Laser Blow-Off: Fe(Ti)
# 
# result:   ok
# 
# --------------------------------------------------------------
# timeSlice/ref:    /53
# version (status):  (4.1)
# logbook:          https://w7x-logbook.ipp-hgw.mpg.de/log.html?id=XP_20181011.12
# requested by:     birger.buttenschoen@ipp.mpg.de
# processed by:     dinklage@ipp.mpg.de
# contributors:     (1) - geiger@ipp.mpg.de: equilibrium
# contributors:     (2) - golo.fuchert@ipp.mpg.de: TS
# contributors:     (3) - npablant@pppl.gov: XICS
# contributors:     (4) - oliver.ford@ipp.mpg.de: CXRS
# contributors:     (5) - dinklage@ipp.mpg.de: TS
# contributors:     (6) - dinklage@ipp.mpg.de: TS and Zeff
# contributors:     (7) - dinklage@ipp.mpg.de: TS and Zeff and CXRS
# contributors:     (9) - dinklage@ipp.mpg.de: fit to data
# contributors:     (12) - dinklage@ipp.mpg.de: calculated from ne fit and Zeff
# contributors:     (13) - dinklage@ipp.mpg.de: n_e and T_e fits
# contributors:     (14) - dinklage@ipp.mpg.de: n_i and T_i fits
# contributors:     (15) - dinklage@ipp.mpg.de: p_e and p_i fits
# contributors:     (16) - hakan.smith@ipp.mpg.de, dinklage@ipp.mpg.de: Hakan
# contributors:     (17) - yurij.turkin@ipp.mpg.de, dinklage@ipp.mpg.de: NTSS
# contributors:     (18) - kian.rahbarnia@ipp.mpg.de: WDIA
# contributors:     (19) - torsten.stange@ipp.mpg.de, heinrich.laqua@ipp.mpg.de: P_ECRH
# contributors:     (20) - knauer@ipp.mpg.de, jakob.brunner@ipp.mpg.de: IF
# contributors:     (21) - ulrich.neuner@ipp.mpg.de: IP
# contributors:     (22) - andreas.pavone@ipp.mpg.de: ZEFF
# contributors:     (23) - udo.hoefel@ipp.mpg.de, hirsch@ipp.mpg.de: ECE
# 
# configID:         339
# 
# parameters:   1 - densityCorrectionFactor: 1.2360
#               2 - ThomsonVersion: 10.0000
#               3 - LaserID: 3.0000
#               4 - Z: 1.0000
#               5 - Zimp: 6.0000
#               6 - a: 0.4980
#               7 - R: 5.4940
#               8 - B: 2.6552
#               9 - iota23: 0.8973
#              10 - iotaa: 0.9644
#              11 - kappa: 5.1417
#              12 - betaTotal: 0.0069
#              13 - betaPeaking: 3.0486
#              14 - mirrorRatio: 0.0965
# 
# results:      1 - Zeff: 1.81031
#               2 - nc: 0.83791
#               3 - neL: 8.086910^{19} m^{-2}
#               4 - Wdia: 397.9138kJ
#               5 - PECH: 2478.0970kW
#               6 - Te0: 1.8687keV
#               7 - Ti0: 1.0942keV
#               8 - ne0: 7.034110^{19} m^{-3}
#               9 - Ip: -0.3171kA
#              10 - tauLRp: 2.7038s
#              11 - tauLRZ: 2.7038s
#              12 - tauLR: 2.7038s
#              13 - IBCp: -1.1848kA
#              14 - IBCp: -1.1848kA
#              15 - IBC: -1.1848kA
#              16 - neLTS: 7.873610^{19} m^{-2}
#              17 - Wkin: 330.5180kJ
#              18 - tauE: 0.1606s
#              19 - |ne|L: 6.2207m^{-3}
#              20 - tauEISS04: 0.2392s
# 
# fit:          1 - T_i (CXRS/CXRS&TS) fitted with GP06 (params: 0.35        0.17)
#               2 - T_e (TS) fitted with GP06 (params: 0.37           4)
#               3 - n_e (TS) fitted with GP08 (params: 0.65)
#               4 - n_i (TS) fitted with asForNeCorrectedForZeff (params: )
#               5 - p_e () fitted with n_e*T_e (params: )
#               6 - p_i () fitted with n_i*T_i (params: )
#               7 - p () fitted with p_e+p_i (params: )
# 
# --------------------------------------------------------------
#  Profile 1: T_e (keV)
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              5.5000s
#  data time:         5.4862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number T_e/keV  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 1.99926410 0.22318417 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 1.94713600 0.14236580 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 2.17763970 0.15636353 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 1.62673340 0.10546828 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 1.39026940 0.14511034 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 1.08631320 0.12005170 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 0.71147810 0.05600362 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 0.69947463 0.05321171 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 0.46621463 0.03311850 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 0.39900312 0.03101139 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 0.37716500 0.03513451 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 0.23294103 0.02246584 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 0.13545746 0.01170703 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 0.03038974 0.00436440 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.01073533 0.00194256 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.00000000 0.00000000 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 1.98976650 0.11292477 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 2.07379300 0.12905154 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 1.92716730 0.13694578 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 1.61248230 0.15593529 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 1.23354260 0.10905845 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 3.16174960 0.75680614 NaN   0 NaN NaN NaN 
1025.00000000 NaN NaN 0.77291400 0.07657975 NaN   0 NaN NaN NaN 
1026.00000000 NaN NaN 0.91585180 0.09378462 NaN   0 NaN NaN NaN 
1035.00000000 NaN NaN 0.57470983 0.15180520 NaN   0 NaN NaN NaN 
1036.00000000 NaN NaN 0.63493360 0.15017463 NaN   0 NaN NaN NaN 
1041.00000000 NaN NaN 0.47839210 0.04945989 NaN   0 NaN NaN NaN 
1042.00000000 NaN NaN 0.49764964 0.07112431 NaN   0 NaN NaN NaN 
1045.00000000 NaN NaN 0.42629504 0.06716811 NaN   0 NaN NaN NaN 
1046.00000000 NaN NaN 0.34530276 0.05356899 NaN   0 NaN NaN NaN 
1053.00000000 NaN NaN 0.49798352 0.06469803 NaN   0 NaN NaN NaN 
1054.00000000 NaN NaN 0.28726935 0.04830990 NaN   0 NaN NaN NaN 
1057.00000000 NaN NaN 0.19764328 0.04154652 NaN   0 NaN NaN NaN 
1058.00000000 NaN NaN 0.17498238 0.05591547 NaN   0 NaN NaN NaN 
1063.00000000 NaN NaN 0.15603694 0.02211707 NaN   0 NaN NaN NaN 
1064.00000000 NaN NaN 0.16997078 0.05507777 NaN   0 NaN NaN NaN 
1069.00000000 NaN NaN 0.09134374 0.01638494 NaN   0 NaN NaN NaN 
1070.00000000 NaN NaN 0.03504927 0.00975891 NaN   0 NaN NaN NaN 
1073.00000000 NaN NaN 0.02477028 0.01048089 NaN   0 NaN NaN NaN 
1074.00000000 NaN NaN 0.02467031 0.00390919 NaN   0 NaN NaN NaN 
1075.00000000 NaN NaN 0.02187386 0.01230829 NaN   0 NaN NaN NaN 
1076.00000000 NaN NaN 0.00990838 0.00402218 NaN   0 NaN NaN NaN 
# --------------------------------------------------------------
#  Profile 2: n_e (10^{19}m^{-3})
#  TS (raw) golo.fuchert@ipp.mpg.de
#  time:              5.5000s
#  data time:         5.4862s
#  number of slices:  1
#  parameter:         version: 10
#                     laser id: 3
# channel number/1 dx  sx  channel number n_e/10^{19}m^{-3}  dy    sy outlier outside HFS upperHalf
1.00000000 NaN NaN 5.41552100 0.29695722 NaN   0 NaN NaN NaN 
2.00000000 NaN NaN 4.87278840 0.23367774 NaN   0 NaN NaN NaN 
3.00000000 NaN NaN 4.89244500 0.25588349 NaN   0 NaN NaN NaN 
4.00000000 NaN NaN 5.66192800 0.19255228 NaN   0 NaN NaN NaN 
5.00000000 NaN NaN 5.77189450 0.30171725 NaN   0 NaN NaN NaN 
6.00000000 NaN NaN 6.11302660 0.32494706 NaN   0 NaN NaN NaN 
7.00000000 NaN NaN 4.97436050 0.20309077 NaN   0 NaN NaN NaN 
8.00000000 NaN NaN 4.40246340 0.17339052 NaN   0 NaN NaN NaN 
9.00000000 NaN NaN 5.00974100 0.21271366 NaN   0 NaN NaN NaN 
10.00000000 NaN NaN 3.91714900 0.19668551 NaN   0 NaN NaN NaN 
11.00000000 NaN NaN 4.35377070 0.24901003 NaN   0 NaN NaN NaN 
12.00000000 NaN NaN 4.11639800 0.29134664 NaN   0 NaN NaN NaN 
13.00000000 NaN NaN 3.77922730 0.18386877 NaN   0 NaN NaN NaN 
14.00000000 NaN NaN 2.79130270 0.21985713 NaN   0 NaN NaN NaN 
15.00000000 NaN NaN 0.84727055 0.13971353 NaN   0 NaN NaN NaN 
16.00000000 NaN NaN 0.00000000 0.00000000 NaN   1 NaN NaN NaN 
1004.00000000 NaN NaN 5.77901300 0.21390880 NaN   0 NaN NaN NaN 
1005.00000000 NaN NaN 6.32516400 0.21252312 NaN   0 NaN NaN NaN 
1006.00000000 NaN NaN 6.01949800 0.23758139 NaN   0 NaN NaN NaN 
1016.00000000 NaN NaN 6.21678730 0.29295360 NaN   0 NaN NaN NaN 
1017.00000000 NaN NaN 5.89672300 0.31769332 NaN   0 NaN NaN NaN 
1018.00000000 NaN NaN 3.33259730 0.29227180 NaN   0 NaN NaN NaN 
