idx;x [m];y [m];z [m];Reff [m]
0;-4.0815;4.6826;-0.4458;NaN
1;-4.0815;4.6826;-0.41;NaN
2;-4.0815;4.6826;-0.3743;NaN
3;-4.0815;4.6826;-0.3386;NaN
4;-4.0815;4.6826;-0.3029;NaN
5;-4.0815;4.6826;-0.2672;NaN
6;-4.0815;4.6826;-0.2315;NaN
7;-4.0815;4.6826;-0.1958;NaN
8;-4.065;4.6568;-0.4458;NaN
9;-4.065;4.6568;-0.41;NaN
10;-4.065;4.6568;-0.3743;NaN
11;-4.065;4.6568;-0.3386;NaN
12;-4.065;4.6568;-0.3029;NaN
13;-4.065;4.6568;-0.2672;NaN
14;-4.065;4.6568;-0.2315;NaN
15;-4.065;4.6568;-0.1958;NaN
16;-4.0484;4.631;-0.4458;NaN
17;-4.0484;4.631;-0.41;NaN
18;-4.0484;4.631;-0.3743;NaN
19;-4.0484;4.631;-0.3386;NaN
20;-4.0484;4.631;-0.3029;NaN
21;-4.0484;4.631;-0.2672;NaN
22;-4.0484;4.631;-0.2315;NaN
23;-4.0484;4.631;-0.1958;NaN
24;-4.0318;4.6052;-0.4458;NaN
25;-4.0318;4.6052;-0.41;NaN
26;-4.0318;4.6052;-0.3743;NaN
27;-4.0318;4.6052;-0.3386;NaN
28;-4.0318;4.6052;-0.3029;NaN
29;-4.0318;4.6052;-0.2672;NaN
30;-4.0318;4.6052;-0.2315;NaN
31;-4.0318;4.6052;-0.1958;NaN
32;-4.0152;4.5794;-0.4458;NaN
33;-4.0152;4.5794;-0.41;NaN
34;-4.0152;4.5794;-0.3743;NaN
35;-4.0152;4.5794;-0.3386;NaN
36;-4.0152;4.5794;-0.3029;NaN
37;-4.0152;4.5794;-0.2672;NaN
38;-4.0152;4.5794;-0.2315;NaN
39;-4.0152;4.5794;-0.1958;NaN
40;-3.9987;4.5535;-0.4458;NaN
41;-3.9987;4.5535;-0.41;NaN
42;-3.9987;4.5535;-0.3743;NaN
43;-3.9987;4.5535;-0.3386;NaN
44;-3.9987;4.5535;-0.3029;NaN
45;-3.9987;4.5535;-0.2672;0.537
46;-3.9987;4.5535;-0.2315;0.516
47;-3.9987;4.5535;-0.1958;0.496
48;-3.9821;4.5277;-0.4458;NaN
49;-3.9821;4.5277;-0.41;NaN
50;-3.9821;4.5277;-0.3743;NaN
51;-3.9821;4.5277;-0.3386;0.534
52;-3.9821;4.5277;-0.3029;0.509
53;-3.9821;4.5277;-0.2672;0.485
54;-3.9821;4.5277;-0.2315;0.463
55;-3.9821;4.5277;-0.1958;0.442
56;-3.9655;4.5019;-0.4458;NaN
57;-3.9655;4.5019;-0.41;NaN
58;-3.9655;4.5019;-0.3743;0.51
59;-3.9655;4.5019;-0.3386;0.483
60;-3.9655;4.5019;-0.3029;0.457
61;-3.9655;4.5019;-0.2672;0.432
62;-3.9655;4.5019;-0.2315;0.409
63;-3.9655;4.5019;-0.1958;0.388
64;-3.9489;4.4761;-0.4458;0.52
65;-3.9489;4.4761;-0.41;0.489
66;-3.9489;4.4761;-0.3743;0.46
67;-3.9489;4.4761;-0.3386;0.431
68;-3.9489;4.4761;-0.3029;0.404
69;-3.9489;4.4761;-0.2672;0.379
70;-3.9489;4.4761;-0.2315;0.355
71;-3.9489;4.4761;-0.1958;0.335
72;-3.9323;4.4503;-0.4458;0.472
73;-3.9323;4.4503;-0.41;0.44
74;-3.9323;4.4503;-0.3743;0.409
75;-3.9323;4.4503;-0.3386;0.38
76;-3.9323;4.4503;-0.3029;0.352
77;-3.9323;4.4503;-0.2672;0.326
78;-3.9323;4.4503;-0.2315;0.303
79;-3.9323;4.4503;-0.1958;0.283
80;-3.9158;4.4244;-0.4458;0.424
81;-3.9158;4.4244;-0.41;0.391
82;-3.9158;4.4244;-0.3743;0.359
83;-3.9158;4.4244;-0.3386;0.329
84;-3.9158;4.4244;-0.3029;0.301
85;-3.9158;4.4244;-0.2672;0.275
86;-3.9158;4.4244;-0.2315;0.252
87;-3.9158;4.4244;-0.1958;0.233
88;-3.8992;4.3986;-0.4458;0.377
89;-3.8992;4.3986;-0.41;0.343
90;-3.8992;4.3986;-0.3743;0.311
91;-3.8992;4.3986;-0.3386;0.28
92;-3.8992;4.3986;-0.3029;0.251
93;-3.8992;4.3986;-0.2672;0.224
94;-3.8992;4.3986;-0.2315;0.202
95;-3.8992;4.3986;-0.1958;0.184
96;-3.8826;4.3728;-0.4458;0.332
97;-3.8826;4.3728;-0.41;0.297
98;-3.8826;4.3728;-0.3743;0.263
99;-3.8826;4.3728;-0.3386;0.231
100;-3.8826;4.3728;-0.3029;0.201
101;-3.8826;4.3728;-0.2672;0.175
102;-3.8826;4.3728;-0.2315;0.153
103;-3.8826;4.3728;-0.1958;0.137
104;-3.866;4.347;-0.4458;0.288
105;-3.866;4.347;-0.41;0.252
106;-3.866;4.347;-0.3743;0.217
107;-3.866;4.347;-0.3386;0.184
108;-3.866;4.347;-0.3029;0.153
109;-3.866;4.347;-0.2672;0.126
110;-3.866;4.347;-0.2315;0.105
111;-3.866;4.347;-0.1958;0.094
112;-3.8495;4.3212;-0.4458;0.245
113;-3.8495;4.3212;-0.41;0.208
114;-3.8495;4.3212;-0.3743;0.172
115;-3.8495;4.3212;-0.3386;0.137
116;-3.8495;4.3212;-0.3029;0.105
117;-3.8495;4.3212;-0.2672;0.077
118;-3.8495;4.3212;-0.2315;0.061
119;-3.8495;4.3212;-0.1958;0.064
120;-3.8329;4.2954;-0.4458;0.206
121;-3.8329;4.2954;-0.41;0.167
122;-3.8329;4.2954;-0.3743;0.129
123;-3.8329;4.2954;-0.3386;0.092
124;-3.8329;4.2954;-0.3029;0.058
125;-3.8329;4.2954;-0.2672;0.041
126;-3.8329;4.2954;-0.2315;0.044
127;-3.8329;4.2954;-0.1958;0.067
128;-3.8163;4.2695;-0.4458;0.169
129;-3.8163;4.2695;-0.41;0.13
130;-3.8163;4.2695;-0.3743;0.091
131;-3.8163;4.2695;-0.3386;0.053
132;-3.8163;4.2695;-0.3029;0.028
133;-3.8163;4.2695;-0.2672;0.036
134;-3.8163;4.2695;-0.2315;0.062
135;-3.8163;4.2695;-0.1958;0.098
136;-3.7997;4.2437;-0.4458;0.139
137;-3.7997;4.2437;-0.41;0.101
138;-3.7997;4.2437;-0.3743;0.066
139;-3.7997;4.2437;-0.3386;0.045
140;-3.7997;4.2437;-0.3029;0.047
141;-3.7997;4.2437;-0.2672;0.07
142;-3.7997;4.2437;-0.2315;0.105
143;-3.7997;4.2437;-0.1958;0.141
144;-3.7831;4.2179;-0.4458;0.119
145;-3.7831;4.2179;-0.41;0.088
146;-3.7831;4.2179;-0.3743;0.067
147;-3.7831;4.2179;-0.3386;0.066
148;-3.7831;4.2179;-0.3029;0.086
149;-3.7831;4.2179;-0.2672;0.117
150;-3.7831;4.2179;-0.2315;0.151
151;-3.7831;4.2179;-0.1958;0.187
152;-3.7666;4.1921;-0.4458;0.114
153;-3.7666;4.1921;-0.41;0.095
154;-3.7666;4.1921;-0.3743;0.092
155;-3.7666;4.1921;-0.3386;0.106
156;-3.7666;4.1921;-0.3029;0.132
157;-3.7666;4.1921;-0.2672;0.163
158;-3.7666;4.1921;-0.2315;0.198
159;-3.7666;4.1921;-0.1958;0.235
160;-3.75;4.1663;-0.4458;0.123
161;-3.75;4.1663;-0.41;0.119
162;-3.75;4.1663;-0.3743;0.128
163;-3.75;4.1663;-0.3386;0.149
164;-3.75;4.1663;-0.3029;0.177
165;-3.75;4.1663;-0.2672;0.21
166;-3.75;4.1663;-0.2315;0.246
167;-3.75;4.1663;-0.1958;0.283
168;-3.7334;4.1404;-0.4458;0.145
169;-3.7334;4.1404;-0.41;0.151
170;-3.7334;4.1404;-0.3743;0.168
171;-3.7334;4.1404;-0.3386;0.192
172;-3.7334;4.1404;-0.3029;0.223
173;-3.7334;4.1404;-0.2672;0.257
174;-3.7334;4.1404;-0.2315;0.293
175;-3.7334;4.1404;-0.1958;0.331
176;-3.7168;4.1146;-0.4458;0.175
177;-3.7168;4.1146;-0.41;0.187
178;-3.7168;4.1146;-0.3743;0.208
179;-3.7168;4.1146;-0.3386;0.236
180;-3.7168;4.1146;-0.3029;0.267
181;-3.7168;4.1146;-0.2672;0.302
182;-3.7168;4.1146;-0.2315;0.34
183;-3.7168;4.1146;-0.1958;0.378
184;-3.7003;4.0888;-0.4458;0.208
185;-3.7003;4.0888;-0.41;0.226
186;-3.7003;4.0888;-0.3743;0.25
187;-3.7003;4.0888;-0.3386;0.279
188;-3.7003;4.0888;-0.3029;0.312
189;-3.7003;4.0888;-0.2672;0.348
190;-3.7003;4.0888;-0.2315;0.386
191;-3.7003;4.0888;-0.1958;0.425
192;-3.6837;4.063;-0.4458;0.243
